Year,Units,cумма ущерба от ЧС,Regions,Value
2012,thousand of tenge,caused by nature,Atyrau,0.0
2012,thousand of tenge,caused by nature,Batys Kazakhstan,0.0
2012,thousand of tenge,caused by nature,Zhambyl,55.5
2012,thousand of tenge,caused by nature,Karagandy,74.0
2012,thousand of tenge,caused by nature,Kostanay,20400.0
2012,thousand of tenge,caused by nature,Kyzylorda,9700.0
2012,thousand of tenge,caused by nature,Mangistau,34652.9
2012,thousand of tenge,caused by nature,Pavlodar,76462.6
2012,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.0
2012,thousand of tenge,caused by nature,Turkistan,977400.0
2012,thousand of tenge,caused by nature,Shygys Kazakhstan,109300.0
2012,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2012,thousand of tenge,caused by nature,Almaty city,0.0
2012,thousand of tenge,caused by nature,Shymkent city,0.0
2012,thousand of tenge,human caused,,1484323.57
2012,thousand of tenge,human caused,Akmola,57044.3
2012,thousand of tenge,human caused,Aktobe,0.0
2012,thousand of tenge,human caused,Almaty,970900.0
2012,thousand of tenge,human caused,Atyrau,0.0
2012,thousand of tenge,human caused,Batys Kazakhstan,407495.27
2012,thousand of tenge,human caused,Zhambyl,0.0
2012,thousand of tenge,human caused,Karagandy,14384.0
2012,thousand of tenge,human caused,Kostanay,0.0
2012,thousand of tenge,human caused,Kyzylorda,21500.0
2012,thousand of tenge,human caused,Mangistau,0.0
2012,thousand of tenge,human caused,Pavlodar,0.0
2012,thousand of tenge,human caused,Soltustik Kazakhstan,0.0
2012,thousand of tenge,human caused,Turkistan,0.0
2012,thousand of tenge,human caused,Shygys Kazakhstan,13000.0
2012,thousand of tenge,human caused,Nur-Sultan city,0.0
2012,thousand of tenge,human caused,Almaty city,0.0
2012,thousand of tenge,human caused,Shymkent city,0.0
2013,thousand of tenge,caused by nature,,385119.9
2013,thousand of tenge,caused by nature,Akmola,56392.5
2013,thousand of tenge,caused by nature,Aktobe,2000.0
2013,thousand of tenge,caused by nature,Almaty,1363.0
2013,thousand of tenge,caused by nature,Atyrau,0.0
2013,thousand of tenge,caused by nature,Batys Kazakhstan,0.0
2013,thousand of tenge,caused by nature,Zhambyl,59.3
2013,thousand of tenge,caused by nature,Karagandy,3500.0
2013,thousand of tenge,caused by nature,Kostanay,36800.0
2013,thousand of tenge,caused by nature,Kyzylorda,93800.0
2013,thousand of tenge,caused by nature,Mangistau,0.0
2013,thousand of tenge,caused by nature,Pavlodar,138605.1
2013,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.0
2013,thousand of tenge,caused by nature,Turkistan,0.0
2013,thousand of tenge,caused by nature,Shygys Kazakhstan,52600.0
2013,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2013,thousand of tenge,caused by nature,Almaty city,0.0
2013,thousand of tenge,caused by nature,Shymkent city,0.0
2013,thousand of tenge,human caused,,1238029.8
2013,thousand of tenge,human caused,Akmola,25791.0
2013,thousand of tenge,human caused,Aktobe,0.0
2013,thousand of tenge,human caused,Almaty,927600.0
2013,thousand of tenge,human caused,Atyrau,0.0
2013,thousand of tenge,human caused,Batys Kazakhstan,274838.8
2013,thousand of tenge,human caused,Zhambyl,0.0
2013,thousand of tenge,human caused,Karagandy,0.0
2013,thousand of tenge,human caused,Kostanay,0.0
2013,thousand of tenge,human caused,Kyzylorda,7600.0
2013,thousand of tenge,human caused,Mangistau,0.0
2013,thousand of tenge,human caused,Pavlodar,0.0
2013,thousand of tenge,human caused,Soltustik Kazakhstan,0.0
2013,thousand of tenge,human caused,Turkistan,0.0
2013,thousand of tenge,human caused,Shygys Kazakhstan,2200.0
2013,thousand of tenge,human caused,Nur-Sultan city,0.0
2013,thousand of tenge,human caused,Almaty city,0.0
2013,thousand of tenge,human caused,Shymkent city,0.0
2014,thousand of tenge,caused by nature,,759078.1
2014,thousand of tenge,caused by nature,Akmola,34045.1
2014,thousand of tenge,caused by nature,Aktobe,5000.0
2014,thousand of tenge,caused by nature,Almaty,6.0
2014,thousand of tenge,caused by nature,Atyrau,50686.2
2014,thousand of tenge,caused by nature,Batys Kazakhstan,64357.8
2014,thousand of tenge,caused by nature,Zhambyl,1.7
2014,thousand of tenge,caused by nature,Karagandy,473901.0
2014,thousand of tenge,caused by nature,Kostanay,1200.0
2014,thousand of tenge,caused by nature,Kyzylorda,30886.0
2014,thousand of tenge,caused by nature,Mangistau,0.0
2014,thousand of tenge,caused by nature,Pavlodar,41893.1
2014,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.0
2014,thousand of tenge,caused by nature,Turkistan,0.0
2014,thousand of tenge,caused by nature,Shygys Kazakhstan,56600.0
2014,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2014,thousand of tenge,caused by nature,Almaty city,0.0
2014,thousand of tenge,caused by nature,Shymkent city,501.2
2014,thousand of tenge,human caused,,927084.0
2014,thousand of tenge,human caused,Akmola,0.0
2014,thousand of tenge,human caused,Aktobe,0.0
2014,thousand of tenge,human caused,Almaty,180100.0
2014,thousand of tenge,human caused,Atyrau,17274.4
2014,thousand of tenge,human caused,Batys Kazakhstan,0.0
2014,thousand of tenge,human caused,Zhambyl,121.6
2014,thousand of tenge,human caused,Karagandy,12828.0
2014,thousand of tenge,human caused,Kostanay,0.0
2014,thousand of tenge,human caused,Kyzylorda,0.0
2014,thousand of tenge,human caused,Mangistau,59980.0
2014,thousand of tenge,human caused,Pavlodar,0.0
2014,thousand of tenge,human caused,Soltustik Kazakhstan,118800.0
2014,thousand of tenge,human caused,Turkistan,0.0
2014,thousand of tenge,human caused,Shygys Kazakhstan,14300.0
2014,thousand of tenge,human caused,Nur-Sultan city,0.0
2014,thousand of tenge,human caused,Almaty city,125613.0
2014,thousand of tenge,human caused,Shymkent city,398067.0
2015,thousand of tenge,caused by nature,,4330016.016000002
2015,thousand of tenge,caused by nature,Akmola,14285.0
2015,thousand of tenge,caused by nature,Aktobe,0.0
2015,thousand of tenge,caused by nature,Almaty,124.0
2015,thousand of tenge,caused by nature,Atyrau,103683.7
2015,thousand of tenge,caused by nature,Batys Kazakhstan,103906.81599999999
2015,thousand of tenge,caused by nature,Zhambyl,2.1
2015,thousand of tenge,caused by nature,Karagandy,3765011.0
2015,thousand of tenge,caused by nature,Kostanay,0.0
2015,thousand of tenge,caused by nature,Kyzylorda,35182.0
2015,thousand of tenge,caused by nature,Mangistau,10332.2
2015,thousand of tenge,caused by nature,Pavlodar,71709.1
2015,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.1
2015,thousand of tenge,caused by nature,Turkistan,0.0
2015,thousand of tenge,caused by nature,Shygys Kazakhstan,220900.0
2015,thousand of tenge,caused by nature,Nur-Sultan city,4855.0
2015,thousand of tenge,caused by nature,Almaty city,0.0
2015,thousand of tenge,caused by nature,Shymkent city,25.0
2015,thousand of tenge,human caused,,766681.0
2015,thousand of tenge,human caused,Akmola,0.0
2015,thousand of tenge,human caused,Aktobe,0.0
2015,thousand of tenge,human caused,Almaty,130400.0
2015,thousand of tenge,human caused,Atyrau,114069.8
2015,thousand of tenge,human caused,Batys Kazakhstan,0.0
2015,thousand of tenge,human caused,Zhambyl,119.2
2015,thousand of tenge,human caused,Karagandy,0.0
2015,thousand of tenge,human caused,Kostanay,0.0
2015,thousand of tenge,human caused,Kyzylorda,0.0
2015,thousand of tenge,human caused,Mangistau,143826.0
2015,thousand of tenge,human caused,Pavlodar,0.0
2015,thousand of tenge,human caused,Soltustik Kazakhstan,129600.0
2015,thousand of tenge,human caused,Turkistan,0.0
2015,thousand of tenge,human caused,Shygys Kazakhstan,25100.0
2015,thousand of tenge,human caused,Nur-Sultan city,0.0
2015,thousand of tenge,human caused,Almaty city,40000.0
2015,thousand of tenge,human caused,Shymkent city,183566.0
2016,thousand of tenge,caused by nature,,386263.0
2016,thousand of tenge,caused by nature,Akmola,41496.0
2016,thousand of tenge,caused by nature,Aktobe,13704.8
2016,thousand of tenge,caused by nature,Almaty,1373.0
2016,thousand of tenge,caused by nature,Atyrau,99505.4
2016,thousand of tenge,caused by nature,Batys Kazakhstan,0.0
2016,thousand of tenge,caused by nature,Zhambyl,1.3
2016,thousand of tenge,caused by nature,Karagandy,12260.0
2016,thousand of tenge,caused by nature,Kostanay,26500.0
2016,thousand of tenge,caused by nature,Kyzylorda,62604.0
2016,thousand of tenge,caused by nature,Mangistau,0.0
2016,thousand of tenge,caused by nature,Pavlodar,38518.5
2016,thousand of tenge,caused by nature,Soltustik Kazakhstan,0.0
2016,thousand of tenge,caused by nature,Turkistan,0.0
2016,thousand of tenge,caused by nature,Shygys Kazakhstan,90300.0
2016,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2016,thousand of tenge,caused by nature,Almaty city,0.0
2016,thousand of tenge,caused by nature,Shymkent city,0.0
2016,thousand of tenge,human caused,,977323.8
2016,thousand of tenge,human caused,Akmola,0.0
2016,thousand of tenge,human caused,Aktobe,134695.5
2016,thousand of tenge,human caused,Almaty,173300.0
2016,thousand of tenge,human caused,Atyrau,145923.4
2016,thousand of tenge,human caused,Batys Kazakhstan,4000.0
2016,thousand of tenge,human caused,Zhambyl,110.9
2016,thousand of tenge,human caused,Karagandy,0.0
2016,thousand of tenge,human caused,Kostanay,0.0
2016,thousand of tenge,human caused,Kyzylorda,0.0
2016,thousand of tenge,human caused,Mangistau,58310.0
2016,thousand of tenge,human caused,Pavlodar,0.0
2016,thousand of tenge,human caused,Soltustik Kazakhstan,103300.0
2016,thousand of tenge,human caused,Turkistan,0.0
2016,thousand of tenge,human caused,Shygys Kazakhstan,18900.0
2016,thousand of tenge,human caused,Nur-Sultan city,0.0
2016,thousand of tenge,human caused,Almaty city,107230.0
2016,thousand of tenge,human caused,Shymkent city,231554.0
2017,thousand of tenge,caused by nature,,1409460.9
2017,thousand of tenge,caused by nature,Akmola,126663.1
2017,thousand of tenge,caused by nature,Aktobe,315259.9
2017,thousand of tenge,caused by nature,Almaty,9453.0
2017,thousand of tenge,caused by nature,Atyrau,4589.4
2017,thousand of tenge,caused by nature,Batys Kazakhstan,77420.2
2017,thousand of tenge,caused by nature,Zhambyl,17.9
2017,thousand of tenge,caused by nature,Karagandy,162781.3
2017,thousand of tenge,caused by nature,Kostanay,27200.0
2017,thousand of tenge,caused by nature,Kyzylorda,72418.0
2017,thousand of tenge,caused by nature,Mangistau,0.0
2017,thousand of tenge,caused by nature,Pavlodar,503358.1
2017,thousand of tenge,caused by nature,Soltustik Kazakhstan,2600.0
2017,thousand of tenge,caused by nature,Turkistan,100.0
2017,thousand of tenge,caused by nature,Shygys Kazakhstan,107600.0
2017,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2017,thousand of tenge,caused by nature,Almaty city,0.0
2017,thousand of tenge,caused by nature,Shymkent city,0.0
2017,thousand of tenge,human caused,,8718557.0
2017,thousand of tenge,human caused,Akmola,0.0
2017,thousand of tenge,human caused,Aktobe,0.0
2017,thousand of tenge,human caused,Almaty,180900.0
2017,thousand of tenge,human caused,Atyrau,0.0
2017,thousand of tenge,human caused,Batys Kazakhstan,0.0
2017,thousand of tenge,human caused,Zhambyl,93.3
2017,thousand of tenge,human caused,Karagandy,1402.4
2017,thousand of tenge,human caused,Kostanay,0.0
2017,thousand of tenge,human caused,Kyzylorda,0.0
2017,thousand of tenge,human caused,Mangistau,22205.0
2017,thousand of tenge,human caused,Pavlodar,0.0
2017,thousand of tenge,human caused,Soltustik Kazakhstan,87200.0
2017,thousand of tenge,human caused,Turkistan,0.0
2017,thousand of tenge,human caused,Shygys Kazakhstan,51500.0
2017,thousand of tenge,human caused,Nur-Sultan city,0.0
2017,thousand of tenge,human caused,Almaty city,104120.0
2017,thousand of tenge,human caused,Shymkent city,222435.0
2018,thousand of tenge,caused by nature,,559557.0
2018,thousand of tenge,caused by nature,Akmola,143191.2
2018,thousand of tenge,caused by nature,Aktobe,34530.4
2018,thousand of tenge,caused by nature,Almaty,14000.0
2018,thousand of tenge,caused by nature,Atyrau,0.0
2018,thousand of tenge,caused by nature,Batys Kazakhstan,0.0
2018,thousand of tenge,caused by nature,Zhambyl,71.7
2018,thousand of tenge,caused by nature,Karagandy,21981.0
2018,thousand of tenge,caused by nature,Kostanay,48704.0
2018,thousand of tenge,caused by nature,Kyzylorda,60881.0
2018,thousand of tenge,caused by nature,Mangistau,0.0
2018,thousand of tenge,caused by nature,Pavlodar,47217.7
2018,thousand of tenge,caused by nature,Soltustik Kazakhstan,1500.0
2018,thousand of tenge,caused by nature,Turkistan,0.0
2018,thousand of tenge,caused by nature,Shygys Kazakhstan,187480.0
2018,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2018,thousand of tenge,caused by nature,Almaty city,0.0
2018,thousand of tenge,caused by nature,Shymkent city,0.0
2018,thousand of tenge,human caused,,1628373.1
2018,thousand of tenge,human caused,Akmola,338700.0
2018,thousand of tenge,human caused,Aktobe,5971.0
2018,thousand of tenge,human caused,Almaty,87905.0
2018,thousand of tenge,human caused,Atyrau,154154.3
2018,thousand of tenge,human caused,Batys Kazakhstan,0.0
2018,thousand of tenge,human caused,Zhambyl,85.5
2018,thousand of tenge,human caused,Karagandy,295447.0
2018,thousand of tenge,human caused,Kostanay,0.0
2018,thousand of tenge,human caused,Kyzylorda,0.0
2018,thousand of tenge,human caused,Mangistau,39400.0
2018,thousand of tenge,human caused,Pavlodar,75620.3
2018,thousand of tenge,human caused,Soltustik Kazakhstan,101200.0
2018,thousand of tenge,human caused,Turkistan,0.0
2018,thousand of tenge,human caused,Shygys Kazakhstan,0.0
2018,thousand of tenge,human caused,Nur-Sultan city,0.0
2018,thousand of tenge,human caused,Almaty city,175275.0
2018,thousand of tenge,human caused,Shymkent city,354615.0
2019,thousand of tenge,caused by nature,,498089.2
2019,thousand of tenge,caused by nature,Akmola,70679.0
2019,thousand of tenge,caused by nature,Aktobe,699.5
2019,thousand of tenge,caused by nature,Almaty,487687.0
2019,thousand of tenge,caused by nature,Atyrau,63531.2
2019,thousand of tenge,caused by nature,Batys Kazakhstan,13400.0
2019,thousand of tenge,caused by nature,Zhambyl,21.0
2019,thousand of tenge,caused by nature,Karagandy,119118.3
2019,thousand of tenge,caused by nature,Kostanay,87600.0
2019,thousand of tenge,caused by nature,Kyzylorda,38342.0
2019,thousand of tenge,caused by nature,Mangistau,0.0
2019,thousand of tenge,caused by nature,Pavlodar,0.0
2019,thousand of tenge,caused by nature,Soltustik Kazakhstan,3300.0
2019,thousand of tenge,caused by nature,Turkistan,0.0
2019,thousand of tenge,caused by nature,Shygys Kazakhstan,101398.2
2019,thousand of tenge,caused by nature,Nur-Sultan city,0.0
2019,thousand of tenge,caused by nature,Almaty city,0.02
2019,thousand of tenge,caused by nature,Shymkent city,0.02
2019,thousand of tenge,human caused,,37936373.5
2019,thousand of tenge,human caused,Akmola,229033.0
2019,thousand of tenge,human caused,Aktobe,10000.0
2019,thousand of tenge,human caused,Almaty,62492.0
2019,thousand of tenge,human caused,Atyrau,63531.2
2019,thousand of tenge,human caused,Batys Kazakhstan,233000.0
2019,thousand of tenge,human caused,Zhambyl,78.9
2019,thousand of tenge,human caused,Karagandy,33670.0
2019,thousand of tenge,human caused,Kostanay,40650.0
2019,thousand of tenge,human caused,Kyzylorda,38064.0
2019,thousand of tenge,human caused,Mangistau,0.0
2019,thousand of tenge,human caused,Pavlodar,478779.1
2019,thousand of tenge,human caused,Soltustik Kazakhstan,69300.0
2019,thousand of tenge,human caused,Turkistan,32814147.0
2019,thousand of tenge,human caused,Shygys Kazakhstan,56876.0
2019,thousand of tenge,human caused,Nur-Sultan city,0.0
2019,thousand of tenge,human caused,Almaty city,3526720.3
2019,thousand of tenge,human caused,Shymkent city,342524.0
