Year,Units,Income,Sex,Area,Regions,GeoCode,Value
2018,Percent,3.2 US dollars per day (based on PPP),Male,,,,0.3
2011,Percent,5.5 US dollars per day (based on PPP),Male,,,,15.9
2012,Percent,5.5 US dollars per day (based on PPP),Male,,,,18.4
2013,Percent,5.5 US dollars per day (based on PPP),Male,,,,12.6
2014,Percent,5.5 US dollars per day (based on PPP),Male,,,,11.7
2015,Percent,5.5 US dollars per day (based on PPP),Male,,,,14.5
2016,Percent,5.5 US dollars per day (based on PPP),Male,,,,12.1
2017,Percent,5.5 US dollars per day (based on PPP),Male,,,,10.0
2018,Percent,5.5 US dollars per day (based on PPP),Male,,,,7.6
2011,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2013,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2014,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2015,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2016,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2018,Percent,1.9 US dollars per day (based on PPP),Female,,,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),Female,,,,1.2
2012,Percent,3.2 US dollars per day (based on PPP),Female,,,,1.0
2013,Percent,3.2 US dollars per day (based on PPP),Female,,,,0.5
2014,Percent,3.2 US dollars per day (based on PPP),Female,,,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),Female,,,,0.5
2016,Percent,3.2 US dollars per day (based on PPP),Female,,,,0.4
2017,Percent,3.2 US dollars per day (based on PPP),Female,,,,0.4
2018,Percent,3.2 US dollars per day (based on PPP),Female,,,,0.3
2011,Percent,5.5 US dollars per day (based on PPP),Female,,,,14.7
2012,Percent,5.5 US dollars per day (based on PPP),Female,,,,17.1
2013,Percent,5.5 US dollars per day (based on PPP),Female,,,,11.8
2014,Percent,5.5 US dollars per day (based on PPP),Female,,,,10.8
2015,Percent,5.5 US dollars per day (based on PPP),Female,,,,13.4
2016,Percent,5.5 US dollars per day (based on PPP),Female,,,,11.0
2017,Percent,5.5 US dollars per day (based on PPP),Female,,,,9.4
2018,Percent,5.5 US dollars per day (based on PPP),Female,,,,7.1
2011,Percent,1.9 US dollars per day (based on PPP),,Urban,,,0.0
2012,Percent,1.9 US dollars per day (based on PPP),,Urban,,,0.0
2013,Percent,1.9 US dollars per day (based on PPP),,Urban,,,0.0
2014,Percent,1.9 US dollars per day (based on PPP),,Urban,,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),,Urban,,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.4
2012,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.5
2013,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.3
2014,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.2
2016,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.1
2017,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,Urban,,,0.2
2011,Percent,5.5 US dollars per day (based on PPP),,Urban,,,9.0
2012,Percent,5.5 US dollars per day (based on PPP),,Urban,,,11.6
2013,Percent,5.5 US dollars per day (based on PPP),,Urban,,,7.4
2014,Percent,5.5 US dollars per day (based on PPP),,Urban,,,6.5
2015,Percent,5.5 US dollars per day (based on PPP),,Urban,,,8.5
2016,Percent,5.5 US dollars per day (based on PPP),,Urban,,,6.4
2017,Percent,5.5 US dollars per day (based on PPP),,Urban,,,5.7
2018,Percent,5.5 US dollars per day (based on PPP),,Urban,,,4.2
2011,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.1
2013,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.0
2014,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.0
2015,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.0
2016,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.1
2018,Percent,1.9 US dollars per day (based on PPP),,Rural,,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),,Rural,,,2.1
2012,Percent,3.2 US dollars per day (based on PPP),,Rural,,,1.7
2013,Percent,3.2 US dollars per day (based on PPP),,Rural,,,0.9
2014,Percent,3.2 US dollars per day (based on PPP),,Rural,,,0.7
2015,Percent,3.2 US dollars per day (based on PPP),,Rural,,,1.0
2016,Percent,3.2 US dollars per day (based on PPP),,Rural,,,0.8
2017,Percent,3.2 US dollars per day (based on PPP),,Rural,,,0.7
2018,Percent,3.2 US dollars per day (based on PPP),,Rural,,,0.4
2011,Percent,5.5 US dollars per day (based on PPP),,Rural,,,22.7
2012,Percent,5.5 US dollars per day (based on PPP),,Rural,,,25.1
2013,Percent,5.5 US dollars per day (based on PPP),,Rural,,,18.0
2014,Percent,5.5 US dollars per day (based on PPP),,Rural,,,17.0
2015,Percent,5.5 US dollars per day (based on PPP),,Rural,,,21.1
2016,Percent,5.5 US dollars per day (based on PPP),,Rural,,,18.4
2017,Percent,5.5 US dollars per day (based on PPP),,Rural,,,15.1
2018,Percent,5.5 US dollars per day (based on PPP),,Rural,,,11.7
2011,Percent,1.9 US dollars per day (based on PPP),,,Akmola,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,,Akmola,,0.3
2013,Percent,1.9 US dollars per day (based on PPP),,,Akmola,,0.0
2014,Percent,1.9 US dollars per day (based on PPP),,,Akmola,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,,Almaty,,0.1
2015,Percent,1.9 US dollars per day (based on PPP),,,Almaty,,0.1
2018,Percent,1.9 US dollars per day (based on PPP),,,Almaty,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,,Zhambyl,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.0
2013,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.1
2014,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.0
2015,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.0
2016,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.0
2018,Percent,1.9 US dollars per day (based on PPP),,,Karagandy,,0.0
2011,Percent,1.9 US dollars per day (based on PPP),,,Kostanay,,0.1
2012,Percent,1.9 US dollars per day (based on PPP),,,Kostanay,,0.1
2016,Percent,1.9 US dollars per day (based on PPP),,,Kostanay,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,,Ontustik Kazakhstan,,0.4
2012,Percent,1.9 US dollars per day (based on PPP),,,Ontustik Kazakhstan,,0.0
2011,Percent,1.9 US dollars per day (based on PPP),,,Pavlodar,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,,Pavlodar,,0.0
2011,Percent,1.9 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.1
2013,Percent,1.9 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.4
2015,Percent,1.9 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.2
2016,Percent,1.9 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.2
2017,Percent,1.9 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.1
2014,Percent,1.9 US dollars per day (based on PPP),,,Turkistan,,0.1
2011,Percent,1.9 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.2
2012,Percent,1.9 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.0
2015,Percent,1.9 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.0
2017,Percent,1.9 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.3
2011,Percent,1.9 US dollars per day (based on PPP),,,Nur-Sultan city,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,2.1
2012,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,1.5
2013,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,1.5
2014,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,0.7
2015,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,1.2
2016,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,0.8
2017,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,0.6
2018,Percent,3.2 US dollars per day (based on PPP),,,Akmola,,0.6
2011,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.9
2012,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.7
2013,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.5
2014,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.7
2015,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.7
2016,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.1
2017,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.2
2018,Percent,3.2 US dollars per day (based on PPP),,,Aktobe,,0.2
2011,Percent,3.2 US dollars per day (based on PPP),,,Almaty,,0.2
2012,Percent,3.2 US dollars per day (based on PPP),,,Almaty,,0.4
2013,Percent,3.2 US dollars per day (based on PPP),,,Almaty,,0.5
2014,Percent,3.2 US dollars per day (based on PPP),,,Almaty,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,,Almaty,,0.2
2018,Percent,3.2 US dollars per day (based on PPP),,,Almaty,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,,Atyrau,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.8
2012,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.4
2013,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.2
2014,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.7
2015,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,1.2
2016,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.7
2017,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.4
2018,Percent,3.2 US dollars per day (based on PPP),,,Batys Kazakhstan,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,0.8
2012,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,2.3
2013,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,0.4
2014,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,1.0
2016,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,0.8
2017,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,1.1
2018,Percent,3.2 US dollars per day (based on PPP),,,Zhambyl,,0.2
2011,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.9
2012,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.7
2013,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.9
2014,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.4
2015,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.7
2016,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.4
2017,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.4
2018,Percent,3.2 US dollars per day (based on PPP),,,Karagandy,,0.5
2011,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,1.3
2012,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,0.9
2013,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,1.2
2014,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,1.1
2015,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,0.8
2016,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,0.9
2017,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,0.5
2018,Percent,3.2 US dollars per day (based on PPP),,,Kostanay,,1.0
2011,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.7
2012,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.5
2013,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.3
2014,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.7
2016,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.2
2017,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,,Kyzylorda,,0.0
2011,Percent,3.2 US dollars per day (based on PPP),,,Mangistau,,0.1
2012,Percent,3.2 US dollars per day (based on PPP),,,Mangistau,,0.0
2016,Percent,3.2 US dollars per day (based on PPP),,,Mangistau,,0.0
2018,Percent,3.2 US dollars per day (based on PPP),,,Mangistau,,0.2
2011,Percent,3.2 US dollars per day (based on PPP),,,Ontustik Kazakhstan,,2.6
2012,Percent,3.2 US dollars per day (based on PPP),,,Ontustik Kazakhstan,,2.2
2011,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,1.5
2012,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,1.3
2013,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,0.2
2014,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,0.2
2015,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,0.6
2016,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,0.3
2017,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,,Pavlodar,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,3.3
2012,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,2.9
2013,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,2.1
2014,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,1.0
2015,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,1.8
2016,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,1.2
2017,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,1.1
2018,Percent,3.2 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,0.5
2013,Percent,3.2 US dollars per day (based on PPP),,,Turkistan,,1.3
2014,Percent,3.2 US dollars per day (based on PPP),,,Turkistan,,0.8
2015,Percent,3.2 US dollars per day (based on PPP),,,Turkistan,,0.5
2016,Percent,3.2 US dollars per day (based on PPP),,,Turkistan,,1.3
2017,Percent,3.2 US dollars per day (based on PPP),,,Turkistan,,0.7
2018,Percent,3.2 US dollars per day (based on PPP),,,Turkistan,,0.4
2011,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,2.0
2012,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,1.0
2013,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.0
2014,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.5
2015,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,1.1
2016,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.3
2017,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.9
2018,Percent,3.2 US dollars per day (based on PPP),,,Shygys Kazakhstan,,0.4
2011,Percent,3.2 US dollars per day (based on PPP),,,Nur-Sultan city,,0.1
2012,Percent,3.2 US dollars per day (based on PPP),,,Nur-Sultan city,,0.1
2013,Percent,3.2 US dollars per day (based on PPP),,,Nur-Sultan city,,0.0
2015,Percent,3.2 US dollars per day (based on PPP),,,Nur-Sultan city,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,,Nur-Sultan city,,0.1
2011,Percent,3.2 US dollars per day (based on PPP),,,Almaty city,,0.1
2012,Percent,3.2 US dollars per day (based on PPP),,,Almaty city,,0.1
2016,Percent,3.2 US dollars per day (based on PPP),,,Almaty city,,0.1
2017,Percent,3.2 US dollars per day (based on PPP),,,Almaty city,,0.1
2018,Percent,3.2 US dollars per day (based on PPP),,,Almaty city,,0.1
2013,Percent,3.2 US dollars per day (based on PPP),,,Shymkent city,,0.3
2018,Percent,3.2 US dollars per day (based on PPP),,,Shymkent city,,0.5
2011,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,13.6
2012,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,17.0
2013,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,15.1
2014,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,12.1
2015,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,14.6
2016,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,12.4
2017,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,9.2
2018,Percent,5.5 US dollars per day (based on PPP),,,Akmola,,7.0
2011,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,13.1
2012,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,15.2
2013,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,11.8
2014,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,10.4
2015,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,15.7
2016,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,10.2
2017,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,10.7
2018,Percent,5.5 US dollars per day (based on PPP),,,Aktobe,,9.5
2011,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,6.2
2012,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,8.8
2013,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,4.0
2014,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,4.8
2015,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,7.6
2016,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,4.8
2017,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,5.5
2018,Percent,5.5 US dollars per day (based on PPP),,,Almaty,,4.2
2011,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,6.2
2012,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,6.3
2013,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,5.2
2014,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,8.0
2015,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,10.0
2016,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,7.7
2017,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,5.2
2018,Percent,5.5 US dollars per day (based on PPP),,,Atyrau,,4.2
2011,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,20.5
2012,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,27.4
2013,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,21.6
2014,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,17.8
2015,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,18.7
2016,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,15.4
2017,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,14.5
2018,Percent,5.5 US dollars per day (based on PPP),,,Batys Kazakhstan,,9.2
2011,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,24.5
2012,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,36.4
2013,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,11.7
2014,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,15.2
2015,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,31.8
2016,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,27.9
2017,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,18.3
2018,Percent,5.5 US dollars per day (based on PPP),,,Zhambyl,,11.8
2011,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,10.8
2012,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,11.6
2013,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,10.2
2014,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,6.8
2015,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,10.7
2016,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,8.0
2017,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,7.4
2018,Percent,5.5 US dollars per day (based on PPP),,,Karagandy,,4.3
2011,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,15.6
2012,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,17.0
2013,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,13.7
2014,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,11.2
2015,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,14.0
2016,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,13.9
2017,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,8.7
2018,Percent,5.5 US dollars per day (based on PPP),,,Kostanay,,9.1
2011,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,13.2
2012,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,12.2
2013,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,9.8
2014,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,11.5
2015,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,22.6
2016,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,18.6
2017,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,14.8
2018,Percent,5.5 US dollars per day (based on PPP),,,Kyzylorda,,11.7
2011,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,4.6
2012,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,4.0
2013,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,2.9
2014,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,3.0
2015,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,3.6
2016,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,2.8
2017,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,3.2
2018,Percent,5.5 US dollars per day (based on PPP),,,Mangistau,,4.1
2011,Percent,5.5 US dollars per day (based on PPP),,,Ontustik Kazakhstan,,32.7
2012,Percent,5.5 US dollars per day (based on PPP),,,Ontustik Kazakhstan,,40.9
2011,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,17.0
2012,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,15.4
2013,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,6.9
2014,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,6.9
2015,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,9.4
2016,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,8.1
2017,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,5.7
2018,Percent,5.5 US dollars per day (based on PPP),,,Pavlodar,,7.3
2011,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,21.9
2012,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,20.1
2013,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,18.2
2014,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,15.3
2015,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,14.7
2016,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,11.2
2017,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,9.9
2018,Percent,5.5 US dollars per day (based on PPP),,,Soltustik Kazakhstan,,7.6
2013,Percent,5.5 US dollars per day (based on PPP),,,Turkistan,,34.7
2014,Percent,5.5 US dollars per day (based on PPP),,,Turkistan,,31.4
2015,Percent,5.5 US dollars per day (based on PPP),,,Turkistan,,30.8
2016,Percent,5.5 US dollars per day (based on PPP),,,Turkistan,,29.6
2017,Percent,5.5 US dollars per day (based on PPP),,,Turkistan,,25.6
2018,Percent,5.5 US dollars per day (based on PPP),,,Turkistan,,19.3
2011,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,17.8
2012,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,15.0
2013,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,10.6
2014,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,10.6
2015,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,11.2
2016,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,7.9
2017,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,7.9
2018,Percent,5.5 US dollars per day (based on PPP),,,Shygys Kazakhstan,,6.9
