Year,Units,Rate of deviation,Growth-age-average Z-score (SD standard deviation),Sex,Area,Regions,Age,Mother's education,Wealth index quintile,Nationality of the head of household,Value
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Ontustik Kazakhstan,,,,,11.1
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Ontustik Kazakhstan,,,,,7.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Pavlodar,,,,,13.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Pavlodar,,,,,9.7
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Soltustik Kazakhstan,,,,,11.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Soltustik Kazakhstan,,,,,5.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Shygys Kazakhstan,,,,,20.2
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Shygys Kazakhstan,,,,,9.2
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Nur-Sultan city,,,,,22.1
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Nur-Sultan city,,,,,16.2
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,Almaty city,,,,,15.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,Almaty city,,,,,21.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,0-5 months,,,,9.8
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,0-5 months,,,,5.8
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,6-11 months,,,,19.0
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,6-11 months,,,,12.5
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,12-17 months,,,,15.1
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,18-23 months,,,,10.1
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,12-23 months,,,,17.4
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,24-35 months,,,,12.9
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,24-35 months,,,,10.5
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,36-47 months,,,,11.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,36-47 months,,,,8.0
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,48-59 months,,,,9.7
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,48-59 months,,,,6.5
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,No education/Elementary education,,,6.3
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,basic secondary (middle-school),,,4.0
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,High Education (General),,,12.3
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,High Education (General),,,8.9
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,Community College and Vocational type of Education,,,14.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,Community College and Vocational type of Education,,,9.1
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,Higher education,,,13.8
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,Higher education,,,10.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,extreme poverty,,12.8
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,extreme poverty,,7.7
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,second,,12.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,second,,7.0
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,third,,11.0
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,third,,8.9
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,fourth,,14.7
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,fourth,,11.6
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,wealthy,,16.3
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,wealthy,,12.5
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,,Kazakh,13.9
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,,Kazakh,10.2
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,,Russian,12.9
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,,Russian,9.0
2010,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,,Other,10.6
2015,Percent,,Growth-age-average Z-score (SD standard deviation),,,,,,,Other,6.3
