Year,Units,Regions,GeoCode,Value
2013,Percent,Batys Kazakhstan,KZ07,0.0
2014,Percent,Batys Kazakhstan,KZ07,0.0
2015,Percent,Batys Kazakhstan,KZ07,0.0
2016,Percent,Batys Kazakhstan,KZ07,0.0
2017,Percent,Batys Kazakhstan,KZ07,0.0
2018,Percent,Batys Kazakhstan,KZ07,0.0
2010,Percent,Zhambyl,KZ17,0.0
2011,Percent,Zhambyl,KZ17,0.1
2012,Percent,Zhambyl,KZ17,0.1
2013,Percent,Zhambyl,KZ17,0.2
2014,Percent,Zhambyl,KZ17,0.3
2015,Percent,Zhambyl,KZ17,0.5
2016,Percent,Zhambyl,KZ17,0.5
2017,Percent,Zhambyl,KZ17,0.3
2018,Percent,Zhambyl,KZ17,0.4
2010,Percent,Karagandy,KZ12,0.0
2011,Percent,Karagandy,KZ12,0.1
2012,Percent,Karagandy,KZ12,0.0
2013,Percent,Karagandy,KZ12,0.1
2014,Percent,Karagandy,KZ12,0.1
2015,Percent,Karagandy,KZ12,0.1
2016,Percent,Karagandy,KZ12,0.1
2017,Percent,Karagandy,KZ12,0.1
2018,Percent,Karagandy,KZ12,0.1
2010,Percent,Kostanay,KZ13,0.0
2011,Percent,Kostanay,KZ13,0.0
2012,Percent,Kostanay,KZ13,0.0
2013,Percent,Kostanay,KZ13,0.0
2014,Percent,Kostanay,KZ13,0.1
2015,Percent,Kostanay,KZ13,0.0
2016,Percent,Kostanay,KZ13,0.0
2017,Percent,Kostanay,KZ13,0.0
2018,Percent,Kostanay,KZ13,0.0
2010,Percent,Kyzylorda,KZ14,0.1
2011,Percent,Kyzylorda,KZ14,0.1
2012,Percent,Kyzylorda,KZ14,0.2
2013,Percent,Kyzylorda,KZ14,0.3
2014,Percent,Kyzylorda,KZ14,0.5
2015,Percent,Kyzylorda,KZ14,0.6
2016,Percent,Kyzylorda,KZ14,0.8
2017,Percent,Kyzylorda,KZ14,0.8
2018,Percent,Kyzylorda,KZ14,0.9
2010,Percent,Mangistau,KZ09,0.0
2011,Percent,Mangistau,KZ09,0.0
2012,Percent,Mangistau,KZ09,0.0
2013,Percent,Mangistau,KZ09,0.2
2014,Percent,Mangistau,KZ09,0.2
2015,Percent,Mangistau,KZ09,0.3
2016,Percent,Mangistau,KZ09,0.2
2017,Percent,Mangistau,KZ09,0.2
2018,Percent,Mangistau,KZ09,0.2
2010,Percent,Ontustik Kazakhstan,KZ10,0.1
2011,Percent,Ontustik Kazakhstan,KZ10,0.1
2012,Percent,Ontustik Kazakhstan,KZ10,0.1
2013,Percent,Ontustik Kazakhstan,KZ10,0.4
2014,Percent,Ontustik Kazakhstan,KZ10,0.4
2015,Percent,Ontustik Kazakhstan,KZ10,0.5
2016,Percent,Ontustik Kazakhstan,KZ10,0.4
2017,Percent,Ontustik Kazakhstan,KZ10,0.4
2010,Percent,Pavlodar,KZ11,0.0
2011,Percent,Pavlodar,KZ11,0.0
2012,Percent,Pavlodar,KZ11,0.0
2013,Percent,Pavlodar,KZ11,0.1
2014,Percent,Pavlodar,KZ11,0.2
2015,Percent,Pavlodar,KZ11,0.1
2016,Percent,Pavlodar,KZ11,0.1
2017,Percent,Pavlodar,KZ11,0.1
2018,Percent,Pavlodar,KZ11,0.1
2010,Percent,Soltustik Kazakhstan,KZ16,0.1
2011,Percent,Soltustik Kazakhstan,KZ16,0.0
2012,Percent,Soltustik Kazakhstan,KZ16,0.1
2013,Percent,Soltustik Kazakhstan,KZ16,0.3
2014,Percent,Soltustik Kazakhstan,KZ16,0.3
2015,Percent,Soltustik Kazakhstan,KZ16,0.4
2016,Percent,Soltustik Kazakhstan,KZ16,0.4
2017,Percent,Soltustik Kazakhstan,KZ16,0.3
2018,Percent,Soltustik Kazakhstan,KZ16,0.3
2018,Percent,Turkistan,KZ10,1.1
2010,Percent,Shygys Kazakhstan,KZ15,0.1
2011,Percent,Shygys Kazakhstan,KZ15,0.1
2012,Percent,Shygys Kazakhstan,KZ15,0.1
2013,Percent,Shygys Kazakhstan,KZ15,0.3
2014,Percent,Shygys Kazakhstan,KZ15,0.5
2015,Percent,Shygys Kazakhstan,KZ15,0.3
2016,Percent,Shygys Kazakhstan,KZ15,0.3
2017,Percent,Shygys Kazakhstan,KZ15,0.3
2018,Percent,Shygys Kazakhstan,KZ15,0.4
2010,Percent,Nur-Sultan city,KZ05,0.0
2011,Percent,Nur-Sultan city,KZ05,0.0
2012,Percent,Nur-Sultan city,KZ05,0.0
2013,Percent,Nur-Sultan city,KZ05,0.0
2014,Percent,Nur-Sultan city,KZ05,0.0
2015,Percent,Nur-Sultan city,KZ05,0.0
2016,Percent,Nur-Sultan city,KZ05,0.0
2017,Percent,Nur-Sultan city,KZ05,0.0
2018,Percent,Nur-Sultan city,KZ05,0.0
2010,Percent,Almaty city,KZ02,0.0
2011,Percent,Almaty city,KZ02,0.0
2012,Percent,Almaty city,KZ02,0.0
2013,Percent,Almaty city,KZ02,0.0
2014,Percent,Almaty city,KZ02,0.0
2015,Percent,Almaty city,KZ02,0.0
2016,Percent,Almaty city,KZ02,0.0
2017,Percent,Almaty city,KZ02,0.0
2018,Percent,Almaty city,KZ02,0.0
2018,Percent,Shymkent city,KZ18,0.0
