Year,Units,Regions,Area,Sex,Education,Marital status,citizenship,GeoCode,Value
2014,per 100000 population,Akmola,Population of rural areas,,,,,,13.62
2015,per 100000 population,Akmola,Population of rural areas,,,,,,11.25
2016,per 100000 population,Akmola,Population of rural areas,,,,,,14.89
2017,per 100000 population,Akmola,Population of rural areas,,,,,,12.11
2018,per 100000 population,Akmola,Population of rural areas,,,,,,10.25
2010,per 100000 population,Aktobe,Population of rural areas,,,,,,16.4
2011,per 100000 population,Aktobe,Population of rural areas,,,,,,16.98
2012,per 100000 population,Aktobe,Population of rural areas,,,,,,20.77
2013,per 100000 population,Aktobe,Population of rural areas,,,,,,22.1
2014,per 100000 population,Aktobe,Population of rural areas,,,,,,13.5
2015,per 100000 population,Aktobe,Population of rural areas,,,,,,16.31
2016,per 100000 population,Aktobe,Population of rural areas,,,,,,12.75
2017,per 100000 population,Aktobe,Population of rural areas,,,,,,13.73
2018,per 100000 population,Aktobe,Population of rural areas,,,,,,15.66
2010,per 100000 population,Almaty,Population of rural areas,,,,,,24.09
2011,per 100000 population,Almaty,Population of rural areas,,,,,,26.7
2012,per 100000 population,Almaty,Population of rural areas,,,,,,26.29
2013,per 100000 population,Almaty,Population of rural areas,,,,,,27.2
2014,per 100000 population,Almaty,Population of rural areas,,,,,,22.66
2015,per 100000 population,Almaty,Population of rural areas,,,,,,22.91
2016,per 100000 population,Almaty,Population of rural areas,,,,,,23.25
2017,per 100000 population,Almaty,Population of rural areas,,,,,,20.58
2018,per 100000 population,Almaty,Population of rural areas,,,,,,16.53
2010,per 100000 population,Atyrau,Population of rural areas,,,,,,2.9
2011,per 100000 population,Atyrau,Population of rural areas,,,,,,19.99
2012,per 100000 population,Atyrau,Population of rural areas,,,,,,17.56
2013,per 100000 population,Atyrau,Population of rural areas,,,,,,22.39
2014,per 100000 population,Atyrau,Population of rural areas,,,,,,17.39
2015,per 100000 population,Atyrau,Population of rural areas,,,,,,15.53
2016,per 100000 population,Atyrau,Population of rural areas,,,,,,13.08
2017,per 100000 population,Atyrau,Population of rural areas,,,,,,10.95
2018,per 100000 population,Atyrau,Population of rural areas,,,,,,16.03
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,15.66
2011,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,13.89
2012,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,16.51
2013,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,17.73
2014,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,12.61
2015,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,14.75
2016,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,15.39
2017,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,16.17
2018,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,17.55
2010,per 100000 population,Zhambyl,Population of rural areas,,,,,,31.99
2011,per 100000 population,Zhambyl,Population of rural areas,,,,,,30.86
2012,per 100000 population,Zhambyl,Population of rural areas,,,,,,29.16
2013,per 100000 population,Zhambyl,Population of rural areas,,,,,,29.93
2014,per 100000 population,Zhambyl,Population of rural areas,,,,,,18.1
2015,per 100000 population,Zhambyl,Population of rural areas,,,,,,23.69
2016,per 100000 population,Zhambyl,Population of rural areas,,,,,,23.95
2017,per 100000 population,Zhambyl,Population of rural areas,,,,,,19.11
2018,per 100000 population,Zhambyl,Population of rural areas,,,,,,19.09
2010,per 100000 population,Karagandy,Population of rural areas,,,,,,22.85
2011,per 100000 population,Karagandy,Population of rural areas,,,,,,16.92
2012,per 100000 population,Karagandy,Population of rural areas,,,,,,32.93
2013,per 100000 population,Karagandy,Population of rural areas,,,,,,24.89
2014,per 100000 population,Karagandy,Population of rural areas,,,,,,14.77
2015,per 100000 population,Karagandy,Population of rural areas,,,,,,15.57
2016,per 100000 population,Karagandy,Population of rural areas,,,,,,15.38
2017,per 100000 population,Karagandy,Population of rural areas,,,,,,18.03
2018,per 100000 population,Karagandy,Population of rural areas,,,,,,21.33
2010,per 100000 population,Kostanay,Population of rural areas,,,,,,13.17
2011,per 100000 population,Kostanay,Population of rural areas,,,,,,12.39
2012,per 100000 population,Kostanay,Population of rural areas,,,,,,16.47
2013,per 100000 population,Kostanay,Population of rural areas,,,,,,10.52
2014,per 100000 population,Kostanay,Population of rural areas,,,,,,21.95
2015,per 100000 population,Kostanay,Population of rural areas,,,,,,17.67
2016,per 100000 population,Kostanay,Population of rural areas,,,,,,11.61
2017,per 100000 population,Kostanay,Population of rural areas,,,,,,11.56
2018,per 100000 population,Kostanay,Population of rural areas,,,,,,9.25
2010,per 100000 population,Kyzylorda,Population of rural areas,,,,,,23.15
2011,per 100000 population,Kyzylorda,Population of rural areas,,,,,,21.58
2012,per 100000 population,Kyzylorda,Population of rural areas,,,,,,19.09
2013,per 100000 population,Kyzylorda,Population of rural areas,,,,,,18.58
2014,per 100000 population,Kyzylorda,Population of rural areas,,,,,,14.34
2015,per 100000 population,Kyzylorda,Population of rural areas,,,,,,12.57
2016,per 100000 population,Kyzylorda,Population of rural areas,,,,,,22.46
2017,per 100000 population,Kyzylorda,Population of rural areas,,,,,,10.58
2018,per 100000 population,Kyzylorda,Population of rural areas,,,,,,12.28
2010,per 100000 population,Mangistau,Population of rural areas,,,,,,20.33
2011,per 100000 population,Mangistau,Population of rural areas,,,,,,12.49
2012,per 100000 population,Mangistau,Population of rural areas,,,,,,17.28
2013,per 100000 population,Mangistau,Population of rural areas,,,,,,23.33
2014,per 100000 population,Mangistau,Population of rural areas,,,,,,19.59
2015,per 100000 population,Mangistau,Population of rural areas,,,,,,12.97
2016,per 100000 population,Mangistau,Population of rural areas,,,,,,19.6
2017,per 100000 population,Mangistau,Population of rural areas,,,,,,11.31
2018,per 100000 population,Mangistau,Population of rural areas,,,,,,7.27
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,32.12
2011,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,27.7
2012,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,23.87
2013,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,24.29
2014,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,19.66
2015,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,18.36
2016,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,20.64
2017,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,18.83
2010,per 100000 population,Pavlodar,Population of rural areas,,,,,,22.56
2011,per 100000 population,Pavlodar,Population of rural areas,,,,,,23.13
2012,per 100000 population,Pavlodar,Population of rural areas,,,,,,15.1
2013,per 100000 population,Pavlodar,Population of rural areas,,,,,,14.82
2014,per 100000 population,Pavlodar,Population of rural areas,,,,,,21.6
2015,per 100000 population,Pavlodar,Population of rural areas,,,,,,16.45
