Year,Units,Regions,Area,Sex,Value
2011,Percent,Kyzylorda,City,,0.8
2011,Percent,Mangistau,City,,0.2
2011,Percent,Ontustik Kazakhstan,City,,0.4
2011,Percent,Pavlodar,City,,0.0
2011,Percent,Soltustik Kazakhstan,City,,0.0
2011,Percent,Shygys Kazakhstan,City,,0.1
2011,Percent,Nur-Sultan city,City,,0.1
2011,Percent,Almaty city,City,,0.0
2011,Percent,,Rural,,1.5
2011,Percent,Akmola,Rural,,0.2
2011,Percent,Aktobe,Rural,,0.0
2011,Percent,Almaty,Rural,,2.2
2011,Percent,Atyrau,Rural,,0.0
2011,Percent,Batys Kazakhstan,Rural,,1.0
2011,Percent,Zhambyl,Rural,,2.3
2011,Percent,Karagandy,Rural,,1.6
2011,Percent,Kostanay,Rural,,3.8
2011,Percent,Kyzylorda,Rural,,1.1
2011,Percent,Mangistau,Rural,,0.0
2011,Percent,Ontustik Kazakhstan,Rural,,1.2
2011,Percent,Pavlodar,Rural,,2.6
2011,Percent,Soltustik Kazakhstan,Rural,,0.3
2011,Percent,Turkistan,Rural,,1.9
2012,Percent,,,,0.6
2012,Percent,Akmola,,,0.4
2012,Percent,Aktobe,,,0.0
2012,Percent,Almaty,,,1.6
2012,Percent,Atyrau,,,0.1
2012,Percent,Batys Kazakhstan,,,0.1
2012,Percent,Zhambyl,,,1.8
2012,Percent,Karagandy,,,0.5
2012,Percent,Kostanay,,,1.9
2012,Percent,Kyzylorda,,,0.1
2012,Percent,Mangistau,,,0.0
2012,Percent,Ontustik Kazakhstan,,,0.4
2012,Percent,Pavlodar,,,0.4
2012,Percent,Soltustik Kazakhstan,,,0.3
2012,Percent,Shygys Kazakhstan,,,0.1
2012,Percent,Nur-Sultan city,,,0.3
2012,Percent,Almaty city,,,0.0
2012,Percent,,,Male,0.6
2012,Percent,Akmola,,Male,0.4
2012,Percent,Aktobe,,Male,0.0
2012,Percent,Almaty,,Male,1.7
2012,Percent,Atyrau,,Male,0.1
2012,Percent,Batys Kazakhstan,,Male,0.1
2012,Percent,Zhambyl,,Male,1.6
2012,Percent,Karagandy,,Male,0.4
2012,Percent,Kostanay,,Male,1.8
2012,Percent,Kyzylorda,,Male,0.2
2012,Percent,Mangistau,,Male,0.0
2012,Percent,Ontustik Kazakhstan,,Male,0.4
2012,Percent,Pavlodar,,Male,0.5
2012,Percent,Soltustik Kazakhstan,,Male,0.1
2012,Percent,Shygys Kazakhstan,,Male,0.2
2012,Percent,Nur-Sultan city,,Male,0.6
2012,Percent,Almaty city,,Male,0.0
2012,Percent,,,Female,0.6
2012,Percent,Akmola,,Female,0.4
2012,Percent,Aktobe,,Female,0.1
2012,Percent,Almaty,,Female,1.5
2012,Percent,Atyrau,,Female,0.1
2012,Percent,Batys Kazakhstan,,Female,0.0
2012,Percent,Zhambyl,,Female,1.9
2012,Percent,Karagandy,,Female,0.6
2012,Percent,Kostanay,,Female,1.9
2012,Percent,Kyzylorda,,Female,0.1
2012,Percent,Mangistau,,Female,0.0
2012,Percent,Ontustik Kazakhstan,,Female,0.4
2012,Percent,Pavlodar,,Female,0.3
2012,Percent,Soltustik Kazakhstan,,Female,0.4
2012,Percent,Shygys Kazakhstan,,Female,0.1
2012,Percent,Nur-Sultan city,,Female,0.0
2012,Percent,Almaty city,,Female,0.0
2012,Percent,,City,,0.2
2012,Percent,Akmola,City,,0.3
2012,Percent,Aktobe,City,,0.0
2012,Percent,Almaty,City,,1.2
2012,Percent,Atyrau,City,,0.0
2012,Percent,Batys Kazakhstan,City,,0.0
2012,Percent,Zhambyl,City,,0.0
2012,Percent,Karagandy,City,,0.3
2012,Percent,Kostanay,City,,0.2
2012,Percent,Kyzylorda,City,,0.1
2012,Percent,Mangistau,City,,0.0
2012,Percent,Ontustik Kazakhstan,City,,0.2
2012,Percent,Pavlodar,City,,0.1
2012,Percent,Soltustik Kazakhstan,City,,0.2
2012,Percent,Shygys Kazakhstan,City,,0.0
2012,Percent,Nur-Sultan city,City,,0.3
2012,Percent,Almaty city,City,,0.0
2012,Percent,,Rural,,1.1
2012,Percent,Akmola,Rural,,0.4
2012,Percent,Aktobe,Rural,,0.1
2012,Percent,Almaty,Rural,,1.7
2012,Percent,Atyrau,Rural,,0.1
2012,Percent,Batys Kazakhstan,Rural,,0.1
2012,Percent,Zhambyl,Rural,,2.8
2012,Percent,Karagandy,Rural,,1.0
2012,Percent,Kostanay,Rural,,3.5
2012,Percent,Kyzylorda,Rural,,0.1
2012,Percent,Mangistau,Rural,,0.0
2012,Percent,Ontustik Kazakhstan,Rural,,0.5
2012,Percent,Pavlodar,Rural,,1.0
2012,Percent,Soltustik Kazakhstan,Rural,,0.3
2012,Percent,Turkistan,Rural,,0.2
2013,Percent,,,,0.5
2013,Percent,Akmola,,,0.1
2013,Percent,Aktobe,,,0.0
2013,Percent,Almaty,,,1.3
2013,Percent,Atyrau,,,0.0
2013,Percent,Batys Kazakhstan,,,0.0
2013,Percent,Zhambyl,,,2.1
2013,Percent,Karagandy,,,0.1
2013,Percent,Kostanay,,,0.6
2013,Percent,Kyzylorda,,,0.1
2013,Percent,Mangistau,,,0.2
2013,Percent,Ontustik Kazakhstan,,,0.2
2013,Percent,Pavlodar,,,0.5
2013,Percent,Soltustik Kazakhstan,,,0.7
2013,Percent,Shygys Kazakhstan,,,0.3
2013,Percent,Nur-Sultan city,,,0.0
2013,Percent,Almaty city,,,0.0
2013,Percent,,,Male,0.5
2013,Percent,Akmola,,Male,0.0
2013,Percent,Aktobe,,Male,0.0
2013,Percent,Almaty,,Male,1.5
2013,Percent,Atyrau,,Male,0.0
2013,Percent,Batys Kazakhstan,,Male,0.0
2013,Percent,Zhambyl,,Male,2.2
2013,Percent,Karagandy,,Male,0.2
2013,Percent,Kostanay,,Male,0.6
2013,Percent,Kyzylorda,,Male,0.3
2013,Percent,Mangistau,,Male,0.2
2013,Percent,Ontustik Kazakhstan,,Male,0.2
2013,Percent,Pavlodar,,Male,0.4
2013,Percent,Soltustik Kazakhstan,,Male,0.6
2013,Percent,Shygys Kazakhstan,,Male,0.2
2013,Percent,Nur-Sultan city,,Male,0.0
2013,Percent,Almaty city,,Male,0.0
2013,Percent,,,Female,0.4
2013,Percent,Akmola,,Female,0.3
2013,Percent,Aktobe,,Female,0.0
2013,Percent,Almaty,,Female,1.0
2013,Percent,Atyrau,,Female,0.1
2013,Percent,Batys Kazakhstan,,Female,0.0
2013,Percent,Zhambyl,,Female,2.1
2013,Percent,Karagandy,,Female,0.1
2013,Percent,Kostanay,,Female,0.6
2013,Percent,Kyzylorda,,Female,0.0
2013,Percent,Mangistau,,Female,0.2
2013,Percent,Ontustik Kazakhstan,,Female,0.2
2013,Percent,Pavlodar,,Female,0.6
2013,Percent,Soltustik Kazakhstan,,Female,0.9
2013,Percent,Shygys Kazakhstan,,Female,0.4
2013,Percent,Nur-Sultan city,,Female,0.0
2013,Percent,Almaty city,,Female,0.0
2013,Percent,,City,,0.2
2013,Percent,Akmola,City,,0.0
2013,Percent,Aktobe,City,,0.0
2013,Percent,Almaty,City,,1.9
2013,Percent,Atyrau,City,,0.0
2013,Percent,Batys Kazakhstan,City,,0.0
2013,Percent,Zhambyl,City,,1.6
2013,Percent,Karagandy,City,,0.1
2013,Percent,Kostanay,City,,0.0
2013,Percent,Kyzylorda,City,,0.0
2013,Percent,Mangistau,City,,0.4
2013,Percent,Ontustik Kazakhstan,City,,0.1
2013,Percent,Pavlodar,City,,0.0
2013,Percent,Soltustik Kazakhstan,City,,0.4
2013,Percent,Shygys Kazakhstan,City,,0.2
2013,Percent,Nur-Sultan city,City,,0.0
2013,Percent,Almaty city,City,,0.0
2013,Percent,,Rural,,0.7
2013,Percent,Akmola,Rural,,0.2
2013,Percent,Aktobe,Rural,,0.0
2013,Percent,Almaty,Rural,,1.1
2013,Percent,Atyrau,Rural,,0.1
2013,Percent,Batys Kazakhstan,Rural,,0.0
2013,Percent,Zhambyl,Rural,,2.4
2013,Percent,Karagandy,Rural,,0.4
2013,Percent,Kostanay,Rural,,1.2
2013,Percent,Kyzylorda,Rural,,0.3
2013,Percent,Mangistau,Rural,,0.0
2013,Percent,Ontustik Kazakhstan,Rural,,0.2
2013,Percent,Pavlodar,Rural,,1.3
2013,Percent,Soltustik Kazakhstan,Rural,,0.9
2013,Percent,Turkistan,Rural,,0.4
2014,Percent,,,,0.4
2014,Percent,Akmola,,,0.3
2014,Percent,Aktobe,,,0.0
2014,Percent,Almaty,,,0.8
2014,Percent,Atyrau,,,0.2
2014,Percent,Batys Kazakhstan,,,0.1
2014,Percent,Zhambyl,,,1.1
2014,Percent,Karagandy,,,0.4
2014,Percent,Kostanay,,,0.4
2014,Percent,Kyzylorda,,,0.7
2014,Percent,Mangistau,,,0.1
2014,Percent,Ontustik Kazakhstan,,,0.2
2014,Percent,Pavlodar,,,0.6
2014,Percent,Soltustik Kazakhstan,,,0.4
2014,Percent,Shygys Kazakhstan,,,0.1
2014,Percent,Nur-Sultan city,,,0.0
2014,Percent,Almaty city,,,0.2
2014,Percent,,,Male,0.4
2014,Percent,Akmola,,Male,0.4
2014,Percent,Aktobe,,Male,0.0
2014,Percent,Almaty,,Male,0.8
2014,Percent,Atyrau,,Male,0.2
2014,Percent,Batys Kazakhstan,,Male,0.1
2014,Percent,Zhambyl,,Male,1.2
2014,Percent,Karagandy,,Male,0.5
2014,Percent,Kostanay,,Male,0.5
2014,Percent,Kyzylorda,,Male,0.6
2014,Percent,Mangistau,,Male,0.1
2014,Percent,Ontustik Kazakhstan,,Male,0.2
2014,Percent,Pavlodar,,Male,0.6
2014,Percent,Soltustik Kazakhstan,,Male,0.5
2014,Percent,Shygys Kazakhstan,,Male,0.2
2014,Percent,Nur-Sultan city,,Male,0.0
2014,Percent,Almaty city,,Male,0.1
2014,Percent,,,Female,0.3
2014,Percent,Akmola,,Female,0.2
2014,Percent,Aktobe,,Female,0.0
2014,Percent,Almaty,,Female,0.7
2014,Percent,Atyrau,,Female,0.2
2014,Percent,Batys Kazakhstan,,Female,0.1
2014,Percent,Zhambyl,,Female,0.9
2014,Percent,Karagandy,,Female,0.4
2014,Percent,Kostanay,,Female,0.3
2014,Percent,Kyzylorda,,Female,0.7
2014,Percent,Mangistau,,Female,0.0
2014,Percent,Ontustik Kazakhstan,,Female,0.2
2014,Percent,Pavlodar,,Female,0.5
2014,Percent,Soltustik Kazakhstan,,Female,0.3
2014,Percent,Shygys Kazakhstan,,Female,0.1
2014,Percent,Nur-Sultan city,,Female,0.0
2014,Percent,Almaty city,,Female,0.2
2014,Percent,,City,,0.2
2014,Percent,Akmola,City,,0.1
2014,Percent,Aktobe,City,,0.0
2014,Percent,Almaty,City,,0.5
2014,Percent,Atyrau,City,,0.1
2014,Percent,Batys Kazakhstan,City,,0.0
2014,Percent,Zhambyl,City,,0.5
2014,Percent,Karagandy,City,,0.4
2014,Percent,Kostanay,City,,0.3
2014,Percent,Kyzylorda,City,,0.5
2014,Percent,Mangistau,City,,0.1
2014,Percent,Ontustik Kazakhstan,City,,0.0
2014,Percent,Pavlodar,City,,0.0
2014,Percent,Soltustik Kazakhstan,City,,0.3
2014,Percent,Shygys Kazakhstan,City,,0.0
2014,Percent,Nur-Sultan city,City,,0.0
2014,Percent,Almaty city,City,,0.2
2014,Percent,,Rural,,0.6
2014,Percent,Akmola,Rural,,0.5
2014,Percent,Aktobe,Rural,,0.0
2014,Percent,Almaty,Rural,,0.9
2014,Percent,Atyrau,Rural,,0.3
2014,Percent,Batys Kazakhstan,Rural,,0.2
2014,Percent,Zhambyl,Rural,,1.5
2014,Percent,Karagandy,Rural,,0.7
2014,Percent,Kostanay,Rural,,0.6
2014,Percent,Kyzylorda,Rural,,0.8
2014,Percent,Mangistau,Rural,,0.0
2014,Percent,Ontustik Kazakhstan,Rural,,0.4
2014,Percent,Pavlodar,Rural,,1.7
2014,Percent,Soltustik Kazakhstan,Rural,,0.5
2014,Percent,Turkistan,Rural,,0.3
2015,Percent,,,,0.3
2015,Percent,Akmola,,,0.2
2015,Percent,Aktobe,,,0.0
2015,Percent,Almaty,,,0.7
2015,Percent,Atyrau,,,0.2
2015,Percent,Batys Kazakhstan,,,0.0
2015,Percent,Zhambyl,,,1.2
2015,Percent,Karagandy,,,0.2
2015,Percent,Kostanay,,,0.4
2015,Percent,Kyzylorda,,,0.2
2015,Percent,Mangistau,,,0.1
2015,Percent,Ontustik Kazakhstan,,,0.2
2015,Percent,Pavlodar,,,0.3
2015,Percent,Soltustik Kazakhstan,,,0.2
2015,Percent,Shygys Kazakhstan,,,0.2
2015,Percent,Nur-Sultan city,,,0.2
2015,Percent,Almaty city,,,0.1
2015,Percent,,,Male,0.3
2015,Percent,Akmola,,Male,0.2
2015,Percent,Aktobe,,Male,0.0
2015,Percent,Almaty,,Male,0.8
2015,Percent,Atyrau,,Male,0.2
2015,Percent,Batys Kazakhstan,,Male,0.0
2015,Percent,Zhambyl,,Male,1.2
2015,Percent,Karagandy,,Male,0.1
2015,Percent,Kostanay,,Male,0.4
2015,Percent,Kyzylorda,,Male,0.2
2015,Percent,Mangistau,,Male,0.0
2015,Percent,Ontustik Kazakhstan,,Male,0.2
2015,Percent,Pavlodar,,Male,0.4
2015,Percent,Soltustik Kazakhstan,,Male,0.2
2015,Percent,Shygys Kazakhstan,,Male,0.3
2015,Percent,Nur-Sultan city,,Male,0.2
2015,Percent,Almaty city,,Male,0.1
2015,Percent,,,Female,0.3
2015,Percent,Akmola,,Female,0.1
2015,Percent,Aktobe,,Female,0.1
2015,Percent,Almaty,,Female,0.6
2015,Percent,Atyrau,,Female,0.1
2015,Percent,Batys Kazakhstan,,Female,0.0
2015,Percent,Zhambyl,,Female,1.2
2015,Percent,Karagandy,,Female,0.2
2015,Percent,Kostanay,,Female,0.4
2015,Percent,Kyzylorda,,Female,0.2
2015,Percent,Mangistau,,Female,0.2
2015,Percent,Ontustik Kazakhstan,,Female,0.1
2015,Percent,Pavlodar,,Female,0.2
2015,Percent,Soltustik Kazakhstan,,Female,0.3
2015,Percent,Shygys Kazakhstan,,Female,0.1
2015,Percent,Nur-Sultan city,,Female,0.2
2015,Percent,Almaty city,,Female,0.1
2015,Percent,,City,,0.1
2015,Percent,Akmola,City,,0.1
2015,Percent,Aktobe,City,,0.1
2015,Percent,Almaty,City,,0.1
2015,Percent,Atyrau,City,,0.2
2015,Percent,Batys Kazakhstan,City,,0.0
2015,Percent,Zhambyl,City,,1.0
2015,Percent,Karagandy,City,,0.1
2015,Percent,Kostanay,City,,0.1
2015,Percent,Kyzylorda,City,,0.1
2015,Percent,Mangistau,City,,0.0
2015,Percent,Ontustik Kazakhstan,City,,0.1
2015,Percent,Pavlodar,City,,0.0
2015,Percent,Soltustik Kazakhstan,City,,0.2
2015,Percent,Shygys Kazakhstan,City,,0.0
2015,Percent,Nur-Sultan city,City,,0.2
2015,Percent,Almaty city,City,,0.1
2015,Percent,,Rural,,0.5
2015,Percent,Akmola,Rural,,0.3
2015,Percent,Aktobe,Rural,,0.0
2015,Percent,Almaty,Rural,,0.9
2015,Percent,Atyrau,Rural,,0.1
2015,Percent,Batys Kazakhstan,Rural,,0.1
2015,Percent,Zhambyl,Rural,,1.4
2015,Percent,Karagandy,Rural,,0.3
2015,Percent,Kostanay,Rural,,0.6
2015,Percent,Kyzylorda,Rural,,0.2
2015,Percent,Mangistau,Rural,,0.3
2015,Percent,Ontustik Kazakhstan,Rural,,0.2
2015,Percent,Pavlodar,Rural,,1.0
2015,Percent,Soltustik Kazakhstan,Rural,,0.3
2015,Percent,Turkistan,Rural,,0.4
2016,Percent,,,,0.2
2016,Percent,Akmola,,,0.2
2016,Percent,Aktobe,,,0.0
2016,Percent,Almaty,,,0.4
2016,Percent,Atyrau,,,0.2
2016,Percent,Batys Kazakhstan,,,0.0
2016,Percent,Zhambyl,,,0.5
2016,Percent,Karagandy,,,0.1
2016,Percent,Kostanay,,,0.3
2016,Percent,Kyzylorda,,,0.2
2016,Percent,Mangistau,,,0.0
2016,Percent,Ontustik Kazakhstan,,,0.2
2016,Percent,Pavlodar,,,0.1
2016,Percent,Soltustik Kazakhstan,,,0.1
2016,Percent,Shygys Kazakhstan,,,0.1
2016,Percent,Nur-Sultan city,,,0.1
2016,Percent,Almaty city,,,0.2
2016,Percent,,,Male,0.2
2016,Percent,Akmola,,Male,0.3
2016,Percent,Aktobe,,Male,0.0
2016,Percent,Almaty,,Male,0.4
2016,Percent,Atyrau,,Male,0.1
2016,Percent,Batys Kazakhstan,,Male,0.0
2016,Percent,Zhambyl,,Male,0.5
2016,Percent,Karagandy,,Male,0.1
2016,Percent,Kostanay,,Male,0.4
2016,Percent,Kyzylorda,,Male,0.2
2016,Percent,Mangistau,,Male,0.0
2016,Percent,Ontustik Kazakhstan,,Male,0.2
2016,Percent,Pavlodar,,Male,0.1
2016,Percent,Soltustik Kazakhstan,,Male,0.1
2016,Percent,Shygys Kazakhstan,,Male,0.1
2016,Percent,Nur-Sultan city,,Male,0.1
2016,Percent,Almaty city,,Male,0.1
2016,Percent,,,Female,0.2
2016,Percent,Akmola,,Female,0.1
2016,Percent,Aktobe,,Female,0.0
2016,Percent,Almaty,,Female,0.4
2016,Percent,Atyrau,,Female,0.3
2016,Percent,Batys Kazakhstan,,Female,0.0
2016,Percent,Zhambyl,,Female,0.5
2016,Percent,Karagandy,,Female,0.1
2016,Percent,Kostanay,,Female,0.3
2016,Percent,Kyzylorda,,Female,0.2
2016,Percent,Mangistau,,Female,0.0
2016,Percent,Ontustik Kazakhstan,,Female,0.2
2016,Percent,Pavlodar,,Female,0.1
2016,Percent,Soltustik Kazakhstan,,Female,0.1
2016,Percent,Shygys Kazakhstan,,Female,0.1
2016,Percent,Nur-Sultan city,,Female,0.0
2016,Percent,Almaty city,,Female,0.3
2016,Percent,,City,,0.1
2016,Percent,Akmola,City,,0.0
2016,Percent,Aktobe,City,,0.0
2016,Percent,Almaty,City,,0.1
2016,Percent,Atyrau,City,,0.1
2016,Percent,Batys Kazakhstan,City,,0.0
2016,Percent,Zhambyl,City,,0.2
2016,Percent,Karagandy,City,,0.1
2016,Percent,Kostanay,City,,0.0
2016,Percent,Kyzylorda,City,,0.2
2016,Percent,Mangistau,City,,0.0
2016,Percent,Ontustik Kazakhstan,City,,0.2
2016,Percent,Pavlodar,City,,0.0
2016,Percent,Soltustik Kazakhstan,City,,0.0
2016,Percent,Shygys Kazakhstan,City,,0.0
2016,Percent,Nur-Sultan city,City,,0.1
2016,Percent,Almaty city,City,,0.2
2016,Percent,,Rural,,0.3
2016,Percent,Akmola,Rural,,0.4
2016,Percent,Aktobe,Rural,,0.0
2016,Percent,Almaty,Rural,,0.5
2016,Percent,Atyrau,Rural,,0.2
2016,Percent,Batys Kazakhstan,Rural,,0.0
2016,Percent,Zhambyl,Rural,,0.7
2016,Percent,Karagandy,Rural,,0.1
2016,Percent,Kostanay,Rural,,0.7
2016,Percent,Kyzylorda,Rural,,0.2
2016,Percent,Mangistau,Rural,,0.0
2016,Percent,Ontustik Kazakhstan,Rural,,0.2
2016,Percent,Pavlodar,Rural,,0.2
2016,Percent,Soltustik Kazakhstan,Rural,,0.1
2016,Percent,Turkistan,Rural,,0.2
2017,Percent,,,,0.2
2017,Percent,Akmola,,,0.3
2017,Percent,Aktobe,,,0.0
2017,Percent,Almaty,,,0.2
2017,Percent,Atyrau,,,0.1
2017,Percent,Batys Kazakhstan,,,0.0
2017,Percent,Zhambyl,,,0.6
2017,Percent,Karagandy,,,0.1
2017,Percent,Kostanay,,,0.4
2017,Percent,Kyzylorda,,,0.1
2017,Percent,Mangistau,,,0.0
2017,Percent,Ontustik Kazakhstan,,,0.1
2017,Percent,Pavlodar,,,0.1
2017,Percent,Soltustik Kazakhstan,,,0.2
2017,Percent,Shygys Kazakhstan,,,0.4
2017,Percent,Nur-Sultan city,,,0.0
2017,Percent,Almaty city,,,0.0
2017,Percent,,,Male,0.2
2017,Percent,Akmola,,Male,0.3
2017,Percent,Aktobe,,Male,0.0
2017,Percent,Almaty,,Male,0.2
2017,Percent,Atyrau,,Male,0.1
2017,Percent,Batys Kazakhstan,,Male,0.0
2017,Percent,Zhambyl,,Male,0.7
2017,Percent,Karagandy,,Male,0.1
2017,Percent,Kostanay,,Male,0.4
2017,Percent,Kyzylorda,,Male,0.1
2017,Percent,Mangistau,,Male,0.0
2017,Percent,Ontustik Kazakhstan,,Male,0.1
2017,Percent,Pavlodar,,Male,0.2
2017,Percent,Soltustik Kazakhstan,,Male,0.2
2017,Percent,Shygys Kazakhstan,,Male,0.4
2017,Percent,Nur-Sultan city,,Male,0.0
2017,Percent,Almaty city,,Male,0.0
2017,Percent,,,Female,0.1
2017,Percent,Akmola,,Female,0.3
2017,Percent,Aktobe,,Female,0.0
2017,Percent,Almaty,,Female,0.2
2017,Percent,Atyrau,,Female,0.0
2017,Percent,Batys Kazakhstan,,Female,0.0
2017,Percent,Zhambyl,,Female,0.5
2017,Percent,Karagandy,,Female,0.1
2017,Percent,Kostanay,,Female,0.4
2017,Percent,Kyzylorda,,Female,0.0
2017,Percent,Mangistau,,Female,0.0
2017,Percent,Ontustik Kazakhstan,,Female,0.0
2017,Percent,Pavlodar,,Female,0.1
2017,Percent,Soltustik Kazakhstan,,Female,0.1
2017,Percent,Shygys Kazakhstan,,Female,0.3
2017,Percent,Nur-Sultan city,,Female,0.0
2017,Percent,Almaty city,,Female,0.0
2017,Percent,,City,,0.1
2017,Percent,Akmola,City,,0.1
2017,Percent,Aktobe,City,,0.0
