Year,Units,Regions,GeoCode,Value
2014,Percent,Shygys Kazakhstan,KZ15,75.0
2015,Percent,Shygys Kazakhstan,KZ15,76.0
2016,Percent,Shygys Kazakhstan,KZ15,76.5
2017,Percent,Shygys Kazakhstan,KZ15,77.0
2018,Percent,Shygys Kazakhstan,KZ15,78.1
2015,Percent,Nur-Sultan city,KZ05,71.1
2016,Percent,Nur-Sultan city,KZ05,74.5
2017,Percent,Nur-Sultan city,KZ05,79.3
2018,Percent,Nur-Sultan city,KZ05,76.0
2011,Percent,Almaty city,KZ02,28.0
2012,Percent,Almaty city,KZ02,34.0
2013,Percent,Almaty city,KZ02,37.0
2014,Percent,Almaty city,KZ02,43.0
2015,Percent,Almaty city,KZ02,65.0
2016,Percent,Almaty city,KZ02,60.0
2017,Percent,Almaty city,KZ02,65.0
2018,Percent,Almaty city,KZ02,70.0
2014,Percent,Shymkent city,KZ18,30.7
2015,Percent,Shymkent city,KZ18,40.4
2016,Percent,Shymkent city,KZ18,41.4
2017,Percent,Shymkent city,KZ18,46.5
2018,Percent,Shymkent city,KZ18,53.7
