Year,Units,Regions,Sex,Area,Age,GeoCode,Value
2010,Percent,Mangistau,,,,KZ09,6.4
2011,Percent,Mangistau,,,,KZ09,5.8
2012,Percent,Mangistau,,,,KZ09,5.7
2013,Percent,Mangistau,,,,KZ09,5.5
2014,Percent,Mangistau,,,,KZ09,5.0
2015,Percent,Mangistau,,,,KZ09,5.1
2016,Percent,Mangistau,,,,KZ09,5.0
2017,Percent,Mangistau,,,,KZ09,4.9
2018,Percent,Mangistau,,,,KZ09,4.8
2010,Percent,Ontustik Kazakhstan,,,,KZ10,5.9
2011,Percent,Ontustik Kazakhstan,,,,KZ10,5.7
2012,Percent,Ontustik Kazakhstan,,,,KZ10,5.6
2013,Percent,Ontustik Kazakhstan,,,,KZ10,5.5
2014,Percent,Ontustik Kazakhstan,,,,KZ10,5.4
2015,Percent,Ontustik Kazakhstan,,,,KZ10,5.3
2016,Percent,Ontustik Kazakhstan,,,,KZ10,5.2
2017,Percent,Ontustik Kazakhstan,,,,KZ10,5.2
2010,Percent,Pavlodar,,,,KZ11,5.6
2011,Percent,Pavlodar,,,,KZ11,5.2
2012,Percent,Pavlodar,,,,KZ11,4.9
2013,Percent,Pavlodar,,,,KZ11,5.0
2014,Percent,Pavlodar,,,,KZ11,4.8
2015,Percent,Pavlodar,,,,KZ11,4.9
2016,Percent,Pavlodar,,,,KZ11,4.8
2017,Percent,Pavlodar,,,,KZ11,4.8
2018,Percent,Pavlodar,,,,KZ11,4.8
2010,Percent,Soltustik Kazakhstan,,,,KZ16,5.8
2011,Percent,Soltustik Kazakhstan,,,,KZ16,5.4
2012,Percent,Soltustik Kazakhstan,,,,KZ16,5.2
2013,Percent,Soltustik Kazakhstan,,,,KZ16,5.1
2014,Percent,Soltustik Kazakhstan,,,,KZ16,5.0
2015,Percent,Soltustik Kazakhstan,,,,KZ16,5.1
2016,Percent,Soltustik Kazakhstan,,,,KZ16,5.0
2017,Percent,Soltustik Kazakhstan,,,,KZ16,4.9
2018,Percent,Soltustik Kazakhstan,,,,KZ16,4.9
2018,Percent,Turkistan,,,,KZ10,5.2
2010,Percent,Shygys Kazakhstan,,,,KZ15,5.7
2011,Percent,Shygys Kazakhstan,,,,KZ15,5.2
2012,Percent,Shygys Kazakhstan,,,,KZ15,5.1
2013,Percent,Shygys Kazakhstan,,,,KZ15,5.1
2014,Percent,Shygys Kazakhstan,,,,KZ15,4.8
2015,Percent,Shygys Kazakhstan,,,,KZ15,5.0
2016,Percent,Shygys Kazakhstan,,,,KZ15,4.9
2017,Percent,Shygys Kazakhstan,,,,KZ15,4.8
2018,Percent,Shygys Kazakhstan,,,,KZ15,4.8
2010,Percent,Nur-Sultan city,,,,KZ05,6.2
2011,Percent,Nur-Sultan city,,,,KZ05,5.8
2012,Percent,Nur-Sultan city,,,,KZ05,5.7
2013,Percent,Nur-Sultan city,,,,KZ05,5.5
2014,Percent,Nur-Sultan city,,,,KZ05,5.1
2015,Percent,Nur-Sultan city,,,,KZ05,4.7
2016,Percent,Nur-Sultan city,,,,KZ05,4.6
2017,Percent,Nur-Sultan city,,,,KZ05,4.6
2018,Percent,Nur-Sultan city,,,,KZ05,4.5
2010,Percent,Almaty city,,,,KZ02,6.3
2011,Percent,Almaty city,,,,KZ02,5.6
2012,Percent,Almaty city,,,,KZ02,5.6
2013,Percent,Almaty city,,,,KZ02,5.6
2014,Percent,Almaty city,,,,KZ02,5.5
2015,Percent,Almaty city,,,,KZ02,5.3
2016,Percent,Almaty city,,,,KZ02,5.3
2017,Percent,Almaty city,,,,KZ02,5.3
2018,Percent,Almaty city,,,,KZ02,5.2
2018,Percent,Shymkent city,,,,KZ18,5.2
2010,Percent,,Male,,,,4.9
2011,Percent,,Male,,,,4.6
2012,Percent,,Male,,,,4.1
2013,Percent,,Male,,,,4.6
2014,Percent,,Male,,,,4.3
2015,Percent,,Male,,,,4.4
2016,Percent,,Male,,,,4.4
2017,Percent,,Male,,,,4.4
2018,Percent,,Male,,,,4.3
2010,Percent,Akmola,Male,,,,6.1
2011,Percent,Akmola,Male,,,,5.3
2012,Percent,Akmola,Male,,,,4.0
2013,Percent,Akmola,Male,,,,4.7
2014,Percent,Akmola,Male,,,,4.6
2015,Percent,Akmola,Male,,,,5.0
2016,Percent,Akmola,Male,,,,5.2
2017,Percent,Akmola,Male,,,,5.0
2018,Percent,Akmola,Male,,,,4.8
2010,Percent,Aktobe,Male,,,,2.9
2011,Percent,Aktobe,Male,,,,3.5
2012,Percent,Aktobe,Male,,,,2.9
2013,Percent,Aktobe,Male,,,,3.3
2014,Percent,Aktobe,Male,,,,3.8
2015,Percent,Aktobe,Male,,,,4.3
2016,Percent,Aktobe,Male,,,,4.8
2017,Percent,Aktobe,Male,,,,4.8
2018,Percent,Aktobe,Male,,,,4.6
2010,Percent,Almaty,Male,,,,5.3
2011,Percent,Almaty,Male,,,,5.1
2012,Percent,Almaty,Male,,,,3.6
2013,Percent,Almaty,Male,,,,5.9
2014,Percent,Almaty,Male,,,,4.0
2015,Percent,Almaty,Male,,,,4.0
2016,Percent,Almaty,Male,,,,3.8
2017,Percent,Almaty,Male,,,,3.5
2018,Percent,Almaty,Male,,,,3.2
2010,Percent,Atyrau,Male,,,,3.9
2011,Percent,Atyrau,Male,,,,4.2
2012,Percent,Atyrau,Male,,,,3.9
2013,Percent,Atyrau,Male,,,,4.7
2014,Percent,Atyrau,Male,,,,5.2
2015,Percent,Atyrau,Male,,,,5.4
2016,Percent,Atyrau,Male,,,,4.8
2017,Percent,Atyrau,Male,,,,4.9
2018,Percent,Atyrau,Male,,,,4.9
2010,Percent,Batys Kazakhstan,Male,,,,4.7
2011,Percent,Batys Kazakhstan,Male,,,,4.9
2012,Percent,Batys Kazakhstan,Male,,,,5.2
2013,Percent,Batys Kazakhstan,Male,,,,4.2
2014,Percent,Batys Kazakhstan,Male,,,,4.5
2015,Percent,Batys Kazakhstan,Male,,,,4.3
2016,Percent,Batys Kazakhstan,Male,,,,4.6
2017,Percent,Batys Kazakhstan,Male,,,,4.5
2018,Percent,Batys Kazakhstan,Male,,,,4.5
2010,Percent,Zhambyl,Male,,,,5.5
2011,Percent,Zhambyl,Male,,,,4.9
2012,Percent,Zhambyl,Male,,,,5.3
2013,Percent,Zhambyl,Male,,,,5.1
2014,Percent,Zhambyl,Male,,,,4.0
2015,Percent,Zhambyl,Male,,,,4.1
2016,Percent,Zhambyl,Male,,,,4.0
2017,Percent,Zhambyl,Male,,,,4.5
2018,Percent,Zhambyl,Male,,,,4.8
2010,Percent,Karagandy,Male,,,,4.5
2011,Percent,Karagandy,Male,,,,3.7
2012,Percent,Karagandy,Male,,,,3.7
2013,Percent,Karagandy,Male,,,,4.8
2014,Percent,Karagandy,Male,,,,3.6
2015,Percent,Karagandy,Male,,,,3.8
2016,Percent,Karagandy,Male,,,,4.2
2017,Percent,Karagandy,Male,,,,4.0
2018,Percent,Karagandy,Male,,,,3.4
2010,Percent,Kostanay,Male,,,,5.2
2011,Percent,Kostanay,Male,,,,4.8
2012,Percent,Kostanay,Male,,,,4.2
2013,Percent,Kostanay,Male,,,,4.4
2014,Percent,Kostanay,Male,,,,5.1
2015,Percent,Kostanay,Male,,,,4.5
2016,Percent,Kostanay,Male,,,,4.8
2017,Percent,Kostanay,Male,,,,4.6
2018,Percent,Kostanay,Male,,,,4.7
2010,Percent,Kyzylorda,Male,,,,5.7
2011,Percent,Kyzylorda,Male,,,,5.2
2012,Percent,Kyzylorda,Male,,,,4.0
2013,Percent,Kyzylorda,Male,,,,4.1
2014,Percent,Kyzylorda,Male,,,,4.5
2015,Percent,Kyzylorda,Male,,,,4.7
2016,Percent,Kyzylorda,Male,,,,4.4
2017,Percent,Kyzylorda,Male,,,,4.6
2018,Percent,Kyzylorda,Male,,,,4.7
2010,Percent,Mangistau,Male,,,,5.9
2011,Percent,Mangistau,Male,,,,5.4
2012,Percent,Mangistau,Male,,,,5.0
2013,Percent,Mangistau,Male,,,,2.7
2014,Percent,Mangistau,Male,,,,3.9
2015,Percent,Mangistau,Male,,,,2.6
2016,Percent,Mangistau,Male,,,,2.7
2017,Percent,Mangistau,Male,,,,3.0
2018,Percent,Mangistau,Male,,,,2.8
2010,Percent,Ontustik Kazakhstan,Male,,,,4.8
2011,Percent,Ontustik Kazakhstan,Male,,,,5.1
2012,Percent,Ontustik Kazakhstan,Male,,,,4.4
2013,Percent,Ontustik Kazakhstan,Male,,,,3.9
2014,Percent,Ontustik Kazakhstan,Male,,,,4.5
2015,Percent,Ontustik Kazakhstan,Male,,,,4.7
2016,Percent,Ontustik Kazakhstan,Male,,,,4.4
2017,Percent,Ontustik Kazakhstan,Male,,,,4.6
2010,Percent,Pavlodar,Male,,,,4.6
2011,Percent,Pavlodar,Male,,,,4.4
2012,Percent,Pavlodar,Male,,,,4.1
2013,Percent,Pavlodar,Male,,,,4.2
2014,Percent,Pavlodar,Male,,,,4.5
2015,Percent,Pavlodar,Male,,,,4.7
2016,Percent,Pavlodar,Male,,,,4.6
2017,Percent,Pavlodar,Male,,,,4.7
2018,Percent,Pavlodar,Male,,,,4.7
2010,Percent,Soltustik Kazakhstan,Male,,,,6.1
2011,Percent,Soltustik Kazakhstan,Male,,,,5.3
2012,Percent,Soltustik Kazakhstan,Male,,,,4.1
2013,Percent,Soltustik Kazakhstan,Male,,,,5.1
2014,Percent,Soltustik Kazakhstan,Male,,,,4.9
2015,Percent,Soltustik Kazakhstan,Male,,,,4.4
2016,Percent,Soltustik Kazakhstan,Male,,,,5.0
2017,Percent,Soltustik Kazakhstan,Male,,,,5.3
2018,Percent,Soltustik Kazakhstan,Male,,,,5.0
2018,Percent,Turkistan,Male,,,,4.6
2010,Percent,Shygys Kazakhstan,Male,,,,4.9
2011,Percent,Shygys Kazakhstan,Male,,,,3.7
2012,Percent,Shygys Kazakhstan,Male,,,,4.5
2013,Percent,Shygys Kazakhstan,Male,,,,4.7
2014,Percent,Shygys Kazakhstan,Male,,,,3.3
2015,Percent,Shygys Kazakhstan,Male,,,,4.3
2016,Percent,Shygys Kazakhstan,Male,,,,4.2
2017,Percent,Shygys Kazakhstan,Male,,,,4.7
2018,Percent,Shygys Kazakhstan,Male,,,,4.7
2010,Percent,Nur-Sultan city,Male,,,,2.9
2011,Percent,Nur-Sultan city,Male,,,,4.0
2012,Percent,Nur-Sultan city,Male,,,,5.5
2013,Percent,Nur-Sultan city,Male,,,,4.7
2014,Percent,Nur-Sultan city,Male,,,,5.0
2015,Percent,Nur-Sultan city,Male,,,,4.1
2016,Percent,Nur-Sultan city,Male,,,,4.4
2017,Percent,Nur-Sultan city,Male,,,,4.6
2018,Percent,Nur-Sultan city,Male,,,,4.4
2010,Percent,Almaty city,Male,,,,5.5
2011,Percent,Almaty city,Male,,,,4.4
2012,Percent,Almaty city,Male,,,,3.0
2013,Percent,Almaty city,Male,,,,4.7
2014,Percent,Almaty city,Male,,,,4.5
2015,Percent,Almaty city,Male,,,,4.8
2016,Percent,Almaty city,Male,,,,4.9
2017,Percent,Almaty city,Male,,,,4.2
2018,Percent,Almaty city,Male,,,,4.1
2018,Percent,Shymkent city,Male,,,,5.5
2010,Percent,,Female,,,,6.6
2011,Percent,,Female,,,,6.2
2012,Percent,,Female,,,,6.5
2013,Percent,,Female,,,,5.9
2014,Percent,,Female,,,,5.8
2015,Percent,,Female,,,,5.9
2016,Percent,,Female,,,,5.5
2017,Percent,,Female,,,,5.4
2018,Percent,,Female,,,,5.4
2010,Percent,Akmola,Female,,,,5.5
2011,Percent,Akmola,Female,,,,5.6
2012,Percent,Akmola,Female,,,,6.6
2013,Percent,Akmola,Female,,,,5.6
2014,Percent,Akmola,Female,,,,5.3
2015,Percent,Akmola,Female,,,,5.1
2016,Percent,Akmola,Female,,,,4.6
2017,Percent,Akmola,Female,,,,4.6
2018,Percent,Akmola,Female,,,,4.7
2010,Percent,Aktobe,Female,,,,7.7
2011,Percent,Aktobe,Female,,,,6.2
2012,Percent,Aktobe,Female,,,,6.9
2013,Percent,Aktobe,Female,,,,6.6
2014,Percent,Aktobe,Female,,,,6.0
2015,Percent,Aktobe,Female,,,,6.0
2016,Percent,Aktobe,Female,,,,4.9
2017,Percent,Aktobe,Female,,,,4.8
2018,Percent,Aktobe,Female,,,,5.0
2010,Percent,Almaty,Female,,,,6.0
2011,Percent,Almaty,Female,,,,5.0
2012,Percent,Almaty,Female,,,,6.5
2013,Percent,Almaty,Female,,,,3.9
2014,Percent,Almaty,Female,,,,5.9
2015,Percent,Almaty,Female,,,,6.1
2016,Percent,Almaty,Female,,,,5.8
2017,Percent,Almaty,Female,,,,6.0
2018,Percent,Almaty,Female,,,,6.2
2010,Percent,Atyrau,Female,,,,7.0
2011,Percent,Atyrau,Female,,,,5.9
2012,Percent,Atyrau,Female,,,,6.1
2013,Percent,Atyrau,Female,,,,5.3
2014,Percent,Atyrau,Female,,,,4.9
2015,Percent,Atyrau,Female,,,,4.7
2016,Percent,Atyrau,Female,,,,5.1
2017,Percent,Atyrau,Female,,,,5.0
2018,Percent,Atyrau,Female,,,,4.9
2010,Percent,Batys Kazakhstan,Female,,,,6.6
2011,Percent,Batys Kazakhstan,Female,,,,5.8
2012,Percent,Batys Kazakhstan,Female,,,,5.1
2013,Percent,Batys Kazakhstan,Female,,,,6.0
2014,Percent,Batys Kazakhstan,Female,,,,5.6
2015,Percent,Batys Kazakhstan,Female,,,,6.0
2016,Percent,Batys Kazakhstan,Female,,,,5.2
2017,Percent,Batys Kazakhstan,Female,,,,5.3
2018,Percent,Batys Kazakhstan,Female,,,,5.3
2010,Percent,Zhambyl,Female,,,,5.9
2011,Percent,Zhambyl,Female,,,,6.1
2012,Percent,Zhambyl,Female,,,,5.6
2013,Percent,Zhambyl,Female,,,,5.3
2014,Percent,Zhambyl,Female,,,,5.9
2015,Percent,Zhambyl,Female,,,,6.1
2016,Percent,Zhambyl,Female,,,,5.8
2017,Percent,Zhambyl,Female,,,,5.3
2018,Percent,Zhambyl,Female,,,,5.0
2010,Percent,Karagandy,Female,,,,6.4
2011,Percent,Karagandy,Female,,,,6.8
2012,Percent,Karagandy,Female,,,,6.6
2013,Percent,Karagandy,Female,,,,5.2
2014,Percent,Karagandy,Female,,,,6.2
2015,Percent,Karagandy,Female,,,,6.9
2016,Percent,Karagandy,Female,,,,5.8
2017,Percent,Karagandy,Female,,,,5.6
2018,Percent,Karagandy,Female,,,,5.9
2010,Percent,Kostanay,Female,,,,6.1
2011,Percent,Kostanay,Female,,,,5.9
2012,Percent,Kostanay,Female,,,,6.3
2013,Percent,Kostanay,Female,,,,5.9
2014,Percent,Kostanay,Female,,,,5.0
2015,Percent,Kostanay,Female,,,,5.7
2016,Percent,Kostanay,Female,,,,5.1
2017,Percent,Kostanay,Female,,,,5.1
2018,Percent,Kostanay,Female,,,,4.9
2010,Percent,Kyzylorda,Female,,,,6.1
2011,Percent,Kyzylorda,Female,,,,5.8
2012,Percent,Kyzylorda,Female,,,,6.8
2013,Percent,Kyzylorda,Female,,,,6.4
2014,Percent,Kyzylorda,Female,,,,5.7
2015,Percent,Kyzylorda,Female,,,,5.6
2016,Percent,Kyzylorda,Female,,,,5.5
2017,Percent,Kyzylorda,Female,,,,5.1
2018,Percent,Kyzylorda,Female,,,,4.9
2010,Percent,Mangistau,Female,,,,7.1
2011,Percent,Mangistau,Female,,,,6.3
2012,Percent,Mangistau,Female,,,,6.5
2013,Percent,Mangistau,Female,,,,8.8
2014,Percent,Mangistau,Female,,,,6.3
2015,Percent,Mangistau,Female,,,,7.9
2016,Percent,Mangistau,Female,,,,7.8
2017,Percent,Mangistau,Female,,,,7.1
2018,Percent,Mangistau,Female,,,,7.0
2010,Percent,Ontustik Kazakhstan,Female,,,,7.2
2011,Percent,Ontustik Kazakhstan,Female,,,,6.4
2012,Percent,Ontustik Kazakhstan,Female,,,,7.0
2013,Percent,Ontustik Kazakhstan,Female,,,,7.4
2014,Percent,Ontustik Kazakhstan,Female,,,,6.4
2015,Percent,Ontustik Kazakhstan,Female,,,,6.1
2016,Percent,Ontustik Kazakhstan,Female,,,,6.1
2017,Percent,Ontustik Kazakhstan,Female,,,,5.9
2010,Percent,Pavlodar,Female,,,,6.7
2011,Percent,Pavlodar,Female,,,,6.0
2012,Percent,Pavlodar,Female,,,,5.8
2013,Percent,Pavlodar,Female,,,,5.8
2014,Percent,Pavlodar,Female,,,,5.0
2015,Percent,Pavlodar,Female,,,,5.1
2016,Percent,Pavlodar,Female,,,,5.0
2017,Percent,Pavlodar,Female,,,,4.9
2018,Percent,Pavlodar,Female,,,,4.8
2010,Percent,Soltustik Kazakhstan,Female,,,,5.5
2011,Percent,Soltustik Kazakhstan,Female,,,,5.6
2012,Percent,Soltustik Kazakhstan,Female,,,,6.3
2013,Percent,Soltustik Kazakhstan,Female,,,,5.1
2014,Percent,Soltustik Kazakhstan,Female,,,,5.1
2015,Percent,Soltustik Kazakhstan,Female,,,,5.8
2016,Percent,Soltustik Kazakhstan,Female,,,,4.9
2017,Percent,Soltustik Kazakhstan,Female,,,,4.4
2018,Percent,Soltustik Kazakhstan,Female,,,,4.7
2018,Percent,Turkistan,Female,,,,5.8
2010,Percent,Shygys Kazakhstan,Female,,,,6.5
2011,Percent,Shygys Kazakhstan,Female,,,,6.8
2012,Percent,Shygys Kazakhstan,Female,,,,5.7
2013,Percent,Shygys Kazakhstan,Female,,,,5.4
2014,Percent,Shygys Kazakhstan,Female,,,,6.3
2015,Percent,Shygys Kazakhstan,Female,,,,5.8
2016,Percent,Shygys Kazakhstan,Female,,,,5.6
2017,Percent,Shygys Kazakhstan,Female,,,,5.0
2018,Percent,Shygys Kazakhstan,Female,,,,5.0
2010,Percent,Nur-Sultan city,Female,,,,9.7
2011,Percent,Nur-Sultan city,Female,,,,7.8
2012,Percent,Nur-Sultan city,Female,,,,5.9
2013,Percent,Nur-Sultan city,Female,,,,6.3
2014,Percent,Nur-Sultan city,Female,,,,5.1
2015,Percent,Nur-Sultan city,Female,,,,5.3
2016,Percent,Nur-Sultan city,Female,,,,4.9
2017,Percent,Nur-Sultan city,Female,,,,4.6
2018,Percent,Nur-Sultan city,Female,,,,4.6
2010,Percent,Almaty city,Female,,,,7.0
2011,Percent,Almaty city,Female,,,,6.7
2012,Percent,Almaty city,Female,,,,8.0
2013,Percent,Almaty city,Female,,,,6.5
2014,Percent,Almaty city,Female,,,,6.5
2015,Percent,Almaty city,Female,,,,5.6
2016,Percent,Almaty city,Female,,,,5.7
2017,Percent,Almaty city,Female,,,,6.2
2018,Percent,Almaty city,Female,,,,6.2
2018,Percent,Shymkent city,Female,,,,4.9
2010,Percent,,,Urban,,,6.2
2011,Percent,,,Urban,,,5.8
2012,Percent,,,Urban,,,5.6
2013,Percent,,,Urban,,,5.4
2014,Percent,,,Urban,,,5.2
2015,Percent,,,Urban,,,5.0
2016,Percent,,,Urban,,,5.1
2017,Percent,,,Urban,,,5.2
2018,Percent,,,Urban,,,4.9
2010,Percent,Akmola,,Urban,,,5.7
2011,Percent,Akmola,,Urban,,,5.2
2012,Percent,Akmola,,Urban,,,4.8
2013,Percent,Akmola,,Urban,,,4.8
2014,Percent,Akmola,,Urban,,,4.6
2015,Percent,Akmola,,Urban,,,4.5
2016,Percent,Akmola,,Urban,,,4.4
2017,Percent,Akmola,,Urban,,,4.5
2018,Percent,Akmola,,Urban,,,4.4
2010,Percent,Aktobe,,Urban,,,5.4
2011,Percent,Aktobe,,Urban,,,4.7
2012,Percent,Aktobe,,Urban,,,5.4
2013,Percent,Aktobe,,Urban,,,5.4
2014,Percent,Aktobe,,Urban,,,5.1
2015,Percent,Aktobe,,Urban,,,4.9
2016,Percent,Aktobe,,Urban,,,5.1
2017,Percent,Aktobe,,Urban,,,5.0
2018,Percent,Aktobe,,Urban,,,4.7
2010,Percent,Almaty,,Urban,,,5.6
2011,Percent,Almaty,,Urban,,,6.0
2012,Percent,Almaty,,Urban,,,4.4
2013,Percent,Almaty,,Urban,,,4.7
2014,Percent,Almaty,,Urban,,,5.0
2015,Percent,Almaty,,Urban,,,5.0
2016,Percent,Almaty,,Urban,,,4.8
2017,Percent,Almaty,,Urban,,,4.3
2018,Percent,Almaty,,Urban,,,5.2
2010,Percent,Atyrau,,Urban,,,6.1
2011,Percent,Atyrau,,Urban,,,5.2
2012,Percent,Atyrau,,Urban,,,4.4
2013,Percent,Atyrau,,Urban,,,4.7
2014,Percent,Atyrau,,Urban,,,4.4
2015,Percent,Atyrau,,Urban,,,4.1
2016,Percent,Atyrau,,Urban,,,5.9
2017,Percent,Atyrau,,Urban,,,5.0
2018,Percent,Atyrau,,Urban,,,4.9
2010,Percent,Batys Kazakhstan,,Urban,,,4.8
2011,Percent,Batys Kazakhstan,,Urban,,,4.9
2012,Percent,Batys Kazakhstan,,Urban,,,5.0
2013,Percent,Batys Kazakhstan,,Urban,,,4.9
2014,Percent,Batys Kazakhstan,,Urban,,,4.9
2015,Percent,Batys Kazakhstan,,Urban,,,4.8
2016,Percent,Batys Kazakhstan,,Urban,,,4.8
2017,Percent,Batys Kazakhstan,,Urban,,,5.0
2018,Percent,Batys Kazakhstan,,Urban,,,4.7
2010,Percent,Zhambyl,,Urban,,,7.0
2011,Percent,Zhambyl,,Urban,,,6.8
2012,Percent,Zhambyl,,Urban,,,6.8
2013,Percent,Zhambyl,,Urban,,,6.5
2014,Percent,Zhambyl,,Urban,,,6.0
2015,Percent,Zhambyl,,Urban,,,5.7
2016,Percent,Zhambyl,,Urban,,5.5,
2017,Percent,Zhambyl,,Urban,,,5.8
2018,Percent,Zhambyl,,Urban,,,5.5
2010,Percent,Karagandy,,Urban,,,5.5
2011,Percent,Karagandy,,Urban,,,5.3
2012,Percent,Karagandy,,Urban,,,5.1
2013,Percent,Karagandy,,Urban,,,4.9
2014,Percent,Karagandy,,Urban,,,5.1
2015,Percent,Karagandy,,Urban,,,5.1
2016,Percent,Karagandy,,Urban,,,5.1
2017,Percent,Karagandy,,Urban,,,5.2
2018,Percent,Karagandy,,Urban,,,4.8
2010,Percent,Kostanay,,Urban,,,7.6
2011,Percent,Kostanay,,Urban,,,7.4
2012,Percent,Kostanay,,Urban,,,7.1
2013,Percent,Kostanay,,Urban,,,6.7
2014,Percent,Kostanay,,Urban,,,6.0
2015,Percent,Kostanay,,Urban,,,5.6
2016,Percent,Kostanay,,Urban,,,5.6
2017,Percent,Kostanay,,Urban,,,5.6
2018,Percent,Kostanay,,Urban,,,5.2
2010,Percent,Kyzylorda,,Urban,,,5.4
2011,Percent,Kyzylorda,,Urban,,,5.1
2012,Percent,Kyzylorda,,Urban,,,5.0
2013,Percent,Kyzylorda,,Urban,,,5.0
2014,Percent,Kyzylorda,,Urban,,,4.7
2015,Percent,Kyzylorda,,Urban,,,4.8
2016,Percent,Kyzylorda,,Urban,,,4.6
2017,Percent,Kyzylorda,,Urban,,,4.6
2018,Percent,Kyzylorda,,Urban,,,4.6
2010,Percent,Mangistau,,Urban,,,5.8
2011,Percent,Mangistau,,Urban,,,4.9
2012,Percent,Mangistau,,Urban,,,4.8
2013,Percent,Mangistau,,Urban,,,4.9
2014,Percent,Mangistau,,Urban,,,4.5
2015,Percent,Mangistau,,Urban,,,4.5
2016,Percent,Mangistau,,Urban,,,4.9
