Year,Units,Regions,Value
2013,в процентах к 2005 году,Shygys Kazakhstan,166.1
2013,в процентах к 2005 году,Nur-Sultan city,126.7
2013,в процентах к 2005 году,Almaty city,155.7
2014,в процентах к 2005 году,,147.4
2014,в процентах к 2005 году,Akmola,172.3
2014,в процентах к 2005 году,Aktobe,138.9
2014,в процентах к 2005 году,Almaty,146.5
2014,в процентах к 2005 году,Atyrau,152.1
2014,в процентах к 2005 году,Batys Kazakhstan,136.1
2014,в процентах к 2005 году,Zhambyl,155.7
2014,в процентах к 2005 году,Karagandy,137.3
2014,в процентах к 2005 году,Kostanay,154.3
2014,в процентах к 2005 году,Kyzylorda,125.8
2014,в процентах к 2005 году,Mangistau,92.1
2014,в процентах к 2005 году,Ontustik Kazakhstan,122.0
2014,в процентах к 2005 году,Pavlodar,166.5
2014,в процентах к 2005 году,Soltustik Kazakhstan,169.9
2014,в процентах к 2005 году,Shygys Kazakhstan,170.6
2014,в процентах к 2005 году,Nur-Sultan city,132.4
2014,в процентах к 2005 году,Almaty city,153.2
2015,в процентах к 2005 году,,148.9
2015,в процентах к 2005 году,Akmola,174.5
2015,в процентах к 2005 году,Aktobe,132.5
2015,в процентах к 2005 году,Almaty,150.5
2015,в процентах к 2005 году,Atyrau,152.9
2015,в процентах к 2005 году,Batys Kazakhstan,133.9
2015,в процентах к 2005 году,Zhambyl,154.1
2015,в процентах к 2005 году,Karagandy,140.2
2015,в процентах к 2005 году,Kostanay,148.4
2015,в процентах к 2005 году,Kyzylorda,118.6
2015,в процентах к 2005 году,Mangistau,89.2
2015,в процентах к 2005 году,Ontustik Kazakhstan,121.4
2015,в процентах к 2005 году,Pavlodar,166.3
2015,в процентах к 2005 году,Soltustik Kazakhstan,172.6
2015,в процентах к 2005 году,Shygys Kazakhstan,170.4
2015,в процентах к 2005 году,Nur-Sultan city,136.1
2015,в процентах к 2005 году,Almaty city,154.7
2016,в процентах к 2005 году,,148.5
2016,в процентах к 2005 году,Akmola,179.9
2016,в процентах к 2005 году,Aktobe,132.0
2016,в процентах к 2005 году,Almaty,150.8
2016,в процентах к 2005 году,Atyrau,155.2
2016,в процентах к 2005 году,Batys Kazakhstan,136.2
2016,в процентах к 2005 году,Zhambyl,156.9
2016,в процентах к 2005 году,Karagandy,143.3
2016,в процентах к 2005 году,Kostanay,145.6
2016,в процентах к 2005 году,Kyzylorda,111.5
2016,в процентах к 2005 году,Mangistau,86.6
2016,в процентах к 2005 году,Ontustik Kazakhstan,121.8
2016,в процентах к 2005 году,Pavlodar,165.1
2016,в процентах к 2005 году,Soltustik Kazakhstan,175.2
2016,в процентах к 2005 году,Shygys Kazakhstan,174.5
2016,в процентах к 2005 году,Nur-Sultan city,130.4
2016,в процентах к 2005 году,Almaty city,153.8
2017,в процентах к 2005 году,,152.5
2017,в процентах к 2005 году,Akmola,184.9
2017,в процентах к 2005 году,Aktobe,136.8
2017,в процентах к 2005 году,Almaty,154.1
2017,в процентах к 2005 году,Atyrau,176.2
2017,в процентах к 2005 году,Batys Kazakhstan,139.3
2017,в процентах к 2005 году,Zhambyl,162.2
2017,в процентах к 2005 году,Karagandy,148.9
2017,в процентах к 2005 году,Kostanay,153.0
2017,в процентах к 2005 году,Kyzylorda,110.6
2017,в процентах к 2005 году,Mangistau,84.0
2017,в процентах к 2005 году,Ontustik Kazakhstan,124.0
2017,в процентах к 2005 году,Pavlodar,172.2
2017,в процентах к 2005 году,Soltustik Kazakhstan,182.4
2017,в процентах к 2005 году,Shygys Kazakhstan,178.9
2017,в процентах к 2005 году,Nur-Sultan city,124.9
2017,в процентах к 2005 году,Almaty city,153.6
2018,в процентах к 2005 году,,156.3
2018,в процентах к 2005 году,Akmola,191.4
2018,в процентах к 2005 году,Aktobe,142.0
2018,в процентах к 2005 году,Almaty,156.7
2018,в процентах к 2005 году,Atyrau,195.4
2018,в процентах к 2005 году,Batys Kazakhstan,137.2
2018,в процентах к 2005 году,Zhambyl,167.4
2018,в процентах к 2005 году,Karagandy,153.7
2018,в процентах к 2005 году,Kostanay,162.6
2018,в процентах к 2005 году,Kyzylorda,109.1
2018,в процентах к 2005 году,Mangistau,82.7
2018,в процентах к 2005 году,Pavlodar,183.2
2018,в процентах к 2005 году,Soltustik Kazakhstan,189.7
2018,в процентах к 2005 году,Shygys Kazakhstan,188.4
2018,в процентах к 2005 году,Nur-Sultan city,118.9
2018,в процентах к 2005 году,Almaty city,153.8
2019,в процентах к 2005 году,,165.5
2019,в процентах к 2005 году,Akmola,199.4
2019,в процентах к 2005 году,Aktobe,147.5
2019,в процентах к 2005 году,Almaty,162.5
2019,в процентах к 2005 году,Atyrau,212.6
2019,в процентах к 2005 году,Batys Kazakhstan,134.9
2019,в процентах к 2005 году,Zhambyl,174.3
2019,в процентах к 2005 году,Karagandy,165.5
2019,в процентах к 2005 году,Kostanay,169.3
2019,в процентах к 2005 году,Kyzylorda,108.8
2019,в процентах к 2005 году,Mangistau,80.3
2019,в процентах к 2005 году,Pavlodar,188.5
2019,в процентах к 2005 году,Soltustik Kazakhstan,200.9
2019,в процентах к 2005 году,Shygys Kazakhstan,199.3
2019,в процентах к 2005 году,Nur-Sultan city,114.7
2019,в процентах к 2005 году,Almaty city,157.8
