Year,Units,Regions,Sex,Area,Age,GeoCode,Value
2013,Percent,Ontustik Kazakhstan,,,,KZ10,2.9
2014,Percent,Ontustik Kazakhstan,,,,KZ10,4.4
2015,Percent,Ontustik Kazakhstan,,,,KZ10,3.5
2016,Percent,Ontustik Kazakhstan,,,,KZ10,3.5
2017,Percent,Ontustik Kazakhstan,,,,KZ10,3.7
2010,Percent,Pavlodar,,,,KZ11,13.1
2011,Percent,Pavlodar,,,,KZ11,13.5
2012,Percent,Pavlodar,,,,KZ11,13.6
2013,Percent,Pavlodar,,,,KZ11,13.6
2014,Percent,Pavlodar,,,,KZ11,13.9
2015,Percent,Pavlodar,,,,KZ11,14.2
2016,Percent,Pavlodar,,,,KZ11,14.7
2017,Percent,Pavlodar,,,,KZ11,14.8
2018,Percent,Pavlodar,,,,KZ11,14.9
2010,Percent,Soltustik Kazakhstan,,,,KZ16,3.6
2011,Percent,Soltustik Kazakhstan,,,,KZ16,3.6
2012,Percent,Soltustik Kazakhstan,,,,KZ16,4.1
2013,Percent,Soltustik Kazakhstan,,,,KZ16,4.2
2014,Percent,Soltustik Kazakhstan,,,,KZ16,4.2
2015,Percent,Soltustik Kazakhstan,,,,KZ16,4.4
2016,Percent,Soltustik Kazakhstan,,,,KZ16,5.0
2017,Percent,Soltustik Kazakhstan,,,,KZ16,4.7
2018,Percent,Soltustik Kazakhstan,,,,KZ16,5.2
2018,Percent,Turkistan,,,,KZ10,2.1
2010,Percent,Shygys Kazakhstan,,,,KZ15,9.1
2011,Percent,Shygys Kazakhstan,,,,KZ15,8.9
2012,Percent,Shygys Kazakhstan,,,,KZ15,9.5
2013,Percent,Shygys Kazakhstan,,,,KZ15,9.6
2014,Percent,Shygys Kazakhstan,,,,KZ15,9.8
2015,Percent,Shygys Kazakhstan,,,,KZ15,10.3
2016,Percent,Shygys Kazakhstan,,,,KZ15,10.9
2017,Percent,Shygys Kazakhstan,,,,KZ15,10.4
2018,Percent,Shygys Kazakhstan,,,,KZ15,10.4
2010,Percent,Nur-Sultan city,,,,KZ05,5.2
2011,Percent,Nur-Sultan city,,,,KZ05,2.2
2012,Percent,Nur-Sultan city,,,,KZ05,2.9
2013,Percent,Nur-Sultan city,,,,KZ05,3.0
2014,Percent,Nur-Sultan city,,,,KZ05,2.7
2015,Percent,Nur-Sultan city,,,,KZ05,3.9
2016,Percent,Nur-Sultan city,,,,KZ05,3.9
2017,Percent,Nur-Sultan city,,,,KZ05,4.6
2018,Percent,Nur-Sultan city,,,,KZ05,4.6
2010,Percent,Almaty city,,,,KZ02,8.6
2011,Percent,Almaty city,,,,KZ02,7.6
2012,Percent,Almaty city,,,,KZ02,7.3
2013,Percent,Almaty city,,,,KZ02,8.1
2014,Percent,Almaty city,,,,KZ02,6.5
2015,Percent,Almaty city,,,,KZ02,7.3
2016,Percent,Almaty city,,,,KZ02,7.0
2017,Percent,Almaty city,,,,KZ02,6.8
2018,Percent,Almaty city,,,,KZ02,6.7
2018,Percent,Shymkent city,,,,KZ18,5.8
2010,Percent,,Male,,,,8.5
2011,Percent,,Male,,,,8.0
2012,Percent,,Male,,,,7.7
2013,Percent,,Male,,,,7.8
2014,Percent,,Male,,,,7.6
2015,Percent,,Male,,,,7.9
2016,Percent,,Male,,,,7.7
2017,Percent,,Male,,,,8.1
2018,Percent,,Male,,,,8.3
2010,Percent,Akmola,Male,,,,7.9
2011,Percent,Akmola,Male,,,,8.3
2012,Percent,Akmola,Male,,,,7.6
2013,Percent,Akmola,Male,,,,7.8
2014,Percent,Akmola,Male,,,,7.3
2015,Percent,Akmola,Male,,,,7.4
2016,Percent,Akmola,Male,,,,7.1
2017,Percent,Akmola,Male,,,,8.6
2018,Percent,Akmola,Male,,,,9.2
2010,Percent,Aktobe,Male,,,,5.9
2011,Percent,Aktobe,Male,,,,8.4
2012,Percent,Aktobe,Male,,,,7.8
2013,Percent,Aktobe,Male,,,,7.7
2014,Percent,Aktobe,Male,,,,8.0
2015,Percent,Aktobe,Male,,,,8.2
2016,Percent,Aktobe,Male,,,,8.9
2017,Percent,Aktobe,Male,,,,9.6
2018,Percent,Aktobe,Male,,,,9.8
2010,Percent,Almaty,Male,,,,5.8
2011,Percent,Almaty,Male,,,,4.6
2012,Percent,Almaty,Male,,,,4.3
2013,Percent,Almaty,Male,,,,4.1
2014,Percent,Almaty,Male,,,,4.8
2015,Percent,Almaty,Male,,,,5.5
2016,Percent,Almaty,Male,,,,5.2
2017,Percent,Almaty,Male,,,,6.7
2018,Percent,Almaty,Male,,,,6.7
2010,Percent,Atyrau,Male,,,,4.7
2011,Percent,Atyrau,Male,,,,4.0
2012,Percent,Atyrau,Male,,,,7.3
2013,Percent,Atyrau,Male,,,,7.9
2014,Percent,Atyrau,Male,,,,4.8
2015,Percent,Atyrau,Male,,,,6.3
2016,Percent,Atyrau,Male,,,,4.7
2017,Percent,Atyrau,Male,,,,3.2
2018,Percent,Atyrau,Male,,,,4.3
2010,Percent,Batys Kazakhstan,Male,,,,4.1
2011,Percent,Batys Kazakhstan,Male,,,,4.2
2012,Percent,Batys Kazakhstan,Male,,,,4.8
2013,Percent,Batys Kazakhstan,Male,,,,5.2
2014,Percent,Batys Kazakhstan,Male,,,,6.0
2015,Percent,Batys Kazakhstan,Male,,,,5.7
2016,Percent,Batys Kazakhstan,Male,,,,5.8
2017,Percent,Batys Kazakhstan,Male,,,,5.4
2018,Percent,Batys Kazakhstan,Male,,,,5.6
2010,Percent,Zhambyl,Male,,,,5.1
2011,Percent,Zhambyl,Male,,,,5.4
2012,Percent,Zhambyl,Male,,,,4.6
2013,Percent,Zhambyl,Male,,,,4.2
2014,Percent,Zhambyl,Male,,,,4.7
2015,Percent,Zhambyl,Male,,,,4.9
2016,Percent,Zhambyl,Male,,,,4.7
2017,Percent,Zhambyl,Male,,,,6.5
2018,Percent,Zhambyl,Male,,,,7.1
2010,Percent,Karagandy,Male,,,,27.0
2011,Percent,Karagandy,Male,,,,25.5
2012,Percent,Karagandy,Male,,,,22.8
2013,Percent,Karagandy,Male,,,,21.9
2014,Percent,Karagandy,Male,,,,18.3
2015,Percent,Karagandy,Male,,,,17.8
2016,Percent,Karagandy,Male,,,,17.4
2017,Percent,Karagandy,Male,,,,17.6
2018,Percent,Karagandy,Male,,,,17.4
2010,Percent,Kostanay,Male,,,,4.8
2011,Percent,Kostanay,Male,,,,5.0
2012,Percent,Kostanay,Male,,,,5.1
2013,Percent,Kostanay,Male,,,,5.1
2014,Percent,Kostanay,Male,,,,4.8
2015,Percent,Kostanay,Male,,,,5.1
2016,Percent,Kostanay,Male,,,,5.1
2017,Percent,Kostanay,Male,,,,6.0
2018,Percent,Kostanay,Male,,,,6.2
2010,Percent,Kyzylorda,Male,,,,4.0
2011,Percent,Kyzylorda,Male,,,,4.0
2012,Percent,Kyzylorda,Male,,,,3.9
2013,Percent,Kyzylorda,Male,,,,3.0
2014,Percent,Kyzylorda,Male,,,,2.7
2015,Percent,Kyzylorda,Male,,,,2.5
2016,Percent,Kyzylorda,Male,,,,3.9
2017,Percent,Kyzylorda,Male,,,,3.6
2018,Percent,Kyzylorda,Male,,,,4.4
2010,Percent,Mangistau,Male,,,,4.2
2011,Percent,Mangistau,Male,,,,7.7
2012,Percent,Mangistau,Male,,,,5.4
2013,Percent,Mangistau,Male,,,,7.1
2014,Percent,Mangistau,Male,,,,7.3
2015,Percent,Mangistau,Male,,,,7.4
2016,Percent,Mangistau,Male,,,,8.4
2017,Percent,Mangistau,Male,,,,8.1
2018,Percent,Mangistau,Male,,,,6.8
2010,Percent,Ontustik Kazakhstan,Male,,,,4.5
2011,Percent,Ontustik Kazakhstan,Male,,,,3.4
2012,Percent,Ontustik Kazakhstan,Male,,,,3.0
2013,Percent,Ontustik Kazakhstan,Male,,,,3.4
2014,Percent,Ontustik Kazakhstan,Male,,,,4.7
2015,Percent,Ontustik Kazakhstan,Male,,,,4.1
2016,Percent,Ontustik Kazakhstan,Male,,,,4.0
2017,Percent,Ontustik Kazakhstan,Male,,,,4.4
2010,Percent,Pavlodar,Male,,,,15.9
2011,Percent,Pavlodar,Male,,,,16.3
2012,Percent,Pavlodar,Male,,,,17.7
2013,Percent,Pavlodar,Male,,,,18.5
2014,Percent,Pavlodar,Male,,,,18.9
2015,Percent,Pavlodar,Male,,,,20.5
2016,Percent,Pavlodar,Male,,,,19.5
2017,Percent,Pavlodar,Male,,,,19.0
2018,Percent,Pavlodar,Male,,,,19.7
2010,Percent,Soltustik Kazakhstan,Male,,,,4.7
2011,Percent,Soltustik Kazakhstan,Male,,,,4.7
2012,Percent,Soltustik Kazakhstan,Male,,,,5.2
2013,Percent,Soltustik Kazakhstan,Male,,,,5.0
2014,Percent,Soltustik Kazakhstan,Male,,,,5.0
2015,Percent,Soltustik Kazakhstan,Male,,,,5.4
2016,Percent,Soltustik Kazakhstan,Male,,,,5.5
2017,Percent,Soltustik Kazakhstan,Male,,,,5.8
2018,Percent,Soltustik Kazakhstan,Male,,,,6.8
2018,Percent,Turkistan,Male,,,,2.4
2010,Percent,Shygys Kazakhstan,Male,,,,11.2
2011,Percent,Shygys Kazakhstan,Male,,,,10.5
2012,Percent,Shygys Kazakhstan,Male,,,,11.5
2013,Percent,Shygys Kazakhstan,Male,,,,11.9
2014,Percent,Shygys Kazakhstan,Male,,,,11.8
2015,Percent,Shygys Kazakhstan,Male,,,,12.7
2016,Percent,Shygys Kazakhstan,Male,,,,14.0
2017,Percent,Shygys Kazakhstan,Male,,,,13.4
2018,Percent,Shygys Kazakhstan,Male,,,,13.7
2010,Percent,Nur-Sultan city,Male,,,,4.2
2011,Percent,Nur-Sultan city,Male,,,,2.4
2012,Percent,Nur-Sultan city,Male,,,,3.9
2013,Percent,Nur-Sultan city,Male,,,,3.5
2014,Percent,Nur-Sultan city,Male,,,,3.6
2015,Percent,Nur-Sultan city,Male,,,,4.3
2016,Percent,Nur-Sultan city,Male,,,,3.1
2017,Percent,Nur-Sultan city,Male,,,,4.9
2018,Percent,Nur-Sultan city,Male,,,,5.8
2010,Percent,Almaty city,Male,,,,11.2
2011,Percent,Almaty city,Male,,,,9.4
2012,Percent,Almaty city,Male,,,,7.6
2013,Percent,Almaty city,Male,,,,8.7
2014,Percent,Almaty city,Male,,,,6.9
2015,Percent,Almaty city,Male,,,,7.9
2016,Percent,Almaty city,Male,,,,7.2
2017,Percent,Almaty city,Male,,,,7.2
2018,Percent,Almaty city,Male,,,,8.1
2018,Percent,Shymkent city,Male,,,,5.7
2010,Percent,,Female,,,,5.4
2011,Percent,,Female,,,,4.9
2012,Percent,,Female,,,,5.0
2013,Percent,,Female,,,,4.9
2014,Percent,,Female,,,,4.9
2015,Percent,,Female,,,,5.1
2016,Percent,,Female,,,,5.5
2017,Percent,,Female,,,,5.3
2018,Percent,,Female,,,,4.9
2010,Percent,Akmola,Female,,,,6.7
2011,Percent,Akmola,Female,,,,6.3
2012,Percent,Akmola,Female,,,,6.8
2013,Percent,Akmola,Female,,,,6.9
2014,Percent,Akmola,Female,,,,6.7
2015,Percent,Akmola,Female,,,,7.1
2016,Percent,Akmola,Female,,,,7.8
2017,Percent,Akmola,Female,,,,6.7
2018,Percent,Akmola,Female,,,,6.4
2010,Percent,Aktobe,Female,,,,5.5
2011,Percent,Aktobe,Female,,,,2.5
2012,Percent,Aktobe,Female,,,,2.9
2013,Percent,Aktobe,Female,,,,3.7
2014,Percent,Aktobe,Female,,,,4.2
2015,Percent,Aktobe,Female,,,,4.0
2016,Percent,Aktobe,Female,,,,5.1
2017,Percent,Aktobe,Female,,,,4.3
2018,Percent,Aktobe,Female,,,,3.9
2010,Percent,Almaty,Female,,,,3.1
2011,Percent,Almaty,Female,,,,3.0
2012,Percent,Almaty,Female,,,,2.7
2013,Percent,Almaty,Female,,,,2.7
2014,Percent,Almaty,Female,,,,3.0
2015,Percent,Almaty,Female,,,,3.5
2016,Percent,Almaty,Female,,,,3.6
2017,Percent,Almaty,Female,,,,4.3
2018,Percent,Almaty,Female,,,,3.9
2010,Percent,Atyrau,Female,,,,2.9
2011,Percent,Atyrau,Female,,,,3.3
2012,Percent,Atyrau,Female,,,,3.3
2013,Percent,Atyrau,Female,,,,4.1
2014,Percent,Atyrau,Female,,,,2.7
2015,Percent,Atyrau,Female,,,,4.0
2016,Percent,Atyrau,Female,,,,3.9
2017,Percent,Atyrau,Female,,,,4.7
2018,Percent,Atyrau,Female,,,,3.6
2010,Percent,Batys Kazakhstan,Female,,,,2.5
2011,Percent,Batys Kazakhstan,Female,,,,2.9
2012,Percent,Batys Kazakhstan,Female,,,,2.6
2013,Percent,Batys Kazakhstan,Female,,,,3.1
2014,Percent,Batys Kazakhstan,Female,,,,3.3
2015,Percent,Batys Kazakhstan,Female,,,,3.2
2016,Percent,Batys Kazakhstan,Female,,,,4.7
2017,Percent,Batys Kazakhstan,Female,,,,4.9
2018,Percent,Batys Kazakhstan,Female,,,,4.7
2010,Percent,Zhambyl,Female,,,,3.6
2011,Percent,Zhambyl,Female,,,,3.3
2012,Percent,Zhambyl,Female,,,,4.4
2013,Percent,Zhambyl,Female,,,,2.8
2014,Percent,Zhambyl,Female,,,,1.7
2015,Percent,Zhambyl,Female,,,,1.6
2016,Percent,Zhambyl,Female,,,,2.9
2017,Percent,Zhambyl,Female,,,,3.3
2018,Percent,Zhambyl,Female,,,,2.6
2010,Percent,Karagandy,Female,,,,12.1
2011,Percent,Karagandy,Female,,,,12.3
2012,Percent,Karagandy,Female,,,,11.9
2013,Percent,Karagandy,Female,,,,11.7
2014,Percent,Karagandy,Female,,,,10.3
2015,Percent,Karagandy,Female,,,,10.6
2016,Percent,Karagandy,Female,,,,10.4
2017,Percent,Karagandy,Female,,,,9.7
2018,Percent,Karagandy,Female,,,,9.6
2010,Percent,Kostanay,Female,,,,4.0
2011,Percent,Kostanay,Female,,,,4.2
2012,Percent,Kostanay,Female,,,,4.1
2013,Percent,Kostanay,Female,,,,4.2
2014,Percent,Kostanay,Female,,,,4.3
2015,Percent,Kostanay,Female,,,,4.4
2016,Percent,Kostanay,Female,,,,4.3
2017,Percent,Kostanay,Female,,,,3.7
2018,Percent,Kostanay,Female,,,,4.1
2010,Percent,Kyzylorda,Female,,,,4.8
2011,Percent,Kyzylorda,Female,,,,4.4
2012,Percent,Kyzylorda,Female,,,,2.5
2013,Percent,Kyzylorda,Female,,,,1.8
2014,Percent,Kyzylorda,Female,,,,4.1
2015,Percent,Kyzylorda,Female,,,,4.1
2016,Percent,Kyzylorda,Female,,,,4.1
2017,Percent,Kyzylorda,Female,,,,3.9
2018,Percent,Kyzylorda,Female,,,,2.7
2010,Percent,Mangistau,Female,,,,5.0
2011,Percent,Mangistau,Female,,,,6.1
2012,Percent,Mangistau,Female,,,,7.3
2013,Percent,Mangistau,Female,,,,3.1
2014,Percent,Mangistau,Female,,,,3.8
2015,Percent,Mangistau,Female,,,,5.7
2016,Percent,Mangistau,Female,,,,5.1
2017,Percent,Mangistau,Female,,,,3.5
2018,Percent,Mangistau,Female,,,,4.7
2010,Percent,Ontustik Kazakhstan,Female,,,,2.1
2011,Percent,Ontustik Kazakhstan,Female,,,,1.9
2012,Percent,Ontustik Kazakhstan,Female,,,,2.1
2013,Percent,Ontustik Kazakhstan,Female,,,,2.2
2014,Percent,Ontustik Kazakhstan,Female,,,,3.9
2015,Percent,Ontustik Kazakhstan,Female,,,,2.9
2016,Percent,Ontustik Kazakhstan,Female,,,,2.8
2017,Percent,Ontustik Kazakhstan,Female,,,,2.8
2010,Percent,Pavlodar,Female,,,,10.3
2011,Percent,Pavlodar,Female,,,,10.7
2012,Percent,Pavlodar,Female,,,,9.4
2013,Percent,Pavlodar,Female,,,,8.5
2014,Percent,Pavlodar,Female,,,,9.0
2015,Percent,Pavlodar,Female,,,,8.0
2016,Percent,Pavlodar,Female,,,,10.1
2017,Percent,Pavlodar,Female,,,,10.8
2018,Percent,Pavlodar,Female,,,,10.3
2010,Percent,Soltustik Kazakhstan,Female,,,,2.6
2011,Percent,Soltustik Kazakhstan,Female,,,,2.4
2012,Percent,Soltustik Kazakhstan,Female,,,,3.0
2013,Percent,Soltustik Kazakhstan,Female,,,,3.4
2014,Percent,Soltustik Kazakhstan,Female,,,,3.3
2015,Percent,Soltustik Kazakhstan,Female,,,,3.3
2016,Percent,Soltustik Kazakhstan,Female,,,,4.4
2017,Percent,Soltustik Kazakhstan,Female,,,,3.6
2018,Percent,Soltustik Kazakhstan,Female,,,,3.4
2018,Percent,Turkistan,Female,,,,1.8
2010,Percent,Shygys Kazakhstan,Female,,,,6.9
2011,Percent,Shygys Kazakhstan,Female,,,,7.1
2012,Percent,Shygys Kazakhstan,Female,,,,7.2
2013,Percent,Shygys Kazakhstan,Female,,,,7.2
2014,Percent,Shygys Kazakhstan,Female,,,,7.5
2015,Percent,Shygys Kazakhstan,Female,,,,7.6
2016,Percent,Shygys Kazakhstan,Female,,,,7.4
2017,Percent,Shygys Kazakhstan,Female,,,,7.3
2018,Percent,Shygys Kazakhstan,Female,,,,7.0
2010,Percent,Nur-Sultan city,Female,,,,6.4
2011,Percent,Nur-Sultan city,Female,,,,1.9
2012,Percent,Nur-Sultan city,Female,,,,1.7
2013,Percent,Nur-Sultan city,Female,,,,2.6
2014,Percent,Nur-Sultan city,Female,,,,1.8
2015,Percent,Nur-Sultan city,Female,,,,3.5
2016,Percent,Nur-Sultan city,Female,,,,4.8
2017,Percent,Nur-Sultan city,Female,,,,4.4
2018,Percent,Nur-Sultan city,Female,,,,3.3
2010,Percent,Almaty city,Female,,,,6.3
2011,Percent,Almaty city,Female,,,,6.0
2012,Percent,Almaty city,Female,,,,6.9
2013,Percent,Almaty city,Female,,,,7.6
2014,Percent,Almaty city,Female,,,,6.1
2015,Percent,Almaty city,Female,,,,6.8
2016,Percent,Almaty city,Female,,,,6.8
2017,Percent,Almaty city,Female,,,,6.4
2018,Percent,Almaty city,Female,,,,5.3
2018,Percent,Shymkent city,Female,,,,6.0
2012,Percent,,,Urban,,,9.4
2013,Percent,,,Urban,,,9.5
2014,Percent,,,Urban,,,9.1
2015,Percent,,,Urban,,,9.2
2016,Percent,,,Urban,,,8.8
2017,Percent,,,Urban,,,9.1
2018,Percent,,,Urban,,,9.0
2012,Percent,Akmola,,Urban,,,10.6
2013,Percent,Akmola,,Urban,,,10.4
2014,Percent,Akmola,,Urban,,,10.8
2015,Percent,Akmola,,Urban,,,10.9
2016,Percent,Akmola,,Urban,,,10.6
2017,Percent,Akmola,,Urban,,,10.1
2018,Percent,Akmola,,Urban,,,10.3
2012,Percent,Aktobe,,Urban,,,7.7
2013,Percent,Aktobe,,Urban,,,8.0
2014,Percent,Aktobe,,Urban,,,8.2
2015,Percent,Aktobe,,Urban,,,7.4
2016,Percent,Aktobe,,Urban,,,9.5
2017,Percent,Aktobe,,Urban,,,9.4
2018,Percent,Aktobe,,Urban,,,9.1
2012,Percent,Almaty,,Urban,,,5.1
2013,Percent,Almaty,,Urban,,,4.4
2014,Percent,Almaty,,Urban,,,5.2
2015,Percent,Almaty,,Urban,,,6.1
2016,Percent,Almaty,,Urban,,,5.1
2017,Percent,Almaty,,Urban,,,8.0
2018,Percent,Almaty,,Urban,,,6.2
2012,Percent,Atyrau,,Urban,,,6.2
2013,Percent,Atyrau,,Urban,,,6.1
2014,Percent,Atyrau,,Urban,,,4.0
2015,Percent,Atyrau,,Urban,,,4.9
2016,Percent,Atyrau,,Urban,,,4.5
2017,Percent,Atyrau,,Urban,,,5.2
2018,Percent,Atyrau,,Urban,,,4.1
2012,Percent,Batys Kazakhstan,,Urban,,,7.7
2013,Percent,Batys Kazakhstan,,Urban,,,8.4
2014,Percent,Batys Kazakhstan,,Urban,,,8.8
2015,Percent,Batys Kazakhstan,,Urban,,,8.1
2016,Percent,Batys Kazakhstan,,Urban,,,8.9
2017,Percent,Batys Kazakhstan,,Urban,,,8.0
2018,Percent,Batys Kazakhstan,,Urban,,,8.2
2012,Percent,Zhambyl,,Urban,,,6.9
2013,Percent,Zhambyl,,Urban,,,6.0
2014,Percent,Zhambyl,,Urban,,,6.0
2015,Percent,Zhambyl,,Urban,,,7.2
2016,Percent,Zhambyl,,Urban,,,4.0
2017,Percent,Zhambyl,,Urban,,,7.9
2018,Percent,Zhambyl,,Urban,,,8.8
2012,Percent,Karagandy,,Urban,,,21.8
2013,Percent,Karagandy,,Urban,,,21.0
2014,Percent,Karagandy,,Urban,,,17.8
2015,Percent,Karagandy,,Urban,,,17.2
2016,Percent,Karagandy,,Urban,,,16.6
2017,Percent,Karagandy,,Urban,,,16.6
2018,Percent,Karagandy,,Urban,,,16.8
2012,Percent,Kostanay,,Urban,,,7.8
2013,Percent,Kostanay,,Urban,,,7.7
2014,Percent,Kostanay,,Urban,,,7.0
2015,Percent,Kostanay,,Urban,,,7.3
2016,Percent,Kostanay,,Urban,,,7.0
2017,Percent,Kostanay,,Urban,,,7.1
2018,Percent,Kostanay,,Urban,,,7.2
2012,Percent,Kyzylorda,,Urban,,,3.3
2013,Percent,Kyzylorda,,Urban,,,3.0
2014,Percent,Kyzylorda,,Urban,,,3.6
2015,Percent,Kyzylorda,,Urban,,,4.0
2016,Percent,Kyzylorda,,Urban,,,3.6
2017,Percent,Kyzylorda,,Urban,,,2.7
2018,Percent,Kyzylorda,,Urban,,,3.0
2012,Percent,Mangistau,,Urban,,,3.2
2013,Percent,Mangistau,,Urban,,,5.2
2014,Percent,Mangistau,,Urban,,,5.3
2015,Percent,Mangistau,,Urban,,,7.3
2016,Percent,Mangistau,,Urban,,,6.5
2017,Percent,Mangistau,,Urban,,,5.1
2018,Percent,Mangistau,,Urban,,,5.0
2012,Percent,Ontustik Kazakhstan,,Urban,,,4.5
2013,Percent,Ontustik Kazakhstan,,Urban,,,5.2
2014,Percent,Ontustik Kazakhstan,,Urban,,,6.6
2015,Percent,Ontustik Kazakhstan,,Urban,,,5.6
2016,Percent,Ontustik Kazakhstan,,Urban,,,5.1
2017,Percent,Ontustik Kazakhstan,,Urban,,,5.8
2012,Percent,Pavlodar,,Urban,,,18.9
2013,Percent,Pavlodar,,Urban,,,18.8
2014,Percent,Pavlodar,,Urban,,,19.6
2015,Percent,Pavlodar,,Urban,,,19.1
2016,Percent,Pavlodar,,Urban,,,19.4
2017,Percent,Pavlodar,,Urban,,,19.8
2018,Percent,Pavlodar,,Urban,,,19.7
2012,Percent,Soltustik Kazakhstan,,Urban,,,8.5
2013,Percent,Soltustik Kazakhstan,,Urban,,,8.6
2014,Percent,Soltustik Kazakhstan,,Urban,,,8.5
2015,Percent,Soltustik Kazakhstan,,Urban,,,8.4
