Year,Units,Budget Income,Value
2011,million tenge,Value added tax,865212735.0064
2012,million tenge,Value added tax,914360839.252
2013,million tenge,Value added tax,1327649556.1342
2014,million tenge,Value added tax,1198169867.41276
2015,million tenge,Value added tax,944438030.3032
2016,million tenge,Value added tax,1495681958.48907
2017,million tenge,Value added tax,1664699270.11816
2018,million tenge,Value added tax,2034313934.8133302
2010,As as pecentage of GDP,Value added tax,3.1043455402280857
2011,As as pecentage of GDP,Value added tax,3.0634533178716903
2012,As as pecentage of GDP,Value added tax,2.9481068453478207
2013,As as pecentage of GDP,Value added tax,3.688015307209528
2014,As as pecentage of GDP,Value added tax,3.0198984616974736
2015,As as pecentage of GDP,Value added tax,2.31003557405262
2016,As as pecentage of GDP,Value added tax,3.184256630908696
2017,As as pecentage of GDP,Value added tax,3.1349511983308904
2018,As as pecentage of GDP,Value added tax,3.4928091700104797
2010,million tenge,Royalties related to use of resources,231272772.3282
2011,million tenge,Royalties related to use of resources,298039034.3182
2012,million tenge,Royalties related to use of resources,303927968.3336
2013,million tenge,Royalties related to use of resources,312444298.323
2014,million tenge,Royalties related to use of resources,278082952.64522004
2015,million tenge,Royalties related to use of resources,266591324.19881
2016,million tenge,Royalties related to use of resources,359944636.9235
2017,million tenge,Royalties related to use of resources,414946358.18392
2018,million tenge,Royalties related to use of resources,493648785.33085996
2010,As as pecentage of GDP,Royalties related to use of resources,1.0601296880940296
2011,As as pecentage of GDP,Royalties related to use of resources,1.0552649442112183
2012,As as pecentage of GDP,Royalties related to use of resources,0.9799327415092836
2013,As as pecentage of GDP,Royalties related to use of resources,0.8679243325481056
2014,As as pecentage of GDP,Royalties related to use of resources,0.7008874983068597
2015,As as pecentage of GDP,Royalties related to use of resources,0.6520654853715917
2016,As as pecentage of GDP,Royalties related to use of resources,0.7663100369556631
2017,As as pecentage of GDP,Royalties related to use of resources,0.7814243726672542
2018,As as pecentage of GDP,Royalties related to use of resources,0.8475687919457615
2010,million tenge,Registration fees,9731076.5766
2011,million tenge,Registration fees,11953180.6484
2012,million tenge,Registration fees,13880399.309
2013,million tenge,Registration fees,15562475.915
2014,million tenge,Registration fees,17185939.63817
2015,million tenge,Registration fees,22446793.20406
2016,million tenge,Registration fees,26902505.96605
2017,million tenge,Registration fees,26582177.40883
2018,million tenge,Registration fees,29622847.161629997
2010,As as pecentage of GDP,Registration fees,0.04460621573442427
2011,As as pecentage of GDP,Registration fees,0.04232255194000328
2012,As as pecentage of GDP,Registration fees,0.044753557307309566
2013,As as pecentage of GDP,Registration fees,0.043230270463629865
2014,As as pecentage of GDP,Registration fees,0.04331588874639605
2015,As as pecentage of GDP,Registration fees,0.05490343374687533
2016,As as pecentage of GDP,Registration fees,0.05727453120915711
2017,As as pecentage of GDP,Registration fees,0.05005938935513615
2018,As as pecentage of GDP,Registration fees,0.05086085802064487
2010,million tenge,Gambling tax,5307296.9372
2011,million tenge,Gambling tax,5906834.4913
2012,million tenge,Gambling tax,6444629.0087
2013,million tenge,Gambling tax,7734714.645
2014,million tenge,Gambling tax,8888422.31095
2015,million tenge,Gambling tax,10570459.46761
2016,million tenge,Gambling tax,11876282.91775
2017,million tenge,Gambling tax,13347959.35686
2018,million tenge,Gambling tax,28863927.12853
2010,As as pecentage of GDP,Gambling tax,0.02432808233332265
2011,As as pecentage of GDP,Gambling tax,0.020914291928860792
2012,As as pecentage of GDP,Gambling tax,0.02077894642974677
2013,As as pecentage of GDP,Gambling tax,0.0214859003084503
2014,As as pecentage of GDP,Gambling tax,0.0224026105094066
2015,As as pecentage of GDP,Gambling tax,0.02585467401860266
2016,As as pecentage of GDP,Gambling tax,0.025284207258604485
2017,As as pecentage of GDP,Gambling tax,0.025136793132666008
2018,As as pecentage of GDP,Gambling tax,0.049557832560535836
2010,million tenge,Taxes related to international trade and foreign operations,373799611.3336
2011,million tenge,Taxes related to international trade and foreign operations,813789853.9948
2012,million tenge,Taxes related to international trade and foreign operations,744443812.0009
2013,million tenge,Taxes related to international trade and foreign operations,880049267.6658
2014,million tenge,Taxes related to international trade and foreign operations,1054054719.6959199
2015,million tenge,Taxes related to international trade and foreign operations,880063188.7207099
2016,million tenge,Taxes related to international trade and foreign operations,951806708.61454
2017,million tenge,Taxes related to international trade and foreign operations,1196918503.988
2018,million tenge,Taxes related to international trade and foreign operations,1422717755.81567
2010,As as pecentage of GDP,Taxes related to international trade and foreign operations,1.7134574960272542
2011,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.8813806447870283
2012,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.400255789532796
2013,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.444647501484144
2014,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.656666899350512
2015,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.152578790909513
2016,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.0263644995162777
2017,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.2540294008270103
2018,As as pecentage of GDP,Taxes related to international trade and foreign operations,2.442730956520576
2010,million tenge,Excise taxes,61423117.956
2011,million tenge,Excise taxes,76399980.8999
2012,million tenge,Excise taxes,93143180.2472
2013,million tenge,Excise taxes,103651007.3985
2014,million tenge,Excise taxes,146865777.03333998
2015,million tenge,Excise taxes,161068271.97219
2016,million tenge,Excise taxes,205230955.45323
2017,million tenge,Excise taxes,255994199.021
2018,million tenge,Excise taxes,311855913.62152004
2010,As as pecentage of GDP,Excise taxes,0.2815570126346307
2011,As as pecentage of GDP,Excise taxes,0.2705089343968119
2012,As as pecentage of GDP,Excise taxes,0.3003147504751753
2013,As as pecentage of GDP,Excise taxes,0.287927262226054
2014,As as pecentage of GDP,Excise taxes,0.3701643199362804
2015,As as pecentage of GDP,Excise taxes,0.3939627865128344
2016,As as pecentage of GDP,Excise taxes,0.436929807878304
2017,As as pecentage of GDP,Excise taxes,0.4820866659776196
2018,As as pecentage of GDP,Excise taxes,0.5354400695874856
2010,million tenge,Government tariffs,23509262.3021
2011,million tenge,Government tariffs,26394668.8133
2012,million tenge,Government tariffs,26146320.6556
2013,million tenge,Government tariffs,32151458.0272
2014,million tenge,Government tariffs,35196771.924959995
2015,million tenge,Government tariffs,43579289.5738
2016,million tenge,Government tariffs,38542552.77793
2017,million tenge,Government tariffs,46711970.49533
2018,million tenge,Government tariffs,54085773.574090004
2010,As as pecentage of GDP,Government tariffs,0.10776394757043804
2011,As as pecentage of GDP,Government tariffs,0.09345543873626663
2012,As as pecentage of GDP,Government tariffs,0.08430167128383488
2013,As as pecentage of GDP,Government tariffs,0.0893120242503456
2014,As as pecentage of GDP,Government tariffs,0.08871085835468373
2015,As as pecentage of GDP,Government tariffs,0.10659218072264592
2016,As as pecentage of GDP,Government tariffs,0.08205579973649782
2017,As as pecentage of GDP,Government tariffs,0.08796768912521823
2018,As as pecentage of GDP,Government tariffs,0.09286240568569208
2010,million tenge,GDP,21815517.0
2011,million tenge,GDP,28243052.7
2012,million tenge,GDP,31015186.6
2013,million tenge,GDP,35999025.1
2014,million tenge,GDP,39675832.90000001
2015,million tenge,GDP,40884133.6
2016,million tenge,GDP,46971150.0
2017,million tenge,GDP,53101281.8
2018,million tenge,GDP,59613707.5
