Year,Units,The proportion of children/young people who meet minimum standards in,Sex,Regions,Value
2015,Percent,i) literacy (based on gender),Girls,Nur-Sultan city,85.0
2015,Percent,i) literacy (based on gender),Boys,Almaty city,64.0
2015,Percent,i) literacy (based on gender),Girls,Almaty city,78.0
2015,Percent,ii) basic math skills (based on gender and 3rd grade),,,99.977
2015,Percent,ii) basic math skills (based on gender and 3rd grade),Boys,,99.977
2015,Percent,ii) basic math skills (based on gender and 3rd grade),Girls,,99.977
2015,Percent,ii) basic math skills (based on gender and 2nd grade),,,99.973
2015,Percent,ii) basic math skills (based on gender and 2nd grade),Boys,,99.978
2015,Percent,ii) basic math skills (based on gender and 2nd grade),Girls,,99.96799999999999
2015,Percent,The proportion of children/young people who meet minimum standards in,,,96.5
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,,96.5
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,,96.5
2015,Percent,math skills,,,67.8
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,,68.5
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,,67.2
2015,Percent,math skills,Boys,Akmola,62.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Akmola,57.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Aktobe,59.0
2015,Percent,math skills,Girls,Aktobe,65.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Almaty,77.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Almaty,76.0
2015,Percent,math skills,Boys,Atyrau,38.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Atyrau,51.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Batys Kazakhstan,80.0
2015,Percent,math skills,Girls,Batys Kazakhstan,74.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Zhambyl,79.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Zhambyl,83.0
2015,Percent,math skills,Boys,Karagandy,75.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Karagandy,71.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Kostanay,57.0
2015,Percent,math skills,Girls,Kostanay,58.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Kyzylorda,76.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Kyzylorda,77.0
2015,Percent,math skills,Boys,Mangistau,60.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Mangistau,62.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Ontustik Kazakhstan,56.0
2015,Percent,math skills,Girls,Ontustik Kazakhstan,57.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Pavlodar,69.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Pavlodar,64.0
2015,Percent,math skills,Boys,Soltustik Kazakhstan,65.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Soltustik Kazakhstan,70.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Shygys Kazakhstan,72.0
2015,Percent,math skills,Girls,Shygys Kazakhstan,72.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Boys,Nur-Sultan city,85.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Nur-Sultan city,82.0
2015,Percent,math skills,Boys,Almaty city,66.0
2015,Percent,The proportion of children/young people who meet minimum standards in,Girls,Almaty city,75.0
2015,Percent,math skills,,,90.8
2015,Percent,math skills,Boys,,91.9
2015,Percent,math skills,Girls,,89.7
2015,Percent,math skills,Boys,Akmola,89.36
2015,Percent,math skills,Girls,Akmola,90.76
2015,Percent,math skills,Boys,Aktobe,90.81
2015,Percent,math skills,Girls,Aktobe,89.19
2015,Percent,math skills,Boys,Almaty,85.36
2015,Percent,math skills,Girls,Almaty,87.63
2015,Percent,math skills,Boys,Atyrau,70.78
2015,Percent,math skills,Girls,Atyrau,78.48
2015,Percent,math skills,Boys,Batys Kazakhstan,97.04
2015,Percent,math skills,Girls,Batys Kazakhstan,97.91
2015,Percent,math skills,Boys,Zhambyl,94.57
2015,Percent,math skills,Girls,Zhambyl,97.43
2015,Percent,math skills,Boys,Karagandy,93.69
2015,Percent,math skills,Girls,Karagandy,93.33
2015,Percent,math skills,Boys,Kostanay,82.12
2015,Percent,math skills,Girls,Kostanay,89.48
2015,Percent,math skills,Boys,Kyzylorda,98.02
2015,Percent,math skills,Girls,Kyzylorda,98.78
2015,Percent,math skills,Boys,Mangistau,82.36
2015,Percent,math skills,Girls,Mangistau,88.87
2015,Percent,math skills,Boys,Ontustik Kazakhstan,85.74
2015,Percent,math skills,Girls,Ontustik Kazakhstan,88.95
2015,Percent,math skills,Boys,Pavlodar,91.1
2015,Percent,math skills,Girls,Pavlodar,93.79
2015,Percent,math skills,Boys,Soltustik Kazakhstan,93.04
2015,Percent,math skills,Girls,Soltustik Kazakhstan,94.69
2015,Percent,math skills,Boys,Shygys Kazakhstan,98.99
2015,Percent,math skills,Girls,Shygys Kazakhstan,99.4
2015,Percent,math skills,Boys,Nur-Sultan city,85.04
2015,Percent,math skills,Girls,Nur-Sultan city,95.37
2015,Percent,math skills,Boys,Almaty city,97.17
2015,Percent,math skills,Girls,Almaty city,92.92
2016,Percent,math skills,,,98.0
2016,Percent,math skills,Boys,,98.0
2016,Percent,math skills,Girls,,98.0
2018,Percent,i) literacy (based on gender),,,35.8
2018,Percent,i) literacy (based on gender),Boys,,29.34
2018,Percent,i) literacy (based on gender),Girls,,42.66
2018,Percent,i) literacy (based on gender),Boys,Akmola,37.25
2018,Percent,i) literacy (based on gender),Girls,Akmola,48.81
2018,Percent,i) literacy (based on gender),Boys,Aktobe,22.52
2018,Percent,i) literacy (based on gender),Girls,Aktobe,42.35
2018,Percent,i) literacy (based on gender),Boys,Almaty,15.42
2018,Percent,i) literacy (based on gender),Girls,Almaty,30.1
2018,Percent,i) literacy (based on gender),Boys,Atyrau,9.88
2018,Percent,i) literacy (based on gender),Girls,Atyrau,23.02
2018,Percent,i) literacy (based on gender),Boys,Batys Kazakhstan,23.66
2018,Percent,i) literacy (based on gender),Girls,Batys Kazakhstan,38.99
2018,Percent,i) literacy (based on gender),Boys,Zhambyl,20.86
2018,Percent,i) literacy (based on gender),Girls,Zhambyl,28.49
2018,Percent,i) literacy (based on gender),Boys,Karagandy,45.62
2018,Percent,i) literacy (based on gender),Girls,Karagandy,61.58
2018,Percent,i) literacy (based on gender),Boys,Kostanay,47.43
2018,Percent,i) literacy (based on gender),Girls,Kostanay,60.8
2018,Percent,i) literacy (based on gender),Boys,Kyzylorda,15.91
2018,Percent,i) literacy (based on gender),Girls,Kyzylorda,28.81
2018,Percent,i) literacy (based on gender),Boys,Mangistau,15.74
2018,Percent,i) literacy (based on gender),Girls,Mangistau,28.06
2018,Percent,i) literacy (based on gender),Boys,Ontustik Kazakhstan,18.02
2018,Percent,i) literacy (based on gender),Girls,Ontustik Kazakhstan,32.52
2018,Percent,i) literacy (based on gender),Boys,Pavlodar,38.13
2018,Percent,i) literacy (based on gender),Girls,Pavlodar,42.06
2018,Percent,i) literacy (based on gender),Boys,Soltustik Kazakhstan,45.38
2018,Percent,i) literacy (based on gender),Girls,Soltustik Kazakhstan,59.7
2018,Percent,i) literacy (based on gender),Boys,Shygys Kazakhstan,37.05
2018,Percent,i) literacy (based on gender),Girls,Shygys Kazakhstan,55.91
2018,Percent,i) literacy (based on gender),Boys,Nur-Sultan city,53.4
2018,Percent,i) literacy (based on gender),Girls,Nur-Sultan city,60.67
2018,Percent,i) literacy (based on gender),Boys,Almaty city,48.11
2018,Percent,i) literacy (based on gender),Girls,Almaty city,61.21
2018,Percent,math skills,,,50.9
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,,50.9
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,,51.0
2018,Percent,math skills,Boys,Akmola,47.5
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Akmola,44.1
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Aktobe,49.4
2018,Percent,math skills,Girls,Aktobe,52.0
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Almaty,40.0
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Almaty,38.6
2018,Percent,math skills,Boys,Atyrau,28.9
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Atyrau,33.3
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Batys Kazakhstan,47.0
2018,Percent,math skills,Girls,Batys Kazakhstan,50.3
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Zhambyl,68.6
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Zhambyl,68.3
2018,Percent,math skills,Boys,Karagandy,61.6
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Karagandy,58.1
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Kostanay,64.4
2018,Percent,math skills,Girls,Kostanay,62.8
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Kyzylorda,47.7
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Kyzylorda,53.3
2018,Percent,math skills,Boys,Mangistau,32.9
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Mangistau,37.2
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Ontustik Kazakhstan,40.4
2018,Percent,math skills,Girls,Ontustik Kazakhstan,40.6
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Pavlodar,61.9
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Pavlodar,54.8
2018,Percent,math skills,Boys,Soltustik Kazakhstan,56.4
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Soltustik Kazakhstan,53.4
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Shygys Kazakhstan,55.6
2018,Percent,math skills,Girls,Shygys Kazakhstan,60.7
2018,Percent,The proportion of children/young people who meet minimum standards in,Boys,Nur-Sultan city,65.2
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Nur-Sultan city,59.8
2018,Percent,math skills,Boys,Almaty city,62.1
2018,Percent,The proportion of children/young people who meet minimum standards in,Girls,Almaty city,60.9
