Year,Units,Type of economic activity,Regions,Sex,Age,Value
2018,Percent,wholesale and retail trade; car and motorcycle repair,,,,934.6633223065244
2018,Percent,transport and storage,,,,1178.0562024307806
2018,Percent,services (food and dwelling),,,,1294.7271988242935
2018,Percent,information and communication,,,,1371.4105549397304
2018,Percent,finance and insurance,,,,2270.1905817276315
2018,Percent,real estate transactions,,,,982.1758679607468
2018,Percent,"Профессиональная, научная и техническая деятельность",,,,1548.159058430363
2018,Percent,management and support activities,,,,886.3556560994357
2018,Percent,government administration and defence,,,,719.575732775474
2018,Percent,Education,,,,599.4805768453364
2018,Percent,health care and social care,,,,643.6722283345781
2018,Percent,"culture, entertainment and leisure",,,,609.5812853694018
2018,Percent,provision of other types of services,,,,1548.5450989251553
2018,Percent,всего,,Male,,1122.1057762496741
2018,Percent,"agriculture, forestry and fishery",,Male,,548.6417679992022
2018,Percent,Industry,,Male,,1490.3329961209895
2018,Percent,Construction,,Male,,1345.8063705740574
2018,Percent,wholesale and retail trade; car and motorcycle repair,,Male,,972.3040195101904
2018,Percent,transport and storage,,Male,,1241.5308070361193
2018,Percent,services (food and dwelling),,Male,,1837.0169254754248
2018,Percent,information and communication,,Male,,1423.0240517734915
2018,Percent,finance and insurance,,Male,,2876.6998538358307
2018,Percent,real estate transactions,,Male,,1035.4483693033962
2018,Percent,"Профессиональная, научная и техническая деятельность",,Male,,1697.2655614312814
2018,Percent,management and support activities,,Male,,892.6716384886265
2018,Percent,government administration and defence,,Male,,775.10395315742
2018,Percent,Education,,Male,,640.2261882986455
2018,Percent,health care and social care,,Male,,717.4289922926317
2018,Percent,"culture, entertainment and leisure",,Male,,716.8430976567395
2018,Percent,provision of other types of services,,Male,,1624.2361434922132
2018,Percent,всего,,Female,,784.8041675593731
2018,Percent,"agriculture, forestry and fishery",,Female,,508.7102321501834
2018,Percent,Industry,,Female,,1119.9442739094684
2018,Percent,Construction,,Female,,1298.0748719328024
2018,Percent,wholesale and retail trade; car and motorcycle repair,,Female,,888.0069158756247
2018,Percent,transport and storage,,Female,,1005.3222629440404
2018,Percent,services (food and dwelling),,Female,,917.0728700009096
2018,Percent,information and communication,,Female,,1284.6604745622344
2018,Percent,finance and insurance,,Female,,1887.5442136502168
2018,Percent,real estate transactions,,Female,,913.1807804162172
2018,Percent,"Профессиональная, научная и техническая деятельность",,Female,,1327.5859868079358
2018,Percent,management and support activities,,Female,,862.9841050131693
2018,Percent,government administration and defence,,Female,,622.0280226817158
2018,Percent,Education,,Female,,585.0363840755343
2018,Percent,health care and social care,,Female,,619.0310573026434
2018,Percent,"culture, entertainment and leisure",,Female,,521.6192074564475
2018,Percent,provision of other types of services,,Female,,1451.7176165706878
2019,Percent,,,,,1038.3052663604008
2019,Percent,,Akmola,,,751.810515324525
2019,Percent,,Aktobe,,,849.2511612535702
2019,Percent,,Almaty,,,755.4771039067218
2019,Percent,,Atyrau,,,1810.903726234045
2019,Percent,,Batys Kazakhstan,,,979.6098783690732
2019,Percent,,Zhambyl,,,705.2243325933413
2019,Percent,,Karagandy,,,998.8351575713893
2019,Percent,,Kostanay,,,788.3211989784552
2019,Percent,,Kyzylorda,,,824.8159976827286
2019,Percent,,Mangistau,,,1602.877390226558
2019,Percent,,Pavlodar,,,906.8298242405153
2019,Percent,,Soltustik Kazakhstan,,,689.1777894285835
2019,Percent,,Turkistan,,,644.4986106617954
2019,Percent,,Shygys Kazakhstan,,,871.9702721622285
2019,Percent,,Nur-Sultan city,,,1435.9508096180568
2019,Percent,,Almaty city,,,1404.7875309546023
2019,Percent,,Shymkent city,,,698.6597017781418
2019,Percent,,,Male,,1229.204307294979
2019,Percent,,Akmola,Male,,839.0676853339685
2019,Percent,,Aktobe,Male,,996.5111199833644
2019,Percent,,Almaty,Male,,837.4749129677715
2019,Percent,,Atyrau,Male,,2217.414191523651
2019,Percent,,Batys Kazakhstan,Male,,1208.7465403037202
2019,Percent,,Zhambyl,Male,,765.727220961504
2019,Percent,,Karagandy,Male,,1224.361179046771
2019,Percent,,Kostanay,Male,,882.6509505743583
2019,Percent,,Kyzylorda,Male,,944.7059634358127
2019,Percent,,Mangistau,Male,,2015.085343157404
2019,Percent,,Pavlodar,Male,,1038.5912030404784
2019,Percent,,Soltustik Kazakhstan,Male,,745.4570378941771
2019,Percent,,Turkistan,Male,,725.6637871141686
2019,Percent,,Shygys Kazakhstan,Male,,956.2084295871146
2019,Percent,,Nur-Sultan city,Male,,1671.8418458994488
2019,Percent,,Almaty city,Male,,1587.8594797646053
2019,Percent,,Shymkent city,Male,,761.3999698861653
2019,Percent,,,Female,,842.3060860861607
2019,Percent,,Akmola,Female,,667.0525917045906
2019,Percent,,Aktobe,Female,,689.7416110601912
2019,Percent,,Almaty,Female,,694.6756029997886
2019,Percent,,Atyrau,Female,,1173.0076221668096
2019,Percent,,Batys Kazakhstan,Female,,761.1296626927948
2019,Percent,,Zhambyl,Female,,656.7497095722813
2019,Percent,,Karagandy,Female,,763.5438974519686
2019,Percent,,Kostanay,Female,,689.3556072725777
2019,Percent,,Kyzylorda,Female,,699.3142807139899
2019,Percent,,Mangistau,Female,,1051.195925193273
2019,Percent,,Pavlodar,Female,,756.3332422692397
2019,Percent,,Soltustik Kazakhstan,Female,,632.844283761588
2019,Percent,,Turkistan,Female,,585.3401990598692
2019,Percent,,Shygys Kazakhstan,Female,,773.923752221786
2019,Percent,,Nur-Sultan city,Female,,1189.7994865157796
2019,Percent,,Almaty city,Female,,1221.9402828270054
2019,Percent,,Shymkent city,Female,,629.5503862002204
2019,Percent,,,,16-24,671.1157787479409
2019,Percent,,,,25-28,844.2664523042752
2019,Percent,,,,29-34,1042.420374706924
2019,Percent,,,,35-44,1180.8141774832775
2019,Percent,,,,45-54,1061.8021743274846
2019,Percent,,,,55-64,1014.9031650502202
2019,Percent,,,,65 and older,1139.943093664647
2019,Percent,,Akmola,,16-24,573.8185209710608
2019,Percent,,Akmola,,25-28,674.1655212762797
2019,Percent,,Akmola,,29-34,768.7055017387752
2019,Percent,,Akmola,,35-44,826.6640849746433
2019,Percent,,Akmola,,45-54,745.6459606015369
2019,Percent,,Akmola,,55-64,724.9620630656889
2019,Percent,,Akmola,,65 and older,808.7846019342087
2019,Percent,,Aktobe,,16-24,586.8912646069126
2019,Percent,,Aktobe,,25-28,736.919421171285
2019,Percent,,Aktobe,,29-34,854.4998469629323
2019,Percent,,Aktobe,,35-44,894.1461336582056
2019,Percent,,Aktobe,,45-54,858.3119789320981
2019,Percent,,Aktobe,,55-64,903.2609113336174
2019,Percent,,Aktobe,,65 and older,989.7379197234137
2019,Percent,,Almaty,,16-24,548.4447273342646
2019,Percent,,Almaty,,25-28,636.2156291392587
2019,Percent,,Almaty,,29-34,768.8464973383528
2019,Percent,,Almaty,,35-44,848.6572617936844
2019,Percent,,Almaty,,45-54,736.790347151232
2019,Percent,,Almaty,,55-64,755.1093807307675
2019,Percent,,Almaty,,65 and older,791.6616390439967
2019,Percent,,Atyrau,,16-24,904.0347169674685
2019,Percent,,Atyrau,,25-28,1268.7877000652709
2019,Percent,,Atyrau,,29-34,1737.2905323057876
2019,Percent,,Atyrau,,35-44,2052.7279880821816
2019,Percent,,Atyrau,,45-54,2013.507298743143
2019,Percent,,Atyrau,,55-64,2081.668570225941
2019,Percent,,Atyrau,,65 and older,3327.7872756724705
2019,Percent,,Batys Kazakhstan,,16-24,536.6878070047707
2019,Percent,,Batys Kazakhstan,,25-28,652.7552094402993
2019,Percent,,Batys Kazakhstan,,29-34,829.9674866235167
2019,Percent,,Batys Kazakhstan,,35-44,1133.355467124606
2019,Percent,,Batys Kazakhstan,,45-54,1112.3813745459468
2019,Percent,,Batys Kazakhstan,,55-64,994.549950499122
2019,Percent,,Batys Kazakhstan,,65 and older,1067.6412296968615
2019,Percent,,Zhambyl,,16-24,511.8888889776516
2019,Percent,,Zhambyl,,25-28,581.1713595503987
2019,Percent,,Zhambyl,,29-34,693.1802666899803
2019,Percent,,Zhambyl,,35-44,731.2486346053457
2019,Percent,,Zhambyl,,45-54,727.6493147474984
2019,Percent,,Zhambyl,,55-64,758.3216002405386
2019,Percent,,Zhambyl,,65 and older,793.0777694251292
2019,Percent,,Karagandy,,16-24,778.0930595593699
2019,Percent,,Karagandy,,25-28,938.0884299363672
2019,Percent,,Karagandy,,29-34,1038.4380866448923
2019,Percent,,Karagandy,,35-44,1052.5503483126324
2019,Percent,,Karagandy,,45-54,1001.0644283636909
2019,Percent,,Karagandy,,55-64,996.4769092617148
2019,Percent,,Karagandy,,65 and older,810.1935456256554
2019,Percent,,Kostanay,,16-24,568.8156823311227
2019,Percent,,Kostanay,,25-28,708.1889919291858
2019,Percent,,Kostanay,,29-34,838.1617066640242
2019,Percent,,Kostanay,,35-44,863.5231143279639
2019,Percent,,Kostanay,,45-54,767.7988035760773
2019,Percent,,Kostanay,,55-64,765.2653045647576
2019,Percent,,Kostanay,,65 and older,844.5586451951497
2019,Percent,,Kyzylorda,,16-24,533.3781807260593
2019,Percent,,Kyzylorda,,25-28,648.5355190636194
2019,Percent,,Kyzylorda,,29-34,792.5693100047995
2019,Percent,,Kyzylorda,,35-44,900.5613231312293
2019,Percent,,Kyzylorda,,45-54,875.3845177915663
2019,Percent,,Kyzylorda,,55-64,896.4383118057381
2019,Percent,,Kyzylorda,,65 and older,1001.1617241907443
2019,Percent,,Mangistau,,16-24,668.2351723297038
2019,Percent,,Mangistau,,25-28,896.287404933819
2019,Percent,,Mangistau,,29-34,1467.7926645102639
2019,Percent,,Mangistau,,35-44,1803.9617275329792
2019,Percent,,Mangistau,,45-54,1866.0275874784008
2019,Percent,,Mangistau,,55-64,1853.4474720452072
2019,Percent,,Mangistau,,65 and older,1330.7961934647328
2019,Percent,,Pavlodar,,16-24,661.8391107840815
2019,Percent,,Pavlodar,,25-28,819.3595071968398
2019,Percent,,Pavlodar,,29-34,923.2874068656821
2019,Percent,,Pavlodar,,35-44,968.0765314201508
2019,Percent,,Pavlodar,,45-54,909.2084250749573
2019,Percent,,Pavlodar,,55-64,912.4859340369426
2019,Percent,,Pavlodar,,65 and older,921.3854705750583
2019,Percent,,Soltustik Kazakhstan,,16-24,534.5946642760338
2019,Percent,,Soltustik Kazakhstan,,25-28,628.9917019995336
2019,Percent,,Soltustik Kazakhstan,,29-34,713.852328582706
2019,Percent,,Soltustik Kazakhstan,,35-44,736.1131980506922
2019,Percent,,Soltustik Kazakhstan,,45-54,677.2366609602425
2019,Percent,,Soltustik Kazakhstan,,55-64,672.5475188134915
2019,Percent,,Soltustik Kazakhstan,,65 and older,731.3546752584946
2019,Percent,,Turkistan,,16-24,455.4117581020356
2019,Percent,,Turkistan,,25-28,537.0918619244263
2019,Percent,,Turkistan,,29-34,610.3737381277725
2019,Percent,,Turkistan,,35-44,675.229136067534
2019,Percent,,Turkistan,,45-54,666.8194448479309
2019,Percent,,Turkistan,,55-64,685.3647412359187
2019,Percent,,Turkistan,,65 and older,1482.1437900792967
2019,Percent,,Shygys Kazakhstan,,16-24,639.3287107305229
2019,Percent,,Shygys Kazakhstan,,25-28,762.0480565718512
2019,Percent,,Shygys Kazakhstan,,29-34,886.6884727669478
2019,Percent,,Shygys Kazakhstan,,35-44,947.914045320182
2019,Percent,,Shygys Kazakhstan,,45-54,905.0963747938257
2019,Percent,,Shygys Kazakhstan,,55-64,809.3498607327333
2019,Percent,,Shygys Kazakhstan,,65 and older,1014.430706268389
2019,Percent,,Nur-Sultan city,,16-24,763.6124892547873
2019,Percent,,Nur-Sultan city,,25-28,1055.684487091699
2019,Percent,,Nur-Sultan city,,29-34,1391.0479986089329
2019,Percent,,Nur-Sultan city,,35-44,1737.8000990664514
2019,Percent,,Nur-Sultan city,,45-54,1532.4211007035633
2019,Percent,,Nur-Sultan city,,55-64,1422.9296637915563
2019,Percent,,Nur-Sultan city,,65 and older,1470.517259292984
2019,Percent,,Almaty city,,16-24,778.0881127211164
2019,Percent,,Almaty city,,25-28,1075.9983994735446
2019,Percent,,Almaty city,,29-34,1411.2551876387756
2019,Percent,,Almaty city,,35-44,1807.3420832890852
2019,Percent,,Almaty city,,45-54,1453.8724465285513
2019,Percent,,Almaty city,,55-64,1270.5797371311985
2019,Percent,,Almaty city,,65 and older,1453.0797676607847
2019,Percent,,Shymkent city,,16-24,496.0265485155982
2019,Percent,,Shymkent city,,25-28,592.5582341972125
2019,Percent,,Shymkent city,,29-34,695.4833446286611
2019,Percent,,Shymkent city,,35-44,735.1899028048282
2019,Percent,,Shymkent city,,45-54,746.7541311753038
2019,Percent,,Shymkent city,,55-64,760.8662605304743
2019,Percent,,Shymkent city,,65 and older,765.0186918686827
2019,Percent,,,Male,16-24,728.8648271435492
2019,Percent,,,Male,25-28,926.5733075492157
2019,Percent,,,Male,29-34,1211.0905979305114
2019,Percent,,,Male,35-44,1449.3673826629708
2019,Percent,,,Male,45-54,1326.4712059685824
2019,Percent,,,Male,55-64,1184.6670570704766
2019,Percent,,,Male,65 and older,1314.1307986496247
2019,Percent,,,Female,16-24,603.4226807102713
2019,Percent,,,Female,25-28,733.9750040753604
2019,Percent,,,Female,29-34,838.3780541137511
2019,Percent,,,Female,35-44,922.83931713784
2019,Percent,,,Female,45-54,856.2033154677388
2019,Percent,,,Female,55-64,824.2539724109761
2019,Percent,,,Female,65 and older,885.9790244857053
2019,Percent,всего,,,,1038.3052663604008
2019,Percent,"agriculture, forestry and fishery",,,,599.0082766560066
2019,Percent,Industry,,,,1445.1615719763456
2019,Percent,Construction,,,,1691.5257512974854
2019,Percent,wholesale and retail trade; car and motorcycle repair,,,,1106.1050442335286
2019,Percent,transport and storage,,,,1225.6556461309615
2019,Percent,services (food and dwelling),,,,970.4864585278152
2019,Percent,information and communication,,,,1580.3226302918044
2019,Percent,finance and insurance,,,,2337.787739041388
2019,Percent,real estate transactions,,,,1127.7771721912745
2019,Percent,"Профессиональная, научная и техническая деятельность",,,,1867.197351923505
2019,Percent,management and support activities,,,,1054.1884758719114
2019,Percent,government administration and defence,,,,768.0390769946372
2019,Percent,Education,,,,674.6766226160448
2019,Percent,health care and social care,,,,693.0119197629233
2019,Percent,"culture, entertainment and leisure",,,,712.1287083687765
2019,Percent,provision of other types of services,,,,1822.421136017163
2019,Percent,всего,,Male,,1229.204307294979
2019,Percent,"agriculture, forestry and fishery",,Male,,610.000568231281
2019,Percent,Industry,,Male,,1543.4976307892787
2019,Percent,Construction,,Male,,1734.7124532951846
2019,Percent,wholesale and retail trade; car and motorcycle repair,,Male,,1171.7964677194245
2019,Percent,transport and storage,,Male,,1295.8879195307907
2019,Percent,services (food and dwelling),,Male,,1134.4001181231004
2019,Percent,information and communication,,Male,,1658.1334061969278
2019,Percent,finance and insurance,,Male,,3113.0005897172205
2019,Percent,real estate transactions,,Male,,1158.0522078177814
2019,Percent,"Профессиональная, научная и техническая деятельность",,Male,,2107.5472400022154
2019,Percent,management and support activities,,Male,,1047.5689550058084
2019,Percent,government administration and defence,,Male,,814.4934334409834
2019,Percent,Education,,Male,,687.0967564208071
2019,Percent,health care and social care,,Male,,783.7272285284782
2019,Percent,"culture, entertainment and leisure",,Male,,865.2562258750103
2019,Percent,provision of other types of services,,Male,,2135.0941293684405
2019,Percent,всего,,Female,,842.3060860861607
2019,Percent,"agriculture, forestry and fishery",,Female,,571.3196213693568
2019,Percent,Industry,,Female,,1193.6776231977112
2019,Percent,Construction,,Female,,1453.383926167544
2019,Percent,wholesale and retail trade; car and motorcycle repair,,Female,,1030.0811013617667
2019,Percent,transport and storage,,Female,,1050.7664642291932
2019,Percent,services (food and dwelling),,Female,,858.984520094798
2019,Percent,information and communication,,Female,,1459.3438471846246
2019,Percent,finance and insurance,,Female,,1853.595043687413
2019,Percent,real estate transactions,,Female,,1085.3767534172503
2019,Percent,"Профессиональная, научная и техническая деятельность",,Female,,1513.8463735208222
2019,Percent,management and support activities,,Female,,1077.3218314373428
2019,Percent,government administration and defence,,Female,,685.2812554108455
2019,Percent,Education,,Female,,670.2556115190943
2019,Percent,health care and social care,,Female,,663.1198583215952
2019,Percent,"culture, entertainment and leisure",,Female,,572.770170654832
2019,Percent,provision of other types of services,,Female,,1520.1029757986025
