Year,Units,Area,Regions,Value
2015,Percent,Rural,Karagandy,52.5
2015,Percent,Urban,Kostanay,91.5
2015,Percent,Rural,Kostanay,27.3
2015,Percent,Urban,Kyzylorda,78.4
2015,Percent,Rural,Kyzylorda,70.1
2015,Percent,Urban,Mangistau,91.1
2015,Percent,Rural,Mangistau,46.1
2015,Percent,Urban,Ontustik Kazakhstan,82.0
2015,Percent,Rural,Ontustik Kazakhstan,69.8
2015,Percent,Urban,Pavlodar,84.1
2015,Percent,Rural,Pavlodar,19.2
2015,Percent,Urban,Soltustik Kazakhstan,94.5
2015,Percent,Rural,Soltustik Kazakhstan,53.9
2015,Percent,Urban,Shygys Kazakhstan,89.3
2015,Percent,Rural,Shygys Kazakhstan,41.5
2015,Percent,,Nur-Sultan city,89.3
2015,Percent,,Almaty city,92.7
2016,Percent,Urban,,88.0
2016,Percent,Rural,,52.3
2016,Percent,Urban,Akmola,83.0
2016,Percent,Rural,Akmola,57.7
2016,Percent,Urban,Aktobe,98.5
2016,Percent,Rural,Aktobe,45.9
2016,Percent,Urban,Almaty,95.3
2016,Percent,Rural,Almaty,83.7
2016,Percent,Urban,Atyrau,100.0
2016,Percent,Rural,Atyrau,77.4
2016,Percent,Urban,Batys Kazakhstan,89.0
2016,Percent,Rural,Batys Kazakhstan,37.4
2016,Percent,Urban,Zhambyl,78.8
2016,Percent,Rural,Zhambyl,61.7
2016,Percent,Urban,Karagandy,85.3
2016,Percent,Rural,Karagandy,53.4
2016,Percent,Urban,Kostanay,97.5
2016,Percent,Rural,Kostanay,29.2
2016,Percent,Urban,Kyzylorda,85.0
2016,Percent,Rural,Kyzylorda,74.6
2016,Percent,Urban,Mangistau,99.5
2016,Percent,Rural,Mangistau,57.4
2016,Percent,Urban,Ontustik Kazakhstan,88.4
2016,Percent,Rural,Ontustik Kazakhstan,71.8
2016,Percent,Urban,Pavlodar,84.0
2016,Percent,Rural,Pavlodar,19.8
2016,Percent,Urban,Soltustik Kazakhstan,99.9
2016,Percent,Rural,Soltustik Kazakhstan,56.3
2016,Percent,Urban,Shygys Kazakhstan,97.2
2016,Percent,Rural,Shygys Kazakhstan,43.1
2016,Percent,,Nur-Sultan city,94.0
2016,Percent,,Almaty city,96.0
2017,Percent,Urban,,90.0
2017,Percent,Rural,,55.0
2017,Percent,Urban,Akmola,86.0
2017,Percent,Rural,Akmola,58.1
2017,Percent,Urban,Aktobe,100.0
2017,Percent,Rural,Aktobe,46.9
2017,Percent,Urban,Almaty,96.9
2017,Percent,Rural,Almaty,87.1
2017,Percent,Urban,Atyrau,100.0
2017,Percent,Rural,Atyrau,78.0
2017,Percent,Urban,Batys Kazakhstan,90.4
2017,Percent,Rural,Batys Kazakhstan,40.4
2017,Percent,Urban,Zhambyl,84.8
2017,Percent,Rural,Zhambyl,62.2
2017,Percent,Urban,Karagandy,86.6
2017,Percent,Rural,Karagandy,55.1
2017,Percent,Urban,Kostanay,97.6
2017,Percent,Rural,Kostanay,30.8
2017,Percent,Urban,Kyzylorda,98.3
2017,Percent,Rural,Kyzylorda,75.0
2017,Percent,Urban,Mangistau,99.8
2017,Percent,Rural,Mangistau,63.9
2017,Percent,Urban,Ontustik Kazakhstan,93.4
2017,Percent,Rural,Ontustik Kazakhstan,73.6
2017,Percent,Urban,Pavlodar,90.0
2017,Percent,Rural,Pavlodar,23.8
2017,Percent,Urban,Soltustik Kazakhstan,100.0
2017,Percent,Rural,Soltustik Kazakhstan,57.5
2017,Percent,Urban,Shygys Kazakhstan,97.3
2017,Percent,Rural,Shygys Kazakhstan,47.8
2017,Percent,,Nur-Sultan city,94.5
2017,Percent,,Almaty city,95.0
2018,Percent,Urban,,94.5
2018,Percent,Rural,,56.9
2018,Percent,Urban,Akmola,86.0
2018,Percent,Rural,Akmola,59.4
2018,Percent,Urban,Aktobe,98.5
2018,Percent,Rural,Aktobe,54.8
2018,Percent,Urban,Almaty,96.8
2018,Percent,Rural,Almaty,89.5
2018,Percent,Urban,Atyrau,100.0
2018,Percent,Rural,Atyrau,79.32
2018,Percent,Urban,Batys Kazakhstan,94.8
2018,Percent,Rural,Batys Kazakhstan,46.3
2018,Percent,Urban,Zhambyl,88.0
2018,Percent,Rural,Zhambyl,53.4
2018,Percent,Urban,Karagandy,92.0
2018,Percent,Rural,Karagandy,55.3
2018,Percent,Urban,Kostanay,97.6
2018,Percent,Rural,Kostanay,31.4
2018,Percent,Urban,Kyzylorda,93.0
2018,Percent,Rural,Kyzylorda,76.5
2018,Percent,Urban,Mangistau,100.0
2018,Percent,Rural,Mangistau,69.0
2018,Percent,Urban,Pavlodar,92.0
2018,Percent,Rural,Pavlodar,29.7
2018,Percent,Urban,Soltustik Kazakhstan,100.0
2018,Percent,Rural,Soltustik Kazakhstan,59.6
2018,Percent,Urban,Turkistan,96.3
2018,Percent,Rural,Turkistan,75.5
2018,Percent,Urban,Shygys Kazakhstan,97.8
2018,Percent,Rural,Shygys Kazakhstan,53.7
2018,Percent,,Nur-Sultan city,95.0
2018,Percent,,Almaty city,97.5
2018,Percent,,Shymkent city,93.0
2019,Percent,Urban,,97.2
2019,Percent,Rural,,86.4
2019,Percent,Urban,Akmola,97.8
2019,Percent,Rural,Akmola,78.1
2019,Percent,Urban,Aktobe,99.2
2019,Percent,Rural,Aktobe,85.7
2019,Percent,Urban,Almaty,96.8
2019,Percent,Rural,Almaty,98.8
2019,Percent,Urban,Atyrau,100.0
2019,Percent,Rural,Atyrau,98.4
2019,Percent,Urban,Batys Kazakhstan,95.9
2019,Percent,Rural,Batys Kazakhstan,86.5
2019,Percent,Urban,Zhambyl,88.0
2019,Percent,Rural,Zhambyl,72.6
2019,Percent,Urban,Karagandy,97.0
2019,Percent,Rural,Karagandy,89.5
2019,Percent,Urban,Kostanay,97.9
2019,Percent,Rural,Kostanay,61.1
2019,Percent,Urban,Kyzylorda,98.2
2019,Percent,Rural,Kyzylorda,97.2
2019,Percent,Urban,Mangistau,100.0
2019,Percent,Rural,Mangistau,75.4
2019,Percent,Urban,Pavlodar,93.0
2019,Percent,Rural,Pavlodar,73.3
2019,Percent,Urban,Soltustik Kazakhstan,100.0
2019,Percent,Rural,Soltustik Kazakhstan,81.7
2019,Percent,Urban,Turkistan,97.9
2019,Percent,Rural,Turkistan,91.0
2019,Percent,Urban,Shygys Kazakhstan,98.2
2019,Percent,Rural,Shygys Kazakhstan,78.0
2019,Percent,,Nur-Sultan city,99.9
2019,Percent,,Almaty city,97.7
2019,Percent,,Shymkent city,94.7
