Year,Units,Sex,Regions,Value
2016,Percent,Boys,Almaty,100.0
2016,Percent,Girls,Almaty,100.0
2016,Percent,Boys,Atyrau,100.0
2016,Percent,Girls,Atyrau,100.0
2016,Percent,Boys,Batys Kazakhstan,100.0
2016,Percent,Girls,Batys Kazakhstan,100.0
2016,Percent,Boys,Zhambyl,100.0
2016,Percent,Girls,Zhambyl,100.0
2016,Percent,Boys,Karagandy,97.24794020215748
2016,Percent,Girls,Karagandy,96.27645560727144
2016,Percent,Boys,Kostanay,100.0
2016,Percent,Girls,Kostanay,100.0
2016,Percent,Boys,Kyzylorda,100.0
2016,Percent,Girls,Kyzylorda,100.0
2016,Percent,Boys,Mangistau,100.0
2016,Percent,Girls,Mangistau,100.0
2016,Percent,Boys,Ontustik Kazakhstan,85.98361780991169
2016,Percent,Girls,Ontustik Kazakhstan,90.45462462985545
2016,Percent,Boys,Pavlodar,100.0
2016,Percent,Girls,Pavlodar,100.0
2016,Percent,Boys,Soltustik Kazakhstan,100.0
2016,Percent,Girls,Soltustik Kazakhstan,100.0
2016,Percent,Boys,Shygys Kazakhstan,100.0
2016,Percent,Girls,Shygys Kazakhstan,100.0
2016,Percent,Boys,Nur-Sultan city,92.79301438937401
2016,Percent,Girls,Nur-Sultan city,77.94717629375134
2016,Percent,Boys,Almaty city,97.80531260123095
2016,Percent,Girls,Almaty city,81.96733372572102
2017,Percent,,,99.19755003760682
2017,Percent,Boys,,99.7766105174183
2017,Percent,Girls,,98.59434698979565
2017,Percent,,Akmola,100.0
2017,Percent,,Aktobe,100.0
2017,Percent,,Almaty,100.0
2017,Percent,,Atyrau,100.0
2017,Percent,,Batys Kazakhstan,100.0
2017,Percent,,Zhambyl,100.0
2017,Percent,,Karagandy,100.0
2017,Percent,,Kostanay,100.0
2017,Percent,,Kyzylorda,100.0
2017,Percent,,Mangistau,100.0
2017,Percent,,Ontustik Kazakhstan,100.0
2017,Percent,,Pavlodar,100.0
2017,Percent,,Soltustik Kazakhstan,96.1
2017,Percent,,Shygys Kazakhstan,100.0
2017,Percent,,Nur-Sultan city,89.3
2017,Percent,,Almaty city,95.4
2017,Percent,Boys,Akmola,100.0
2017,Percent,Girls,Akmola,100.0
2017,Percent,Boys,Aktobe,100.0
2017,Percent,Girls,Aktobe,100.0
2017,Percent,Boys,Almaty,100.0
2017,Percent,Girls,Almaty,100.0
2017,Percent,Boys,Atyrau,100.0
2017,Percent,Girls,Atyrau,100.0
2017,Percent,Boys,Batys Kazakhstan,100.0
2017,Percent,Girls,Batys Kazakhstan,100.0
2017,Percent,Boys,Zhambyl,100.0
2017,Percent,Girls,Zhambyl,100.0
2017,Percent,Boys,Karagandy,100.0
2017,Percent,Girls,Karagandy,100.0
2017,Percent,Boys,Kostanay,100.0
2017,Percent,Girls,Kostanay,100.0
2017,Percent,Boys,Kyzylorda,100.0
2017,Percent,Girls,Kyzylorda,100.0
2017,Percent,Boys,Mangistau,100.0
2017,Percent,Girls,Mangistau,100.0
2017,Percent,Boys,Ontustik Kazakhstan,100.0
2017,Percent,Girls,Ontustik Kazakhstan,100.0
2017,Percent,Boys,Pavlodar,100.0
2017,Percent,Girls,Pavlodar,100.0
2017,Percent,Boys,Soltustik Kazakhstan,93.96976090014064
2017,Percent,Girls,Soltustik Kazakhstan,98.4793917567027
2017,Percent,Boys,Shygys Kazakhstan,100.0
2017,Percent,Girls,Shygys Kazakhstan,100.0
2017,Percent,Boys,Nur-Sultan city,88.93717182690567
2017,Percent,Girls,Nur-Sultan city,89.72860538827257
2017,Percent,Boys,Almaty city,100.0
2017,Percent,Girls,Almaty city,86.65784156622308
2018,Percent,,,93.83096929119436
2018,Percent,Boys,,91.65236639043032
2018,Percent,Girls,,96.26536706438978
2018,Percent,,Akmola,100.0
2018,Percent,,Aktobe,100.0
2018,Percent,,Almaty,100.0
2018,Percent,,Atyrau,100.0
2018,Percent,,Batys Kazakhstan,100.0
2018,Percent,,Zhambyl,91.3
2018,Percent,,Karagandy,100.0
2018,Percent,,Kostanay,100.0
2018,Percent,,Kyzylorda,100.0
2018,Percent,,Mangistau,100.0
2018,Percent,,Pavlodar,100.0
2018,Percent,,Soltustik Kazakhstan,100.0
2018,Percent,,Turkistan,90.2
2018,Percent,,Shygys Kazakhstan,100.0
2018,Percent,,Nur-Sultan city,66.7
2018,Percent,,Almaty city,80.2
2018,Percent,,Shymkent city,89.4
2018,Percent,Boys,Akmola,100.0
2018,Percent,Girls,Akmola,100.0
2018,Percent,Boys,Aktobe,100.0
2018,Percent,Girls,Aktobe,100.0
2018,Percent,Boys,Almaty,100.0
2018,Percent,Girls,Almaty,100.0
2018,Percent,Boys,Atyrau,100.0
2018,Percent,Girls,Atyrau,100.0
2018,Percent,Boys,Batys Kazakhstan,100.0
2018,Percent,Girls,Batys Kazakhstan,100.0
2018,Percent,Boys,Zhambyl,100.0
2018,Percent,Girls,Zhambyl,82.1553362349047
2018,Percent,Boys,Karagandy,100.0
2018,Percent,Girls,Karagandy,100.0
2018,Percent,Boys,Kostanay,100.0
2018,Percent,Girls,Kostanay,100.0
2018,Percent,Boys,Kyzylorda,100.0
2018,Percent,Girls,Kyzylorda,100.0
2018,Percent,Boys,Mangistau,100.0
2018,Percent,Girls,Mangistau,100.0
2018,Percent,Boys,Turkistan,88.08910636106104
2018,Percent,Girls,Turkistan,92.53446387960804
2018,Percent,Boys,Pavlodar,100.0
2018,Percent,Girls,Pavlodar,100.0
2018,Percent,Boys,Soltustik Kazakhstan,100.0
2018,Percent,Girls,Soltustik Kazakhstan,100.0
2018,Percent,Boys,Shygys Kazakhstan,100.0
2018,Percent,Girls,Shygys Kazakhstan,100.0
2018,Percent,Boys,Nur-Sultan city,67.87322480083131
2018,Percent,Girls,Nur-Sultan city,65.53822521564457
2018,Percent,Boys,Almaty city,78.37239759743484
2018,Percent,Girls,Almaty city,82.22153273347813
2018,Percent,Boys,Shymkent city,88.21177032350485
2018,Percent,Girls,Shymkent city,90.77813589423141
2019,Percent,,,98.3
2019,Percent,Boys,,98.3
2019,Percent,Girls,,98.7
2019,Percent,,Akmola,100.0
2019,Percent,,Aktobe,100.0
2019,Percent,,Almaty,100.0
2019,Percent,,Atyrau,100.0
2019,Percent,,Batys Kazakhstan,100.0
2019,Percent,,Zhambyl,100.0
2019,Percent,,Karagandy,100.0
2019,Percent,,Kostanay,100.0
2019,Percent,,Kyzylorda,100.0
2019,Percent,,Mangistau,100.0
2019,Percent,,Pavlodar,100.0
2019,Percent,,Soltustik Kazakhstan,100.0
2019,Percent,,Turkistan,100.0
2019,Percent,,Shygys Kazakhstan,100.0
2019,Percent,,Nur-Sultan city,98.6
2019,Percent,,Almaty city,81.4
2019,Percent,,Shymkent city,100.0
2019,Percent,Boys,Akmola,100.0
2019,Percent,Girls,Akmola,100.0
2019,Percent,Boys,Aktobe,100.0
2019,Percent,Girls,Aktobe,100.0
2019,Percent,Boys,Almaty,100.0
2019,Percent,Girls,Almaty,100.0
2019,Percent,Boys,Atyrau,100.0
2019,Percent,Girls,Atyrau,100.0
2019,Percent,Boys,Batys Kazakhstan,100.0
2019,Percent,Girls,Batys Kazakhstan,100.0
2019,Percent,Boys,Zhambyl,100.0
2019,Percent,Girls,Zhambyl,100.0
2019,Percent,Boys,Karagandy,100.0
2019,Percent,Girls,Karagandy,100.0
2019,Percent,Boys,Kostanay,100.0
2019,Percent,Girls,Kostanay,100.0
2019,Percent,Boys,Kyzylorda,100.0
2019,Percent,Girls,Kyzylorda,100.0
2019,Percent,Boys,Mangistau,100.0
2019,Percent,Girls,Mangistau,100.0
2019,Percent,Boys,Turkistan,100.0
2019,Percent,Girls,Turkistan,100.0
2019,Percent,Boys,Pavlodar,100.0
2019,Percent,Girls,Pavlodar,100.0
2019,Percent,Boys,Soltustik Kazakhstan,100.0
2019,Percent,Girls,Soltustik Kazakhstan,100.0
2019,Percent,Boys,Shygys Kazakhstan,100.0
2019,Percent,Girls,Shygys Kazakhstan,100.0
2019,Percent,Boys,Nur-Sultan city,97.3
2019,Percent,Girls,Nur-Sultan city,98.5
2019,Percent,Boys,Almaty city,79.4
2019,Percent,Girls,Almaty city,83.6
2019,Percent,Boys,Shymkent city,100.0
2019,Percent,Girls,Shymkent city,100.0
