Year,Units,Area,Sex,Regions,GeoCode,Value
2012,Percent,,,Zhambyl,KZ17,4.9
2013,Percent,,,Zhambyl,KZ17,3.4
2014,Percent,,,Zhambyl,KZ17,3.1
2015,Percent,,,Zhambyl,KZ17,3.2
2016,Percent,,,Zhambyl,KZ17,3.3
2017,Percent,,,Zhambyl,KZ17,3.5
2018,Percent,,,Zhambyl,KZ17,4.6
2010,Percent,,,Karagandy,KZ12,3.8
2011,Percent,,,Karagandy,KZ12,3.5
2012,Percent,,,Karagandy,KZ12,2.8
2013,Percent,,,Karagandy,KZ12,2.0
2014,Percent,,,Karagandy,KZ12,1.4
2015,Percent,,,Karagandy,KZ12,1.5
2016,Percent,,,Karagandy,KZ12,1.3
2017,Percent,,,Karagandy,KZ12,1.6
2018,Percent,,,Karagandy,KZ12,2.3
2010,Percent,,,Kostanay,KZ13,6.4
2011,Percent,,,Kostanay,KZ13,4.6
2012,Percent,,,Kostanay,KZ13,3.3
2013,Percent,,,Kostanay,KZ13,2.6
2014,Percent,,,Kostanay,KZ13,2.5
2015,Percent,,,Kostanay,KZ13,2.7
2016,Percent,,,Kostanay,KZ13,2.6
2017,Percent,,,Kostanay,KZ13,2.4
2018,Percent,,,Kostanay,KZ13,4.1
2010,Percent,,,Kyzylorda,KZ14,6.7
2011,Percent,,,Kyzylorda,KZ14,6.2
2012,Percent,,,Kyzylorda,KZ14,3.8
2013,Percent,,,Kyzylorda,KZ14,3.6
2014,Percent,,,Kyzylorda,KZ14,3.2
2015,Percent,,,Kyzylorda,KZ14,3.5
2016,Percent,,,Kyzylorda,KZ14,3.1
2017,Percent,,,Kyzylorda,KZ14,3.0
2018,Percent,,,Kyzylorda,KZ14,4.9
2010,Percent,,,Mangistau,KZ09,11.6
2011,Percent,,,Mangistau,KZ09,10.4
2012,Percent,,,Mangistau,KZ09,3.3
2013,Percent,,,Mangistau,KZ09,2.6
2014,Percent,,,Mangistau,KZ09,3.0
2015,Percent,,,Mangistau,KZ09,2.6
2016,Percent,,,Mangistau,KZ09,2.8
2017,Percent,,,Mangistau,KZ09,3.3
2018,Percent,,,Mangistau,KZ09,4.9
2010,Percent,,,Ontustik Kazakhstan,KZ10,11.5
2011,Percent,,,Ontustik Kazakhstan,KZ10,10.4
2012,Percent,,,Ontustik Kazakhstan,KZ10,7.9
2013,Percent,,,Ontustik Kazakhstan,KZ10,5.9
2014,Percent,,,Ontustik Kazakhstan,KZ10,6.1
2015,Percent,,,Ontustik Kazakhstan,KZ10,5.3
2016,Percent,,,Ontustik Kazakhstan,KZ10,5.1
2017,Percent,,,Ontustik Kazakhstan,KZ10,5.0
2010,Percent,,,Pavlodar,KZ11,4.0
2011,Percent,,,Pavlodar,KZ11,4.5
2012,Percent,,,Pavlodar,KZ11,2.9
2013,Percent,,,Pavlodar,KZ11,1.5
2014,Percent,,,Pavlodar,KZ11,1.5
2015,Percent,,,Pavlodar,KZ11,1.6
2016,Percent,,,Pavlodar,KZ11,1.9
2017,Percent,,,Pavlodar,KZ11,1.7
2018,Percent,,,Pavlodar,KZ11,3.1
2010,Percent,,,Soltustik Kazakhstan,KZ16,5.4
2011,Percent,,,Soltustik Kazakhstan,KZ16,9.6
2012,Percent,,,Soltustik Kazakhstan,KZ16,5.7
2013,Percent,,,Soltustik Kazakhstan,KZ16,4.8
2014,Percent,,,Soltustik Kazakhstan,KZ16,4.2
2015,Percent,,,Soltustik Kazakhstan,KZ16,3.7
2016,Percent,,,Soltustik Kazakhstan,KZ16,3.4
2017,Percent,,,Soltustik Kazakhstan,KZ16,3.3
2018,Percent,,,Soltustik Kazakhstan,KZ16,4.7
2018,Percent,,,Turkistan,KZ10,10.6
2010,Percent,,,Shygys Kazakhstan,KZ15,8.4
2011,Percent,,,Shygys Kazakhstan,KZ15,6.1
2012,Percent,,,Shygys Kazakhstan,KZ15,3.4
2013,Percent,,,Shygys Kazakhstan,KZ15,2.4
2014,Percent,,,Shygys Kazakhstan,KZ15,2.5
2015,Percent,,,Shygys Kazakhstan,KZ15,2.0
2016,Percent,,,Shygys Kazakhstan,KZ15,1.8
2017,Percent,,,Shygys Kazakhstan,KZ15,1.8
2018,Percent,,,Shygys Kazakhstan,KZ15,6.3
2010,Percent,,,Nur-Sultan city,KZ05,3.4
2011,Percent,,,Nur-Sultan city,KZ05,1.7
2012,Percent,,,Nur-Sultan city,KZ05,1.0
2013,Percent,,,Nur-Sultan city,KZ05,0.5
2014,Percent,,,Nur-Sultan city,KZ05,0.4
2015,Percent,,,Nur-Sultan city,KZ05,0.6
2016,Percent,,,Nur-Sultan city,KZ05,0.7
2017,Percent,,,Nur-Sultan city,KZ05,0.8
2018,Percent,,,Nur-Sultan city,KZ05,0.9
2010,Percent,,,Almaty city,KZ02,2.6
2011,Percent,,,Almaty city,KZ02,2.0
2012,Percent,,,Almaty city,KZ02,0.4
2013,Percent,,,Almaty city,KZ02,0.6
2014,Percent,,,Almaty city,KZ02,0.6
2015,Percent,,,Almaty city,KZ02,0.6
2016,Percent,,,Almaty city,KZ02,0.8
2017,Percent,,,Almaty city,KZ02,1.0
2018,Percent,,,Almaty city,KZ02,2.8
2018,Percent,,,Shymkent city,KZ18,2.5
