Year,Units,Regions,Area,Sex,Education,Marital status,citizenship,GeoCode,Value
2014,per 100000 population,Nur-Sultan city,,,,,,KZ05,8.4
2015,per 100000 population,Nur-Sultan city,,,,,,KZ05,12.98
2016,per 100000 population,Nur-Sultan city,,,,,,KZ05,10.51
2017,per 100000 population,Nur-Sultan city,,,,,,KZ05,9.98
2018,per 100000 population,Nur-Sultan city,,,,,,KZ05,11.19
2010,per 100000 population,Almaty city,,,,,,KZ02,7.63
2011,per 100000 population,Almaty city,,,,,,KZ02,8.24
2012,per 100000 population,Almaty city,,,,,,KZ02,7.25
2013,per 100000 population,Almaty city,,,,,,KZ02,5.63
2014,per 100000 population,Almaty city,,,,,,KZ02,6.71
2015,per 100000 population,Almaty city,,,,,,KZ02,5.68
2016,per 100000 population,Almaty city,,,,,,KZ02,4.75
2017,per 100000 population,Almaty city,,,,,,KZ02,5.01
2018,per 100000 population,Almaty city,,,,,,KZ02,7.6
2018,per 100000 population,Shymkent city,,,,,,KZ18,2.24
2010,per 100000 population,,Population of urban areas,,,,,,19.38
2011,per 100000 population,,Population of urban areas,,,,,,18.21
2012,per 100000 population,,Population of urban areas,,,,,,17.11
2013,per 100000 population,,Population of urban areas,,,,,,17.71
2014,per 100000 population,,Population of urban areas,,,,,,14.85
2015,per 100000 population,,Population of urban areas,,,,,,13.49
2016,per 100000 population,,Population of urban areas,,,,,,11.95
2017,per 100000 population,,Population of urban areas,,,,,,12.35
2018,per 100000 population,,Population of urban areas,,,,,,12.36
2010,per 100000 population,Akmola,Population of urban areas,,,,,,39.43
2011,per 100000 population,Akmola,Population of urban areas,,,,,,27.77
2012,per 100000 population,Akmola,Population of urban areas,,,,,,29.15
2013,per 100000 population,Akmola,Population of urban areas,,,,,,32.72
2014,per 100000 population,Akmola,Population of urban areas,,,,,,30.56
2015,per 100000 population,Akmola,Population of urban areas,,,,,,30.06
2016,per 100000 population,Akmola,Population of urban areas,,,,,,26.0
2017,per 100000 population,Akmola,Population of urban areas,,,,,,28.39
2018,per 100000 population,Akmola,Population of urban areas,,,,,,27.26
2010,per 100000 population,Aktobe,Population of urban areas,,,,,,15.05
2011,per 100000 population,Aktobe,Population of urban areas,,,,,,15.57
2012,per 100000 population,Aktobe,Population of urban areas,,,,,,16.19
2013,per 100000 population,Aktobe,Population of urban areas,,,,,,17.99
2014,per 100000 population,Aktobe,Population of urban areas,,,,,,13.27
2015,per 100000 population,Aktobe,Population of urban areas,,,,,,19.19
2016,per 100000 population,Aktobe,Population of urban areas,,,,,,15.95
2017,per 100000 population,Aktobe,Population of urban areas,,,,,,12.44
2018,per 100000 population,Aktobe,Population of urban areas,,,,,,13.32
2010,per 100000 population,Almaty,Population of urban areas,,,,,,22.07
2011,per 100000 population,Almaty,Population of urban areas,,,,,,22.19
2012,per 100000 population,Almaty,Population of urban areas,,,,,,23.87
2013,per 100000 population,Almaty,Population of urban areas,,,,,,26.16
2014,per 100000 population,Almaty,Population of urban areas,,,,,,21.4
2015,per 100000 population,Almaty,Population of urban areas,,,,,,14.94
2016,per 100000 population,Almaty,Population of urban areas,,,,,,16.92
2017,per 100000 population,Almaty,Population of urban areas,,,,,,20.44
2018,per 100000 population,Almaty,Population of urban areas,,,,,,15.84
2010,per 100000 population,Atyrau,Population of urban areas,,,,,,9.97
2011,per 100000 population,Atyrau,Population of urban areas,,,,,,12.04
2012,per 100000 population,Atyrau,Population of urban areas,,,,,,16.26
2013,per 100000 population,Atyrau,Population of urban areas,,,,,,17.62
2014,per 100000 population,Atyrau,Population of urban areas,,,,,,12.6
2015,per 100000 population,Atyrau,Population of urban areas,,,,,,13.27
2016,per 100000 population,Atyrau,Population of urban areas,,,,,,13.56
2017,per 100000 population,Atyrau,Population of urban areas,,,,,,10.53
2018,per 100000 population,Atyrau,Population of urban areas,,,,,,11.9
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,24.75
2011,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,26.91
2012,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,24.99
2013,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,22.94
2014,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,23.24
2015,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,15.24
2016,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,14.33
2017,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,9.12
2018,per 100000 population,Batys Kazakhstan,Population of urban areas,,,,,,16.95
2010,per 100000 population,Zhambyl,Population of urban areas,,,,,,16.13
2011,per 100000 population,Zhambyl,Population of urban areas,,,,,,20.36
2012,per 100000 population,Zhambyl,Population of urban areas,,,,,,13.41
2013,per 100000 population,Zhambyl,Population of urban areas,,,,,,22.68
2014,per 100000 population,Zhambyl,Population of urban areas,,,,,,15.47
2015,per 100000 population,Zhambyl,Population of urban areas,,,,,,14.57
2016,per 100000 population,Zhambyl,Population of urban areas,,,,,,10.47
2017,per 100000 population,Zhambyl,Population of urban areas,,,,,,10.53
2018,per 100000 population,Zhambyl,Population of urban areas,,,,,,10.1
2010,per 100000 population,Karagandy,Population of urban areas,,,,,,31.09
2011,per 100000 population,Karagandy,Population of urban areas,,,,,,26.52
2012,per 100000 population,Karagandy,Population of urban areas,,,,,,24.39
2013,per 100000 population,Karagandy,Population of urban areas,,,,,,21.81
2014,per 100000 population,Karagandy,Population of urban areas,,,,,,24.2
2015,per 100000 population,Karagandy,Population of urban areas,,,,,,21.79
2016,per 100000 population,Karagandy,Population of urban areas,,,,,,19.22
2017,per 100000 population,Karagandy,Population of urban areas,,,,,,21.39
2018,per 100000 population,Karagandy,Population of urban areas,,,,,,18.67
2010,per 100000 population,Kostanay,Population of urban areas,,,,,,26.23
2011,per 100000 population,Kostanay,Population of urban areas,,,,,,31.92
2012,per 100000 population,Kostanay,Population of urban areas,,,,,,31.87
2013,per 100000 population,Kostanay,Population of urban areas,,,,,,33.34
2014,per 100000 population,Kostanay,Population of urban areas,,,,,,24.7
2015,per 100000 population,Kostanay,Population of urban areas,,,,,,27.81
2016,per 100000 population,Kostanay,Population of urban areas,,,,,,23.5
2017,per 100000 population,Kostanay,Population of urban areas,,,,,,21.24
2018,per 100000 population,Kostanay,Population of urban areas,,,,,,19.82
2010,per 100000 population,Kyzylorda,Population of urban areas,,,,,,6.48
2011,per 100000 population,Kyzylorda,Population of urban areas,,,,,,6.02
2012,per 100000 population,Kyzylorda,Population of urban areas,,,,,,15.69
2013,per 100000 population,Kyzylorda,Population of urban areas,,,,,,15.32
2014,per 100000 population,Kyzylorda,Population of urban areas,,,,,,11.53
2015,per 100000 population,Kyzylorda,Population of urban areas,,,,,,8.5
2016,per 100000 population,Kyzylorda,Population of urban areas,,,,,,9.19
2017,per 100000 population,Kyzylorda,Population of urban areas,,,,,,6.11
2018,per 100000 population,Kyzylorda,Population of urban areas,,,,,,6.59
2010,per 100000 population,Mangistau,Population of urban areas,,,,,,11.0
2011,per 100000 population,Mangistau,Population of urban areas,,,,,,11.12
2012,per 100000 population,Mangistau,Population of urban areas,,,,,,6.32
2013,per 100000 population,Mangistau,Population of urban areas,,,,,,13.43
2014,per 100000 population,Mangistau,Population of urban areas,,,,,,7.48
2015,per 100000 population,Mangistau,Population of urban areas,,,,,,7.04
2016,per 100000 population,Mangistau,Population of urban areas,,,,,,10.07
2017,per 100000 population,Mangistau,Population of urban areas,,,,,,10.69
2018,per 100000 population,Mangistau,Population of urban areas,,,,,,10.36
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,11.02
2011,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,10.23
2012,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,12.15
2013,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,12.56
2014,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,9.58
2015,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,6.89
2016,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,5.66
2017,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,,,,,9.46
2010,per 100000 population,Pavlodar,Population of urban areas,,,,,,23.91
2011,per 100000 population,Pavlodar,Population of urban areas,,,,,,25.33
2012,per 100000 population,Pavlodar,Population of urban areas,,,,,,25.37
2013,per 100000 population,Pavlodar,Population of urban areas,,,,,,22.62
2014,per 100000 population,Pavlodar,Population of urban areas,,,,,,12.32
2015,per 100000 population,Pavlodar,Population of urban areas,,,,,,3.19
2016,per 100000 population,Pavlodar,Population of urban areas,,,,,,4.12
2017,per 100000 population,Pavlodar,Population of urban areas,,,,,,8.24
2018,per 100000 population,Pavlodar,Population of urban areas,,,,,,7.32
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,26.42
2011,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,12.57
2012,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,3.77
2013,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,3.75
2014,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,6.19
2015,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,12.19
2016,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,12.44
2017,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,9.2
2018,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,,,,,5.55
2018,per 100000 population,Turkistan,Population of urban areas,,,,,,4.37
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,34.97
2011,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,30.25
2012,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,24.09
2013,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,25.03
2014,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,22.06
2015,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,19.36
2016,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,16.84
2017,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,16.75
2018,per 100000 population,Shygys Kazakhstan,Population of urban areas,,,,,,15.34
2010,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,12.18
2011,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,11.81
2012,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,10.12
2013,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,12.56
2014,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,8.4
2015,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,12.98
2016,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,10.51
2017,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,9.98
2018,per 100000 population,Nur-Sultan city,Population of urban areas,,,,,,11.19
2010,per 100000 population,Almaty city,Population of urban areas,,,,,,7.63
2011,per 100000 population,Almaty city,Population of urban areas,,,,,,8.24
2012,per 100000 population,Almaty city,Population of urban areas,,,,,,7.25
2013,per 100000 population,Almaty city,Population of urban areas,,,,,,5.63
2014,per 100000 population,Almaty city,Population of urban areas,,,,,,6.71
2015,per 100000 population,Almaty city,Population of urban areas,,,,,,5.68
2016,per 100000 population,Almaty city,Population of urban areas,,,,,,4.75
2017,per 100000 population,Almaty city,Population of urban areas,,,,,,5.01
2018,per 100000 population,Almaty city,Population of urban areas,,,,,,7.6
2018,per 100000 population,Shymkent city,Population of urban areas,,,,,,2.24
2010,per 100000 population,,Population of rural areas,,,,,,25.71
2011,per 100000 population,,Population of rural areas,,,,,,23.93
2012,per 100000 population,,Population of rural areas,,,,,,22.8
2013,per 100000 population,,Population of rural areas,,,,,,24.28
2014,per 100000 population,,Population of rural areas,,,,,,22.2
2015,per 100000 population,,Population of rural areas,,,,,,20.48
2016,per 100000 population,,Population of rural areas,,,,,,17.81
2017,per 100000 population,,Population of rural areas,,,,,,18.02
2018,per 100000 population,,Population of rural areas,,,,,,15.42
2010,per 100000 population,Akmola,Population of rural areas,,,,,,48.24
2011,per 100000 population,Akmola,Population of rural areas,,,,,,41.26
2012,per 100000 population,Akmola,Population of rural areas,,,,,,40.61
2013,per 100000 population,Akmola,Population of rural areas,,,,,,40.89
2014,per 100000 population,Akmola,Population of rural areas,,,,,,41.88
2015,per 100000 population,Akmola,Population of rural areas,,,,,,37.32
2016,per 100000 population,Akmola,Population of rural areas,,,,,,28.25
2017,per 100000 population,Akmola,Population of rural areas,,,,,,39.69
2018,per 100000 population,Akmola,Population of rural areas,,,,,,24.08
2010,per 100000 population,Aktobe,Population of rural areas,,,,,,24.1
2011,per 100000 population,Aktobe,Population of rural areas,,,,,,20.31
2012,per 100000 population,Aktobe,Population of rural areas,,,,,,30.0
2013,per 100000 population,Aktobe,Population of rural areas,,,,,,25.68
2014,per 100000 population,Aktobe,Population of rural areas,,,,,,26.04
2015,per 100000 population,Aktobe,Population of rural areas,,,,,,22.38
2016,per 100000 population,Aktobe,Population of rural areas,,,,,,20.72
2017,per 100000 population,Aktobe,Population of rural areas,,,,,,19.16
2018,per 100000 population,Aktobe,Population of rural areas,,,,,,18.8
2010,per 100000 population,Almaty,Population of rural areas,,,,,,21.35
2011,per 100000 population,Almaty,Population of rural areas,,,,,,19.94
2012,per 100000 population,Almaty,Population of rural areas,,,,,,20.28
2013,per 100000 population,Almaty,Population of rural areas,,,,,,21.11
2014,per 100000 population,Almaty,Population of rural areas,,,,,,21.46
2015,per 100000 population,Almaty,Population of rural areas,,,,,,18.14
2016,per 100000 population,Almaty,Population of rural areas,,,,,,16.41
2017,per 100000 population,Almaty,Population of rural areas,,,,,,18.42
2018,per 100000 population,Almaty,Population of rural areas,,,,,,15.0
2010,per 100000 population,Atyrau,Population of rural areas,,,,,,24.66
2011,per 100000 population,Atyrau,Population of rural areas,,,,,,14.64
2012,per 100000 population,Atyrau,Population of rural areas,,,,,,18.62
2013,per 100000 population,Atyrau,Population of rural areas,,,,,,21.71
2014,per 100000 population,Atyrau,Population of rural areas,,,,,,19.03
2015,per 100000 population,Atyrau,Population of rural areas,,,,,,22.97
2016,per 100000 population,Atyrau,Population of rural areas,,,,,,14.36
2017,per 100000 population,Atyrau,Population of rural areas,,,,,,15.32
2018,per 100000 population,Atyrau,Population of rural areas,,,,,,9.35
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,31.95
2011,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,40.08
2012,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,39.04
2013,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,29.76
2014,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,24.27
2015,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,22.91
2016,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,20.73
2017,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,22.83
2018,per 100000 population,Batys Kazakhstan,Population of rural areas,,,,,,25.85
2010,per 100000 population,Zhambyl,Population of rural areas,,,,,,18.26
2011,per 100000 population,Zhambyl,Population of rural areas,,,,,,16.23
2012,per 100000 population,Zhambyl,Population of rural areas,,,,,,15.21
2013,per 100000 population,Zhambyl,Population of rural areas,,,,,,17.52
2014,per 100000 population,Zhambyl,Population of rural areas,,,,,,18.1
2015,per 100000 population,Zhambyl,Population of rural areas,,,,,,11.54
2016,per 100000 population,Zhambyl,Population of rural areas,,,,,,10.24
2017,per 100000 population,Zhambyl,Population of rural areas,,,,,,8.81
2018,per 100000 population,Zhambyl,Population of rural areas,,,,,,7.99
2010,per 100000 population,Karagandy,Population of rural areas,,,,,,42.34
2011,per 100000 population,Karagandy,Population of rural areas,,,,,,37.89
2012,per 100000 population,Karagandy,Population of rural areas,,,,,,35.65
2013,per 100000 population,Karagandy,Population of rural areas,,,,,,40.24
2014,per 100000 population,Karagandy,Population of rural areas,,,,,,35.39
2015,per 100000 population,Karagandy,Population of rural areas,,,,,,26.99
2016,per 100000 population,Karagandy,Population of rural areas,,,,,,31.8
2017,per 100000 population,Karagandy,Population of rural areas,,,,,,25.1
2018,per 100000 population,Karagandy,Population of rural areas,,,,,,25.24
2010,per 100000 population,Kostanay,Population of rural areas,,,,,,50.2
2011,per 100000 population,Kostanay,Population of rural areas,,,,,,50.26
2012,per 100000 population,Kostanay,Population of rural areas,,,,,,46.16
2013,per 100000 population,Kostanay,Population of rural areas,,,,,,51.68
2014,per 100000 population,Kostanay,Population of rural areas,,,,,,39.18
2015,per 100000 population,Kostanay,Population of rural areas,,,,,,46.79
2016,per 100000 population,Kostanay,Population of rural areas,,,,,,41.6
2017,per 100000 population,Kostanay,Population of rural areas,,,,,,37.14
2018,per 100000 population,Kostanay,Population of rural areas,,,,,,33.0
2010,per 100000 population,Kyzylorda,Population of rural areas,,,,,,10.21
2011,per 100000 population,Kyzylorda,Population of rural areas,,,,,,8.09
2012,per 100000 population,Kyzylorda,Population of rural areas,,,,,,13.05
2013,per 100000 population,Kyzylorda,Population of rural areas,,,,,,18.1
2014,per 100000 population,Kyzylorda,Population of rural areas,,,,,,7.76
2015,per 100000 population,Kyzylorda,Population of rural areas,,,,,,6.52
2016,per 100000 population,Kyzylorda,Population of rural areas,,,,,,5.79
2017,per 100000 population,Kyzylorda,Population of rural areas,,,,,,4.6
2018,per 100000 population,Kyzylorda,Population of rural areas,,,,,,2.73
2010,per 100000 population,Mangistau,Population of rural areas,,,,,,15.76
2011,per 100000 population,Mangistau,Population of rural areas,,,,,,10.15
2012,per 100000 population,Mangistau,Population of rural areas,,,,,,4.04
2013,per 100000 population,Mangistau,Population of rural areas,,,,,,11.49
2014,per 100000 population,Mangistau,Population of rural areas,,,,,,9.16
2015,per 100000 population,Mangistau,Population of rural areas,,,,,,8.93
2016,per 100000 population,Mangistau,Population of rural areas,,,,,,12.11
2017,per 100000 population,Mangistau,Population of rural areas,,,,,,8.68
2018,per 100000 population,Mangistau,Population of rural areas,,,,,,9.02
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,11.74
2011,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,10.96
2012,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,11.34
2013,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,14.15
2014,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,15.67
2015,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,14.56
2016,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,11.21
2017,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,12.77
2018,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,,,,,9.93
2010,per 100000 population,Pavlodar,Population of rural areas,,,,,,34.05
2011,per 100000 population,Pavlodar,Population of rural areas,,,,,,46.68
2012,per 100000 population,Pavlodar,Population of rural areas,,,,,,34.95
2013,per 100000 population,Pavlodar,Population of rural areas,,,,,,31.82
