Year,Units,Regions,GeoCode,Value
2016,Number of individuals,Atyrau,KZ06,1309.0
2017,Number of individuals,Atyrau,KZ06,1462.0
2018,Number of individuals,Atyrau,KZ06,1455.0
2010,Number of individuals,Batys Kazakhstan,,3019.0
2011,Number of individuals,Batys Kazakhstan,,3059.0
2012,Number of individuals,Batys Kazakhstan,KZ07,2698.0
2013,Number of individuals,Batys Kazakhstan,KZ07,2643.0
2014,Number of individuals,Batys Kazakhstan,KZ07,2580.0
2015,Number of individuals,Batys Kazakhstan,KZ07,2414.0
2016,Number of individuals,Batys Kazakhstan,KZ07,2633.0
2017,Number of individuals,Batys Kazakhstan,KZ07,1679.0
2018,Number of individuals,Batys Kazakhstan,KZ07,1674.0
2011,Number of individuals,Zhambyl,KZ17,286.0
2012,Number of individuals,Zhambyl,KZ17,534.0
2013,Number of individuals,Zhambyl,KZ17,679.0
2014,Number of individuals,Zhambyl,KZ17,3561.0
2015,Number of individuals,Zhambyl,KZ17,3376.0
2016,Number of individuals,Zhambyl,KZ17,3.0
2017,Number of individuals,Zhambyl,KZ17,2.0
2010,Number of individuals,Karagandy,KZ12,9640.0
2011,Number of individuals,Karagandy,KZ12,9270.0
2012,Number of individuals,Karagandy,KZ12,7768.0
2013,Number of individuals,Karagandy,KZ12,7451.0
2014,Number of individuals,Karagandy,KZ12,7919.0
2015,Number of individuals,Karagandy,KZ12,7120.0
2016,Number of individuals,Karagandy,KZ12,1678.0
2017,Number of individuals,Karagandy,KZ12,1713.0
2018,Number of individuals,Karagandy,KZ12,1722.0
2010,Number of individuals,Kostanay,KZ13,6198.0
2011,Number of individuals,Kostanay,KZ13,6106.0
2012,Number of individuals,Kostanay,KZ13,5938.0
2013,Number of individuals,Kostanay,KZ13,5947.0
2014,Number of individuals,Kostanay,KZ13,5847.0
2015,Number of individuals,Kostanay,KZ13,6202.0
2016,Number of individuals,Kostanay,KZ13,3731.0
2017,Number of individuals,Kostanay,KZ13,2431.0
2018,Number of individuals,Kostanay,KZ13,2433.0
2010,Number of individuals,Kyzylorda,KZ14,10565.0
2011,Number of individuals,Kyzylorda,KZ14,12262.0
2012,Number of individuals,Kyzylorda,KZ14,1262.0
2013,Number of individuals,Kyzylorda,KZ14,1117.0
2014,Number of individuals,Kyzylorda,KZ14,1195.0
2015,Number of individuals,Kyzylorda,KZ14,1338.0
2016,Number of individuals,Kyzylorda,KZ14,1332.0
2017,Number of individuals,Kyzylorda,KZ14,102.0
2018,Number of individuals,Kyzylorda,KZ14,65.0
2010,Number of individuals,Mangistau,KZ09,15848.0
2011,Number of individuals,Mangistau,KZ09,16563.0
2012,Number of individuals,Mangistau,KZ09,16012.0
2013,Number of individuals,Mangistau,KZ09,15653.0
2014,Number of individuals,Mangistau,KZ09,15743.0
2015,Number of individuals,Mangistau,KZ09,13938.0
2016,Number of individuals,Mangistau,KZ09,426.0
2017,Number of individuals,Mangistau,KZ09,231.0
2018,Number of individuals,Mangistau,KZ09,231.0
2010,Number of individuals,Ontustik Kazakhstan,KZ10,8500.0
2011,Number of individuals,Ontustik Kazakhstan,KZ10,1638.0
2012,Number of individuals,Ontustik Kazakhstan,KZ10,874.0
2013,Number of individuals,Ontustik Kazakhstan,KZ10,898.0
2014,Number of individuals,Ontustik Kazakhstan,KZ10,521.0
2015,Number of individuals,Ontustik Kazakhstan,KZ10,585.0
2016,Number of individuals,Ontustik Kazakhstan,KZ10,340.0
2017,Number of individuals,Ontustik Kazakhstan,KZ10,346.0
2010,Number of individuals,Pavlodar,KZ11,1040.0
2011,Number of individuals,Pavlodar,KZ11,857.0
2012,Number of individuals,Pavlodar,KZ11,826.0
2013,Number of individuals,Pavlodar,KZ11,810.0
2014,Number of individuals,Pavlodar,KZ11,802.0
2015,Number of individuals,Pavlodar,KZ11,784.0
2016,Number of individuals,Pavlodar,KZ11,775.0
2017,Number of individuals,Pavlodar,KZ11,844.0
2018,Number of individuals,Pavlodar,KZ11,839.0
2010,Number of individuals,Soltustik Kazakhstan,KZ16,497.0
2011,Number of individuals,Soltustik Kazakhstan,KZ16,3381.0
2012,Number of individuals,Soltustik Kazakhstan,KZ16,3586.0
2013,Number of individuals,Soltustik Kazakhstan,KZ16,3915.0
2014,Number of individuals,Soltustik Kazakhstan,KZ16,3946.0
2015,Number of individuals,Soltustik Kazakhstan,KZ16,1239.0
2016,Number of individuals,Soltustik Kazakhstan,KZ16,1347.0
2017,Number of individuals,Soltustik Kazakhstan,KZ16,1379.0
2018,Number of individuals,Soltustik Kazakhstan,KZ16,1333.0
2018,Number of individuals,Turkistan,KZ10,257.0
2010,Number of individuals,Shygys Kazakhstan,KZ15,25021.0
2011,Number of individuals,Shygys Kazakhstan,KZ15,25250.0
2012,Number of individuals,Shygys Kazakhstan,KZ15,16438.0
2013,Number of individuals,Shygys Kazakhstan,KZ15,13382.0
2014,Number of individuals,Shygys Kazakhstan,KZ15,13508.0
2015,Number of individuals,Shygys Kazakhstan,KZ15,6051.0
2016,Number of individuals,Shygys Kazakhstan,KZ15,2265.0
2017,Number of individuals,Shygys Kazakhstan,KZ15,2320.0
2018,Number of individuals,Shygys Kazakhstan,KZ15,2293.0
2010,Number of individuals,Nur-Sultan city,KZ05,3.0
2011,Number of individuals,Nur-Sultan city,KZ05,6545.0
2012,Number of individuals,Nur-Sultan city,KZ05,6791.0
2013,Number of individuals,Nur-Sultan city,KZ05,6918.0
2014,Number of individuals,Nur-Sultan city,KZ05,9393.0
2015,Number of individuals,Nur-Sultan city,KZ05,7881.0
2016,Number of individuals,Nur-Sultan city,KZ05,9686.0
2017,Number of individuals,Nur-Sultan city,KZ05,4513.0
2018,Number of individuals,Nur-Sultan city,KZ05,4703.0
2010,Number of individuals,Almaty city,KZ02,16347.0
2011,Number of individuals,Almaty city,KZ02,40743.0
2012,Number of individuals,Almaty city,KZ02,42926.0
2013,Number of individuals,Almaty city,KZ02,44195.0
2014,Number of individuals,Almaty city,KZ02,49284.0
2015,Number of individuals,Almaty city,KZ02,50246.0
2016,Number of individuals,Almaty city,KZ02,49914.0
2017,Number of individuals,Almaty city,KZ02,48834.0
2018,Number of individuals,Almaty city,KZ02,48792.0
2018,Number of individuals,Shymkent city,KZ18,94.0
