Year,Units,Жынысы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,16.44
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,14.99
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,13.62
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,13.53
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,10.52
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,11.05
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,8.8
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,8.21
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,7.39
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,14.94
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,11.0
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,12.05
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,9.53
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,9.0
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,8.63
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,8.12
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,7.89
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,7.59
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,14.05
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,13.25
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,14.85
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,12.19
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,11.63
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,10.57
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,9.07
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,10.42
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,10.3
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,22.81
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,19.3
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,19.0
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,14.53
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,12.51
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,10.66
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,9.83
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,8.61
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,9.09
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,18.6
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,17.27
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,12.92
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,9.58
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,9.12
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,9.19
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,9.48
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,7.7
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,9.81
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,19.54
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,16.75
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,15.13
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,13.37
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,11.49
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,11.17
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,9.98
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,9.36
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,12.81
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,13.41
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,9.09
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,8.73
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,8.35
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,6.95
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,7.99
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,7.67
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,5.55
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,13.84
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,11.99
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,11.01
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,10.83
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,8.62
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,7.85
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,7.11
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,9.01
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,10.81
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,,,,,,8.67
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,19.91
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,17.93
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,16.19
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,13.47
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,11.18
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,9.77
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,9.51
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,7.28
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,7.99
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,11.41
2011,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,11.23
2012,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,11.51
2013,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,9.33
2014,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,6.96
2015,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,7.61
2016,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,6.75
2017,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,5.92
2018,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,6.17
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,17.08
2011,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,17.05
2012,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,12.6
2013,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,10.5
2014,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,8.27
2015,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,8.99
2016,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,7.58
2017,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,6.93
2018,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,8.36
2018,1000 туылғанға,ұлдар және қыздар,Шымкент қаласы,,,,,,8.37
2010,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,16.75
2011,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,15.45
2012,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,13.61
2013,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,11.46
2014,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,10.07
2015,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,9.66
2016,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,8.45
2017,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,7.48
2018,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,7.9
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,14.12
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,17.67
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,13.29
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,13.91
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,8.88
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,9.04
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,6.84
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,5.9
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,6.2
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,17.68
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,11.12
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,15.22
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,11.59
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,10.68
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,9.23
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,8.52
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,6.44
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,9.06
2010,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,15.73
2011,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,14.12
2012,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,12.36
2013,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,9.8
2014,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,8.09
2015,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,8.63
2016,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,8.4
2017,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,6.61
2018,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,6.85
2010,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,14.53
2011,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,15.97
2012,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,17.16
2013,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,9.0
2014,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,8.45
2015,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,7.57
2016,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,9.22
2017,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,7.71
2018,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,9.67
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,12.59
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,10.41
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,8.1
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,7.88
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,9.87
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,8.9
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,7.89
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,7.04
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,6.62
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,16.96
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,17.05
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,13.17
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,18.37
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,14.65
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,15.6
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,11.05
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,9.42
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,7.13
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,15.21
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,10.42
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,11.81
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,8.94
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,8.4
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,8.44
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,8.19
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,8.23
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,7.39
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,13.08
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,13.3
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,13.91
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,11.58
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,10.96
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,11.89
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,8.95
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,9.4
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,9.97
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,22.87
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,18.02
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,17.97
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,14.44
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,13.8
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,12.96
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,12.56
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,8.81
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,10.5
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,18.86
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,18.36
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,12.06
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,9.11
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,9.98
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,7.71
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,8.77
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,6.06
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,8.59
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,21.44
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,21.27
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,16.49
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,14.37
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,13.28
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,11.49
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,9.08
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,8.98
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,12.81
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,12.09
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,8.98
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,8.19
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,7.69
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,6.7
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,7.58
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,8.29
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,6.01
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,12.61
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,10.27
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,11.24
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,11.66
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,8.0
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,7.73
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,5.55
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,8.93
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,10.38
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,городское население,,,,,8.4
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,19.44
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,17.5
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,16.52
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,12.91
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,11.59
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,10.28
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,9.02
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,6.05
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,7.75
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,11.41
2011,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,11.23
2012,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,11.51
2013,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,9.33
2014,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,6.96
2015,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,7.61
2016,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,6.75
2017,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,5.92
2018,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,6.17
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,17.08
2011,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,17.05
2012,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,12.6
2013,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,10.5
2014,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,8.27
2015,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,8.99
2016,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,7.58
2017,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,6.93
2018,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,8.36
2018,1000 туылғанға,ұлдар және қыздар,Шымкент қаласы,городское население,,,,,8.37
2010,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,16.43
2011,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,14.29
2012,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,13.48
2013,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,11.31
2014,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,9.53
2015,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,9.08
2016,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,8.77
2017,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,8.55
2018,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,8.21
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,13.51
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,13.94
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,8.9
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,10.03
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,9.74
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,7.06
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,7.25
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,9.74
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,5.03
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,16.08
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,13.59
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,10.49
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,11.04
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,8.45
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,10.55
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,8.57
