Year,Units,Жасы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.12
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.06
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.18
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Солтүстік Қазақстан,,,,,,0.06
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Түркістан,,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.07
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.03
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.08
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.05
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.05
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.03
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.07
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шығыс Қазақстан,,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.12
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.05
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.1
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.04
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Нұр-Сұлтан қаласы,,,,,,0.06
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.06
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.03
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы қаласы,,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Шымкент қаласы,,,,,,0.02
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.06
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.02
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.04
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.04
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.04
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.01
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.02
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,,городское население,,,,,0.03
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.3
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.11
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.21
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.1
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.1
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақмола,городское население,,,,,0.18
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.07
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.07
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.08
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.07
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Ақтөбе,городское население,,,,,0.05
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.21
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.07
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.07
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.12
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Алматы,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.11
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.22
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.11
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Атырау,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.0
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.13
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.11
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Батыс Қазақстан,городское население,,,,,0.1
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.06
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.13
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.0
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.0
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.06
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Жамбыл,городское население,,,,,0.05
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.1
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.03
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.03
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.1
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.0
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.03
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.0
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қарағанды,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.28
2011,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.0
2012,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.0
2013,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.1
2014,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.09
2015,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.09
2016,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.0
2017,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.08
2018,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қостанай,городское население,,,,,0.0
2010,"на 1 000 женщин
 в данной возрастной группе",10 жастан 14 жасқа дейін,Қызылорда,городское население,,,,,0.09
