Year,Units,Жынысы,Өңірлер,Аймақ,GeoCode,Value
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,9.75
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,10.89
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,10.64
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,9.56
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,8.63
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,7.73
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,20.5
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,18.9
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,17.06
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,16.58
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,13.29
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,13.87
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,11.63
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,10.96
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,9.63
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,17.31
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,13.5
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,14.53
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,11.59
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,10.92
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,11.14
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,9.9
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,9.95
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,9.11
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,,,16.51
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,,,16.24
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,,,17.01
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,,,14.2
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,,,14.1
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,,,12.84
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,,,11.39
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,,,12.27
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,,,11.52
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,26.47
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,23.61
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,24.28
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,19.67
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,16.95
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,15.25
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,13.55
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,11.54
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,12.56
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,21.64
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,20.22
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,15.98
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,11.79
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,11.36
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,12.33
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,11.52
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,10.11
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,11.86
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,23.0
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,20.66
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,18.49
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,17.47
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,15.0
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,14.67
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,13.12
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,12.1
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,,,15.03
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,,,15.49
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,,,10.88
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,,,10.38
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,,,9.89
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,,,9.08
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,,,9.12
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,,,10.06
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,,,7.25
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,16.4
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,15.0
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,13.07
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,13.67
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,10.83
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,10.21
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,8.58
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,11.37
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,13.07
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,,,11.69
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,22.27
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,21.28
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,18.3
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,15.73
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,13.23
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,12.19
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,11.61
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,9.16
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,9.51
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,12.68
2011,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,12.82
2012,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,13.26
2013,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,11.6
2014,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,8.3
2015,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,8.95
2016,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,7.86
2017,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,7.0
2018,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,7.44
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,18.84
2011,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,19.45
2012,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,14.08
2013,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,11.86
2014,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,9.4
2015,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,10.37
2016,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,8.71
2017,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,8.5
2018,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,9.86
2018,1000 туылғанға,ұлдар және қыздар,Шымкент қаласы,,,10.22
2010,1000 туылғанға,ұлдар және қыздар,,городское население,,19.09
2011,1000 туылғанға,ұлдар және қыздар,,городское население,,17.88
2012,1000 туылғанға,ұлдар және қыздар,,городское население,,15.74
2013,1000 туылғанға,ұлдар және қыздар,,городское население,,13.65
2014,1000 туылғанға,ұлдар және қыздар,,городское население,,11.94
2015,1000 туылғанға,ұлдар және қыздар,,городское население,,11.78
2016,1000 туылғанға,ұлдар және қыздар,,городское население,,10.13
2017,1000 туылғанға,ұлдар және қыздар,,городское население,,9.35
2018,1000 туылғанға,ұлдар және қыздар,,городское население,,9.56
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,16.63
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,20.27
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,15.66
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,16.04
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,11.39
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,10.67
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,8.92
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,8.53
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,7.61
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,19.15
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,12.98
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,17.55
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,13.25
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,12.22
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,11.91
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,9.67
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,8.07
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,10.63
2010,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,18.68
2011,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,15.98
2012,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,13.93
2013,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,12.78
2014,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,10.3
2015,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,11.2
2016,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,10.64
2017,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,9.42
2018,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,8.48
2010,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,17.69
2011,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,17.69
2012,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,19.69
2013,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,11.28
2014,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,10.8
2015,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,8.78
2016,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,10.85
2017,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,9.71
2018,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,11.13
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,15.04
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,12.58
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,8.9
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,9.29
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,10.76
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,11.17
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,9.42
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,8.67
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,7.62
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,21.62
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,20.66
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,15.61
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,21.21
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,17.59
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,18.17
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,13.35
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,11.78
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,9.33
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,17.1
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,12.52
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,14.4
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,10.91
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,10.06
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,10.7
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,9.6
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,10.36
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,9.06
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,15.02
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,14.76
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,15.36
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,13.22
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,13.53
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,13.98
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,10.68
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,10.61
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,10.99
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,25.25
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,21.54
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,21.36
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,17.39
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,16.89
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,16.79
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,15.8
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,11.17
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,13.58
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,22.03
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,19.97
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,14.89
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,10.74
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,11.73
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,10.3
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,10.73
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,7.22
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,10.59
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,24.55
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,24.63
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,19.46
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,17.76
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,15.67
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,14.24
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,11.36
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,11.14
2018,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,10.36
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,14.18
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,14.1
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,10.1
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,9.84
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,8.8
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,8.83
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,8.63
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,10.38
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,8.06
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,14.21
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,14.19
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,13.02
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,13.25
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,9.03
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,9.8
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,6.62
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,11.25
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,12.06
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,городское население,,10.62
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,21.29
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,19.94
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,18.12
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,14.64
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,13.12
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,11.81
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,10.58
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,7.91
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,8.73
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,12.68
2011,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,12.82
2012,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,13.26
2013,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,11.6
2014,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,8.3
2015,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,8.95
2016,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,7.86
2017,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,7.0
2018,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,7.44
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,18.84
2011,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,19.45
2012,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,14.08
2013,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,11.86
2014,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,9.4
2015,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,10.37
2016,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,8.71
2017,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,8.5
2018,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,9.86
2018,1000 туылғанға,ұлдар және қыздар,Шымкент қаласы,городское население,,10.22
2010,1000 туылғанға,ұлдар және қыздар,,сельское население,,20.06
2011,1000 туылғанға,ұлдар және қыздар,,сельское население,,18.12
2012,1000 туылғанға,ұлдар және қыздар,,сельское население,,17.1
2013,1000 туылғанға,ұлдар және қыздар,,сельское население,,14.83
2014,1000 туылғанға,ұлдар және қыздар,,сельское население,,12.86
2015,1000 туылғанға,ұлдар және қыздар,,сельское население,,12.37
2016,1000 туылғанға,ұлдар және қыздар,,сельское население,,11.68
2017,1000 туылғанға,ұлдар және қыздар,,сельское население,,11.49
2018,1000 туылғанға,ұлдар және қыздар,,сельское население,,10.9
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,17.4
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,16.16
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,11.89
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,13.39
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,12.58
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,9.28
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,10.4
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,11.84
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,7.35
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,19.93
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,16.39
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,14.03
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,14.09
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,10.91
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,12.95
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,11.44
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,11.92
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,11.8
2010,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,15.18
2011,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,14.79
2012,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,14.75
2013,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,12.08
2014,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,11.6
2015,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,10.61
2016,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,9.27
2017,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,10.77
2018,1000 туылғанға,ұлдар және қыздар,Алматы,сельское население,,9.71
2010,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,22.07
2011,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,20.97
2012,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,18.51
2013,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,12.53
2014,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,12.62
2015,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,10.34
2016,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,11.03
2017,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,9.63
2018,1000 туылғанға,ұлдар және қыздар,Атырау,сельское население,,14.52
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,19.6
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,16.86
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,15.8
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,10.31
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,сельское население,,11.04
