Year,Units,Бюджеттің шығыстары,Value
2010,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",94.6
2011,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",94.7
2012,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",101.8
2013,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",96.3
2014,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",120.8
2015,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",87.1
2016,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",106.8
2017,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",418.6
2018,пайыз,"Промышленность, архитектурная, градостроительная и строительная деятельность",245.3
2010,пайыз,Көлiк және коммуникация,118.2
2011,пайыз,Көлiк және коммуникация,105.8
2012,пайыз,Көлiк және коммуникация,96.8
2013,пайыз,Көлiк және коммуникация,102.4
2014,пайыз,Көлiк және коммуникация,97.4
2015,пайыз,Көлiк және коммуникация,88.3
2016,пайыз,Көлiк және коммуникация,121.6
2017,пайыз,Көлiк және коммуникация,116.9
2018,пайыз,Көлiк және коммуникация,99.3
2010,пайыз,Басқалар,201.5
2011,пайыз,Басқалар,164.2
2012,пайыз,Басқалар,234.3
2013,пайыз,Басқалар,68.2
2014,пайыз,Басқалар,164.6
2015,пайыз,Басқалар,51.2
2016,пайыз,Басқалар,99.7
2017,пайыз,Басқалар,651.2
2018,пайыз,Басқалар,98.2
2010,пайыз,Борышқа  қызмет көрсету,78.2
2011,пайыз,Борышқа  қызмет көрсету,91.8
2012,пайыз,Борышқа  қызмет көрсету,73.6
2013,пайыз,Борышқа  қызмет көрсету,82.7
2014,пайыз,Борышқа  қызмет көрсету,97.4
2015,пайыз,Борышқа  қызмет көрсету,97.9
2016,пайыз,Борышқа  қызмет көрсету,115.9
2017,пайыз,Борышқа  қызмет көрсету,87.7
2018,пайыз,Борышқа  қызмет көрсету,97.6
2010,пайыз,Трансферттер,100.0
2011,пайыз,Трансферттер,100.0
2012,пайыз,Трансферттер,100.0
2013,пайыз,Трансферттер,100.0
2014,пайыз,Трансферттер,100.0
2015,пайыз,Трансферттер,100.0
2016,пайыз,Трансферттер,100.1
2017,пайыз,Трансферттер,100.6
2018,пайыз,Трансферттер,100.5
