Year,Units,Ауытқу дәрежесі,Жасы,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Атырау,16.2
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Батыс Қазақстан,6.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Жамбыл,21.3
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Қарағанды,6.1
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Қостанай,6.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Қызылорда,6.8
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Маңғыстау,15.7
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Оңтүстік Қазақстан,11.1
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Павлодар,13.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Солтүстік Қазақстан,11.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Шығыс Қазақстан,20.2
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Нұр-Сұлтан қаласы,22.1
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Алматы қаласы,15.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,9.8
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,19.0
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,12-23 месяцев,,,,17.4
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,12.9
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,36-47 ай,,,,11.6
2010,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,48-59 ай,,,,9.7
2015,пайыз,қалыпты және қатал ауытқушылық,,,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,3.3
2015,пайыз,қалыпты және қатал ауытқушылық,,қала,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,1.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,6.3
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,4.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,5.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,1.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,3.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,1.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,4.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,2.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,3.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,5.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,1.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,1.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Нұр-Сұлтан қаласы,1.3
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы қаласы,3.5
2015,пайыз,қалыпты және қатал ауытқушылық,0-5 месяцев,,,,13.7
2015,пайыз,қалыпты және қатал ауытқушылық,6-11 месяцев,,,,2.8
2015,пайыз,қалыпты және қатал ауытқушылық,12-17 месяцев,,,,1.7
2015,пайыз,қалыпты және қатал ауытқушылық,18-23 месяцев,,,,3.5
2015,пайыз,қалыпты және қатал ауытқушылық,24-35 месяцев,,,,1.8
2015,пайыз,қалыпты және қатал ауытқушылық,36-47 ай,,,,1.7
2015,пайыз,қалыпты және қатал ауытқушылық,48-59 ай,,,,1.9
2015,пайыз,нормадан күшті ауытқу,,,,,1.1
2015,пайыз,нормадан күшті ауытқу,,,ерлер,,1.1
2015,пайыз,нормадан күшті ауытқу,,,әйелдер,,1.0
2015,пайыз,нормадан күшті ауытқу,,қала,,,1.3
2015,пайыз,нормадан күшті ауытқу,,ауыл,,,0.8
2015,пайыз,нормадан күшті ауытқу,,,,Ақмола,0.2
2015,пайыз,нормадан күшті ауытқу,,,,Ақтөбе,2.5
2015,пайыз,нормадан күшті ауытқу,,,,Алматы,1.2
2015,пайыз,нормадан күшті ауытқу,,,,Атырау,3.6
2015,пайыз,нормадан күшті ауытқу,,,,Батыс Қазақстан,1.2
2015,пайыз,нормадан күшті ауытқу,,,,Жамбыл,0.9
2015,пайыз,нормадан күшті ауытқу,,,,Қарағанды,0.0
2015,пайыз,нормадан күшті ауытқу,,,,Қостанай,1.1
2015,пайыз,нормадан күшті ауытқу,,,,Қызылорда,0.7
2015,пайыз,нормадан күшті ауытқу,,,,Маңғыстау,1.0
2015,пайыз,нормадан күшті ауытқу,,,,Оңтүстік Қазақстан,0.9
2015,пайыз,нормадан күшті ауытқу,,,,Павлодар,2.4
2015,пайыз,нормадан күшті ауытқу,,,,Солтүстік Қазақстан,0.0
2015,пайыз,нормадан күшті ауытқу,,,,Шығыс Қазақстан,0.9
2015,пайыз,нормадан күшті ауытқу,,,,Нұр-Сұлтан қаласы,0.3
2015,пайыз,нормадан күшті ауытқу,,,,Алматы қаласы,1.4
2015,пайыз,нормадан күшті ауытқу,0-5 месяцев,,,,4.9
2015,пайыз,нормадан күшті ауытқу,6-11 месяцев,,,,1.0
2015,пайыз,нормадан күшті ауытқу,12-17 месяцев,,,,0.8
2015,пайыз,нормадан күшті ауытқу,18-23 месяцев,,,,0.9
2015,пайыз,нормадан күшті ауытқу,24-35 месяцев,,,,0.9
2015,пайыз,нормадан күшті ауытқу,36-47 ай,,,,0.2
2015,пайыз,нормадан күшті ауытқу,48-59 ай,,,,0.7
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,,9.3
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,ерлер,,8.7
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,әйелдер,,10.0
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,қала,,,11.2
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,ауыл,,,7.6
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Ақмола,4.9
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Ақтөбе,10.3
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Алматы,6.3
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Атырау,14.7
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Батыс Қазақстан,8.0
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Жамбыл,6.1
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Қарағанды,6.4
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Қостанай,12.5
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Қызылорда,8.6
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Маңғыстау,4.9
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Оңтүстік Қазақстан,7.6
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Павлодар,9.7
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Солтүстік Қазақстан,5.6
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Шығыс Қазақстан,9.2
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Нұр-Сұлтан қаласы,16.2
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,,,,Алматы қаласы,21.6
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,5.8
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,12.5
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,12-17 месяцев,,,,15.1
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,18-23 месяцев,,,,10.1
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,10.5
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,36-47 ай,,,,8.0
2015,пайыз,Избыточный вес: Умеренная и сильная степень отклонения от нормы,48-59 ай,,,,6.5
