Year,Units,Өңірлер,Жынысы,Аймақ,Жасы,GeoCode,Value
2016,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,3.9
2017,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,4.6
2018,пайыз,Нұр-Сұлтан қаласы,,,,KZ05,4.6
2010,пайыз,Алматы қаласы,,,,KZ02,8.6
2011,пайыз,Алматы қаласы,,,,KZ02,7.6
2012,пайыз,Алматы қаласы,,,,KZ02,7.3
2013,пайыз,Алматы қаласы,,,,KZ02,8.1
2014,пайыз,Алматы қаласы,,,,KZ02,6.5
2015,пайыз,Алматы қаласы,,,,KZ02,7.3
2016,пайыз,Алматы қаласы,,,,KZ02,7.0
2017,пайыз,Алматы қаласы,,,,KZ02,6.8
2018,пайыз,Алматы қаласы,,,,KZ02,6.7
2018,пайыз,Шымкент қаласы,,,,KZ18,5.8
2010,пайыз,,ерлер,,,,8.5
2011,пайыз,,ерлер,,,,8.0
2012,пайыз,,ерлер,,,,7.7
2013,пайыз,,ерлер,,,,7.8
2014,пайыз,,ерлер,,,,7.6
2015,пайыз,,ерлер,,,,7.9
2016,пайыз,,ерлер,,,,7.7
2017,пайыз,,ерлер,,,,8.1
2018,пайыз,,ерлер,,,,8.3
2010,пайыз,Ақмола,ерлер,,,,7.9
2011,пайыз,Ақмола,ерлер,,,,8.3
2012,пайыз,Ақмола,ерлер,,,,7.6
2013,пайыз,Ақмола,ерлер,,,,7.8
2014,пайыз,Ақмола,ерлер,,,,7.3
2015,пайыз,Ақмола,ерлер,,,,7.4
2016,пайыз,Ақмола,ерлер,,,,7.1
2017,пайыз,Ақмола,ерлер,,,,8.6
2018,пайыз,Ақмола,ерлер,,,,9.2
2010,пайыз,Ақтөбе,ерлер,,,,5.9
2011,пайыз,Ақтөбе,ерлер,,,,8.4
2012,пайыз,Ақтөбе,ерлер,,,,7.8
2013,пайыз,Ақтөбе,ерлер,,,,7.7
2014,пайыз,Ақтөбе,ерлер,,,,8.0
2015,пайыз,Ақтөбе,ерлер,,,,8.2
2016,пайыз,Ақтөбе,ерлер,,,,8.9
2017,пайыз,Ақтөбе,ерлер,,,,9.6
2018,пайыз,Ақтөбе,ерлер,,,,9.8
2010,пайыз,Алматы,ерлер,,,,5.8
2011,пайыз,Алматы,ерлер,,,,4.6
2012,пайыз,Алматы,ерлер,,,,4.3
2013,пайыз,Алматы,ерлер,,,,4.1
2014,пайыз,Алматы,ерлер,,,,4.8
2015,пайыз,Алматы,ерлер,,,,5.5
2016,пайыз,Алматы,ерлер,,,,5.2
2017,пайыз,Алматы,ерлер,,,,6.7
2018,пайыз,Алматы,ерлер,,,,6.7
2010,пайыз,Атырау,ерлер,,,,4.7
2011,пайыз,Атырау,ерлер,,,,4.0
2012,пайыз,Атырау,ерлер,,,,7.3
2013,пайыз,Атырау,ерлер,,,,7.9
2014,пайыз,Атырау,ерлер,,,,4.8
2015,пайыз,Атырау,ерлер,,,,6.3
2016,пайыз,Атырау,ерлер,,,,4.7
2017,пайыз,Атырау,ерлер,,,,3.2
2018,пайыз,Атырау,ерлер,,,,4.3
2010,пайыз,Батыс Қазақстан,ерлер,,,,4.1
2011,пайыз,Батыс Қазақстан,ерлер,,,,4.2
2012,пайыз,Батыс Қазақстан,ерлер,,,,4.8
2013,пайыз,Батыс Қазақстан,ерлер,,,,5.2
2014,пайыз,Батыс Қазақстан,ерлер,,,,6.0
2015,пайыз,Батыс Қазақстан,ерлер,,,,5.7
2016,пайыз,Батыс Қазақстан,ерлер,,,,5.8
2017,пайыз,Батыс Қазақстан,ерлер,,,,5.4
2018,пайыз,Батыс Қазақстан,ерлер,,,,5.6
2010,пайыз,Жамбыл,ерлер,,,,5.1
2011,пайыз,Жамбыл,ерлер,,,,5.4
2012,пайыз,Жамбыл,ерлер,,,,4.6
2013,пайыз,Жамбыл,ерлер,,,,4.2
2014,пайыз,Жамбыл,ерлер,,,,4.7
2015,пайыз,Жамбыл,ерлер,,,,4.9
2016,пайыз,Жамбыл,ерлер,,,,4.7
2017,пайыз,Жамбыл,ерлер,,,,6.5
2018,пайыз,Жамбыл,ерлер,,,,7.1
2010,пайыз,Қарағанды,ерлер,,,,27.0
2011,пайыз,Қарағанды,ерлер,,,,25.5
2012,пайыз,Қарағанды,ерлер,,,,22.8
2013,пайыз,Қарағанды,ерлер,,,,21.9
2014,пайыз,Қарағанды,ерлер,,,,18.3
2015,пайыз,Қарағанды,ерлер,,,,17.8
2016,пайыз,Қарағанды,ерлер,,,,17.4
2017,пайыз,Қарағанды,ерлер,,,,17.6
2018,пайыз,Қарағанды,ерлер,,,,17.4
2010,пайыз,Қостанай,ерлер,,,,4.8
2011,пайыз,Қостанай,ерлер,,,,5.0
2012,пайыз,Қостанай,ерлер,,,,5.1
2013,пайыз,Қостанай,ерлер,,,,5.1
2014,пайыз,Қостанай,ерлер,,,,4.8
2015,пайыз,Қостанай,ерлер,,,,5.1
2016,пайыз,Қостанай,ерлер,,,,5.1
2017,пайыз,Қостанай,ерлер,,,,6.0
2018,пайыз,Қостанай,ерлер,,,,6.2
2010,пайыз,Қызылорда,ерлер,,,,4.0
2011,пайыз,Қызылорда,ерлер,,,,4.0
2012,пайыз,Қызылорда,ерлер,,,,3.9
2013,пайыз,Қызылорда,ерлер,,,,3.0
2014,пайыз,Қызылорда,ерлер,,,,2.7
2015,пайыз,Қызылорда,ерлер,,,,2.5
2016,пайыз,Қызылорда,ерлер,,,,3.9
2017,пайыз,Қызылорда,ерлер,,,,3.6
2018,пайыз,Қызылорда,ерлер,,,,4.4
2010,пайыз,Маңғыстау,ерлер,,,,4.2
2011,пайыз,Маңғыстау,ерлер,,,,7.7
2012,пайыз,Маңғыстау,ерлер,,,,5.4
2013,пайыз,Маңғыстау,ерлер,,,,7.1
2014,пайыз,Маңғыстау,ерлер,,,,7.3
2015,пайыз,Маңғыстау,ерлер,,,,7.4
2016,пайыз,Маңғыстау,ерлер,,,,8.4
2017,пайыз,Маңғыстау,ерлер,,,,8.1
2018,пайыз,Маңғыстау,ерлер,,,,6.8
2010,пайыз,Оңтүстік Қазақстан,ерлер,,,,4.5
2011,пайыз,Оңтүстік Қазақстан,ерлер,,,,3.4
2012,пайыз,Оңтүстік Қазақстан,ерлер,,,,3.0
2013,пайыз,Оңтүстік Қазақстан,ерлер,,,,3.4
2014,пайыз,Оңтүстік Қазақстан,ерлер,,,,4.7
2015,пайыз,Оңтүстік Қазақстан,ерлер,,,,4.1
2016,пайыз,Оңтүстік Қазақстан,ерлер,,,,4.0
2017,пайыз,Оңтүстік Қазақстан,ерлер,,,,4.4
2010,пайыз,Павлодар,ерлер,,,,15.9
2011,пайыз,Павлодар,ерлер,,,,16.3
2012,пайыз,Павлодар,ерлер,,,,17.7
2013,пайыз,Павлодар,ерлер,,,,18.5
2014,пайыз,Павлодар,ерлер,,,,18.9
2015,пайыз,Павлодар,ерлер,,,,20.5
2016,пайыз,Павлодар,ерлер,,,,19.5
2017,пайыз,Павлодар,ерлер,,,,19.0
2018,пайыз,Павлодар,ерлер,,,,19.7
2010,пайыз,Солтүстік Қазақстан,ерлер,,,,4.7
2011,пайыз,Солтүстік Қазақстан,ерлер,,,,4.7
2012,пайыз,Солтүстік Қазақстан,ерлер,,,,5.2
2013,пайыз,Солтүстік Қазақстан,ерлер,,,,5.0
2014,пайыз,Солтүстік Қазақстан,ерлер,,,,5.0
2015,пайыз,Солтүстік Қазақстан,ерлер,,,,5.4
2016,пайыз,Солтүстік Қазақстан,ерлер,,,,5.5
2017,пайыз,Солтүстік Қазақстан,ерлер,,,,5.8
2018,пайыз,Солтүстік Қазақстан,ерлер,,,,6.8
2018,пайыз,Түркістан,ерлер,,,,2.4
2010,пайыз,Шығыс Қазақстан,ерлер,,,,11.2
2011,пайыз,Шығыс Қазақстан,ерлер,,,,10.5
2012,пайыз,Шығыс Қазақстан,ерлер,,,,11.5
2013,пайыз,Шығыс Қазақстан,ерлер,,,,11.9
2014,пайыз,Шығыс Қазақстан,ерлер,,,,11.8
2015,пайыз,Шығыс Қазақстан,ерлер,,,,12.7
2016,пайыз,Шығыс Қазақстан,ерлер,,,,14.0
2017,пайыз,Шығыс Қазақстан,ерлер,,,,13.4
2018,пайыз,Шығыс Қазақстан,ерлер,,,,13.7
2010,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,4.2
2011,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,2.4
2012,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,3.9
2013,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,3.5
2014,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,3.6
2015,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,4.3
2016,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,3.1
2017,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,4.9
2018,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,5.8
2010,пайыз,Алматы қаласы,ерлер,,,,11.2
2011,пайыз,Алматы қаласы,ерлер,,,,9.4
2012,пайыз,Алматы қаласы,ерлер,,,,7.6
2013,пайыз,Алматы қаласы,ерлер,,,,8.7
2014,пайыз,Алматы қаласы,ерлер,,,,6.9
2015,пайыз,Алматы қаласы,ерлер,,,,7.9
2016,пайыз,Алматы қаласы,ерлер,,,,7.2
2017,пайыз,Алматы қаласы,ерлер,,,,7.2
2018,пайыз,Алматы қаласы,ерлер,,,,8.1
2018,пайыз,Шымкент қаласы,ерлер,,,,5.7
2010,пайыз,,әйелдер,,,,5.4
2011,пайыз,,әйелдер,,,,4.9
2012,пайыз,,әйелдер,,,,5.0
2013,пайыз,,әйелдер,,,,4.9
2014,пайыз,,әйелдер,,,,4.9
2015,пайыз,,әйелдер,,,,5.1
2016,пайыз,,әйелдер,,,,5.5
2017,пайыз,,әйелдер,,,,5.3
2018,пайыз,,әйелдер,,,,4.9
2010,пайыз,Ақмола,әйелдер,,,,6.7
2011,пайыз,Ақмола,әйелдер,,,,6.3
2012,пайыз,Ақмола,әйелдер,,,,6.8
2013,пайыз,Ақмола,әйелдер,,,,6.9
2014,пайыз,Ақмола,әйелдер,,,,6.7
2015,пайыз,Ақмола,әйелдер,,,,7.1
2016,пайыз,Ақмола,әйелдер,,,,7.8
2017,пайыз,Ақмола,әйелдер,,,,6.7
2018,пайыз,Ақмола,әйелдер,,,,6.4
2010,пайыз,Ақтөбе,әйелдер,,,,5.5
2011,пайыз,Ақтөбе,әйелдер,,,,2.5
2012,пайыз,Ақтөбе,әйелдер,,,,2.9
2013,пайыз,Ақтөбе,әйелдер,,,,3.7
2014,пайыз,Ақтөбе,әйелдер,,,,4.2
2015,пайыз,Ақтөбе,әйелдер,,,,4.0
2016,пайыз,Ақтөбе,әйелдер,,,,5.1
2017,пайыз,Ақтөбе,әйелдер,,,,4.3
2018,пайыз,Ақтөбе,әйелдер,,,,3.9
2010,пайыз,Алматы,әйелдер,,,,3.1
2011,пайыз,Алматы,әйелдер,,,,3.0
2012,пайыз,Алматы,әйелдер,,,,2.7
2013,пайыз,Алматы,әйелдер,,,,2.7
2014,пайыз,Алматы,әйелдер,,,,3.0
2015,пайыз,Алматы,әйелдер,,,,3.5
2016,пайыз,Алматы,әйелдер,,,,3.6
2017,пайыз,Алматы,әйелдер,,,,4.3
2018,пайыз,Алматы,әйелдер,,,,3.9
2010,пайыз,Атырау,әйелдер,,,,2.9
2011,пайыз,Атырау,әйелдер,,,,3.3
2012,пайыз,Атырау,әйелдер,,,,3.3
2013,пайыз,Атырау,әйелдер,,,,4.1
2014,пайыз,Атырау,әйелдер,,,,2.7
2015,пайыз,Атырау,әйелдер,,,,4.0
2016,пайыз,Атырау,әйелдер,,,,3.9
2017,пайыз,Атырау,әйелдер,,,,4.7
2018,пайыз,Атырау,әйелдер,,,,3.6
2010,пайыз,Батыс Қазақстан,әйелдер,,,,2.5
2011,пайыз,Батыс Қазақстан,әйелдер,,,,2.9
2012,пайыз,Батыс Қазақстан,әйелдер,,,,2.6
2013,пайыз,Батыс Қазақстан,әйелдер,,,,3.1
2014,пайыз,Батыс Қазақстан,әйелдер,,,,3.3
2015,пайыз,Батыс Қазақстан,әйелдер,,,,3.2
2016,пайыз,Батыс Қазақстан,әйелдер,,,,4.7
2017,пайыз,Батыс Қазақстан,әйелдер,,,,4.9
2018,пайыз,Батыс Қазақстан,әйелдер,,,,4.7
2010,пайыз,Жамбыл,әйелдер,,,,3.6
2011,пайыз,Жамбыл,әйелдер,,,,3.3
2012,пайыз,Жамбыл,әйелдер,,,,4.4
2013,пайыз,Жамбыл,әйелдер,,,,2.8
2014,пайыз,Жамбыл,әйелдер,,,,1.7
2015,пайыз,Жамбыл,әйелдер,,,,1.6
2016,пайыз,Жамбыл,әйелдер,,,,2.9
2017,пайыз,Жамбыл,әйелдер,,,,3.3
2018,пайыз,Жамбыл,әйелдер,,,,2.6
2010,пайыз,Қарағанды,әйелдер,,,,12.1
2011,пайыз,Қарағанды,әйелдер,,,,12.3
2012,пайыз,Қарағанды,әйелдер,,,,11.9
2013,пайыз,Қарағанды,әйелдер,,,,11.7
2014,пайыз,Қарағанды,әйелдер,,,,10.3
2015,пайыз,Қарағанды,әйелдер,,,,10.6
2016,пайыз,Қарағанды,әйелдер,,,,10.4
2017,пайыз,Қарағанды,әйелдер,,,,9.7
2018,пайыз,Қарағанды,әйелдер,,,,9.6
2010,пайыз,Қостанай,әйелдер,,,,4.0
2011,пайыз,Қостанай,әйелдер,,,,4.2
2012,пайыз,Қостанай,әйелдер,,,,4.1
2013,пайыз,Қостанай,әйелдер,,,,4.2
2014,пайыз,Қостанай,әйелдер,,,,4.3
2015,пайыз,Қостанай,әйелдер,,,,4.4
2016,пайыз,Қостанай,әйелдер,,,,4.3
2017,пайыз,Қостанай,әйелдер,,,,3.7
2018,пайыз,Қостанай,әйелдер,,,,4.1
2010,пайыз,Қызылорда,әйелдер,,,,4.8
2011,пайыз,Қызылорда,әйелдер,,,,4.4
2012,пайыз,Қызылорда,әйелдер,,,,2.5
2013,пайыз,Қызылорда,әйелдер,,,,1.8
2014,пайыз,Қызылорда,әйелдер,,,,4.1
2015,пайыз,Қызылорда,әйелдер,,,,4.1
2016,пайыз,Қызылорда,әйелдер,,,,4.1
2017,пайыз,Қызылорда,әйелдер,,,,3.9
2018,пайыз,Қызылорда,әйелдер,,,,2.7
2010,пайыз,Маңғыстау,әйелдер,,,,5.0
2011,пайыз,Маңғыстау,әйелдер,,,,6.1
2012,пайыз,Маңғыстау,әйелдер,,,,7.3
2013,пайыз,Маңғыстау,әйелдер,,,,3.1
2014,пайыз,Маңғыстау,әйелдер,,,,3.8
2015,пайыз,Маңғыстау,әйелдер,,,,5.7
2016,пайыз,Маңғыстау,әйелдер,,,,5.1
2017,пайыз,Маңғыстау,әйелдер,,,,3.5
2018,пайыз,Маңғыстау,әйелдер,,,,4.7
2010,пайыз,Оңтүстік Қазақстан,әйелдер,,,,2.1
2011,пайыз,Оңтүстік Қазақстан,әйелдер,,,,1.9
2012,пайыз,Оңтүстік Қазақстан,әйелдер,,,,2.1
2013,пайыз,Оңтүстік Қазақстан,әйелдер,,,,2.2
2014,пайыз,Оңтүстік Қазақстан,әйелдер,,,,3.9
2015,пайыз,Оңтүстік Қазақстан,әйелдер,,,,2.9
2016,пайыз,Оңтүстік Қазақстан,әйелдер,,,,2.8
2017,пайыз,Оңтүстік Қазақстан,әйелдер,,,,2.8
2010,пайыз,Павлодар,әйелдер,,,,10.3
2011,пайыз,Павлодар,әйелдер,,,,10.7
2012,пайыз,Павлодар,әйелдер,,,,9.4
2013,пайыз,Павлодар,әйелдер,,,,8.5
2014,пайыз,Павлодар,әйелдер,,,,9.0
2015,пайыз,Павлодар,әйелдер,,,,8.0
2016,пайыз,Павлодар,әйелдер,,,,10.1
2017,пайыз,Павлодар,әйелдер,,,,10.8
2018,пайыз,Павлодар,әйелдер,,,,10.3
2010,пайыз,Солтүстік Қазақстан,әйелдер,,,,2.6
2011,пайыз,Солтүстік Қазақстан,әйелдер,,,,2.4
2012,пайыз,Солтүстік Қазақстан,әйелдер,,,,3.0
2013,пайыз,Солтүстік Қазақстан,әйелдер,,,,3.4
2014,пайыз,Солтүстік Қазақстан,әйелдер,,,,3.3
2015,пайыз,Солтүстік Қазақстан,әйелдер,,,,3.3
2016,пайыз,Солтүстік Қазақстан,әйелдер,,,,4.4
2017,пайыз,Солтүстік Қазақстан,әйелдер,,,,3.6
2018,пайыз,Солтүстік Қазақстан,әйелдер,,,,3.4
2018,пайыз,Түркістан,әйелдер,,,,1.8
2010,пайыз,Шығыс Қазақстан,әйелдер,,,,6.9
2011,пайыз,Шығыс Қазақстан,әйелдер,,,,7.1
2012,пайыз,Шығыс Қазақстан,әйелдер,,,,7.2
2013,пайыз,Шығыс Қазақстан,әйелдер,,,,7.2
2014,пайыз,Шығыс Қазақстан,әйелдер,,,,7.5
2015,пайыз,Шығыс Қазақстан,әйелдер,,,,7.6
2016,пайыз,Шығыс Қазақстан,әйелдер,,,,7.4
2017,пайыз,Шығыс Қазақстан,әйелдер,,,,7.3
2018,пайыз,Шығыс Қазақстан,әйелдер,,,,7.0
2010,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,6.4
2011,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,1.9
2012,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,1.7
2013,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,2.6
2014,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,1.8
2015,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,3.5
2016,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,4.8
2017,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,4.4
2018,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,3.3
2010,пайыз,Алматы қаласы,әйелдер,,,,6.3
2011,пайыз,Алматы қаласы,әйелдер,,,,6.0
2012,пайыз,Алматы қаласы,әйелдер,,,,6.9
2013,пайыз,Алматы қаласы,әйелдер,,,,7.6
2014,пайыз,Алматы қаласы,әйелдер,,,,6.1
2015,пайыз,Алматы қаласы,әйелдер,,,,6.8
2016,пайыз,Алматы қаласы,әйелдер,,,,6.8
2017,пайыз,Алматы қаласы,әйелдер,,,,6.4
2018,пайыз,Алматы қаласы,әйелдер,,,,5.3
2018,пайыз,Шымкент қаласы,әйелдер,,,,6.0
2012,пайыз,,,қала,,,9.4
2013,пайыз,,,қала,,,9.5
2014,пайыз,,,қала,,,9.1
2015,пайыз,,,қала,,,9.2
2016,пайыз,,,қала,,,8.8
2017,пайыз,,,қала,,,9.1
2018,пайыз,,,қала,,,9.0
2012,пайыз,Ақмола,,қала,,,10.6
2013,пайыз,Ақмола,,қала,,,10.4
2014,пайыз,Ақмола,,қала,,,10.8
2015,пайыз,Ақмола,,қала,,,10.9
2016,пайыз,Ақмола,,қала,,,10.6
2017,пайыз,Ақмола,,қала,,,10.1
2018,пайыз,Ақмола,,қала,,,10.3
2012,пайыз,Ақтөбе,,қала,,,7.7
2013,пайыз,Ақтөбе,,қала,,,8.0
2014,пайыз,Ақтөбе,,қала,,,8.2
2015,пайыз,Ақтөбе,,қала,,,7.4
2016,пайыз,Ақтөбе,,қала,,,9.5
2017,пайыз,Ақтөбе,,қала,,,9.4
2018,пайыз,Ақтөбе,,қала,,,9.1
2012,пайыз,Алматы,,қала,,,5.1
2013,пайыз,Алматы,,қала,,,4.4
2014,пайыз,Алматы,,қала,,,5.2
2015,пайыз,Алматы,,қала,,,6.1
2016,пайыз,Алматы,,қала,,,5.1
2017,пайыз,Алматы,,қала,,,8.0
2018,пайыз,Алматы,,қала,,,6.2
2012,пайыз,Атырау,,қала,,,6.2
2013,пайыз,Атырау,,қала,,,6.1
2014,пайыз,Атырау,,қала,,,4.0
2015,пайыз,Атырау,,қала,,,4.9
