Year,Units,Өңірлер,Жынысы,Аймақ,Жасы,GeoCode,Value
2015,пайыз,Жамбыл,ерлер,,,,22.3
2016,пайыз,Жамбыл,ерлер,,,,21.6
2017,пайыз,Жамбыл,ерлер,,,,12.3
2018,пайыз,Жамбыл,ерлер,,,,15.0
2012,пайыз,Қарағанды,ерлер,,,,16.5
2013,пайыз,Қарағанды,ерлер,,,,13.3
2014,пайыз,Қарағанды,ерлер,,,,16.4
2015,пайыз,Қарағанды,ерлер,,,,16.1
2016,пайыз,Қарағанды,ерлер,,,,12.8
2017,пайыз,Қарағанды,ерлер,,,,12.4
2018,пайыз,Қарағанды,ерлер,,,,15.2
2012,пайыз,Қостанай,ерлер,,,,9.1
2013,пайыз,Қостанай,ерлер,,,,10.4
2014,пайыз,Қостанай,ерлер,,,,12.2
2015,пайыз,Қостанай,ерлер,,,,16.6
2016,пайыз,Қостанай,ерлер,,,,16.3
2017,пайыз,Қостанай,ерлер,,,,9.6
2018,пайыз,Қостанай,ерлер,,,,9.8
2012,пайыз,Қызылорда,ерлер,,,,12.5
2013,пайыз,Қызылорда,ерлер,,,,12.1
2014,пайыз,Қызылорда,ерлер,,,,14.8
2015,пайыз,Қызылорда,ерлер,,,,19.7
2016,пайыз,Қызылорда,ерлер,,,,10.1
2017,пайыз,Қызылорда,ерлер,,,,8.6
2018,пайыз,Қызылорда,ерлер,,,,7.1
2012,пайыз,Маңғыстау,ерлер,,,,2.3
2013,пайыз,Маңғыстау,ерлер,,,,4.3
2014,пайыз,Маңғыстау,ерлер,,,,5.2
2015,пайыз,Маңғыстау,ерлер,,,,5.2
2016,пайыз,Маңғыстау,ерлер,,,,2.5
2017,пайыз,Маңғыстау,ерлер,,,,2.2
2018,пайыз,Маңғыстау,ерлер,,,,2.3
2012,пайыз,Оңтүстік Қазақстан,ерлер,,,,21.7
2013,пайыз,Оңтүстік Қазақстан,ерлер,,,,18.1
2014,пайыз,Оңтүстік Қазақстан,ерлер,,,,20.8
2015,пайыз,Оңтүстік Қазақстан,ерлер,,,,12.5
2016,пайыз,Оңтүстік Қазақстан,ерлер,,,,9.7
2017,пайыз,Оңтүстік Қазақстан,ерлер,,,,5.5
2012,пайыз,Павлодар,ерлер,,,,13.2
2013,пайыз,Павлодар,ерлер,,,,11.8
2014,пайыз,Павлодар,ерлер,,,,13.0
2015,пайыз,Павлодар,ерлер,,,,7.2
2016,пайыз,Павлодар,ерлер,,,,9.2
2017,пайыз,Павлодар,ерлер,,,,7.6
2018,пайыз,Павлодар,ерлер,,,,2.2
2012,пайыз,Солтүстік Қазақстан,ерлер,,,,11.9
2013,пайыз,Солтүстік Қазақстан,ерлер,,,,12.9
2014,пайыз,Солтүстік Қазақстан,ерлер,,,,19.4
2015,пайыз,Солтүстік Қазақстан,ерлер,,,,15.5
2016,пайыз,Солтүстік Қазақстан,ерлер,,,,9.7
2017,пайыз,Солтүстік Қазақстан,ерлер,,,,6.7
2018,пайыз,Солтүстік Қазақстан,ерлер,,,,7.2
2018,пайыз,Түркістан,ерлер,,,,6.2
2012,пайыз,Шығыс Қазақстан,ерлер,,,,13.2
2013,пайыз,Шығыс Қазақстан,ерлер,,,,12.6
2014,пайыз,Шығыс Қазақстан,ерлер,,,,16.6
2015,пайыз,Шығыс Қазақстан,ерлер,,,,12.6
2016,пайыз,Шығыс Қазақстан,ерлер,,,,7.2
2017,пайыз,Шығыс Қазақстан,ерлер,,,,6.4
2018,пайыз,Шығыс Қазақстан,ерлер,,,,33.3
2012,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,12.4
2013,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,5.4
2014,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,23.0
2015,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,27.4
2016,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,19.0
2017,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,25.2
2018,пайыз,Нұр-Сұлтан қаласы,ерлер,,,,16.0
2012,пайыз,Алматы қаласы,ерлер,,,,10.6
2013,пайыз,Алматы қаласы,ерлер,,,,11.8
2014,пайыз,Алматы қаласы,ерлер,,,,15.4
2015,пайыз,Алматы қаласы,ерлер,,,,11.7
2016,пайыз,Алматы қаласы,ерлер,,,,17.5
2017,пайыз,Алматы қаласы,ерлер,,,,10.5
2018,пайыз,Алматы қаласы,ерлер,,,,11.4
2018,пайыз,Шымкент қаласы,ерлер,,,,4.5
2012,пайыз,,әйелдер,,,,13.7
2013,пайыз,,әйелдер,,,,12.8
2014,пайыз,,әйелдер,,,,15.8
2015,пайыз,,әйелдер,,,,13.8
2016,пайыз,,әйелдер,,,,12.3
2017,пайыз,,әйелдер,,,,9.6
2018,пайыз,,әйелдер,,,,8.7
2012,пайыз,Ақмола,әйелдер,,,,9.9
2013,пайыз,Ақмола,әйелдер,,,,9.5
2014,пайыз,Ақмола,әйелдер,,,,13.3
2015,пайыз,Ақмола,әйелдер,,,,11.2
2016,пайыз,Ақмола,әйелдер,,,,9.5
2017,пайыз,Ақмола,әйелдер,,,,8.7
2018,пайыз,Ақмола,әйелдер,,,,7.6
2012,пайыз,Ақтөбе,әйелдер,,,,15.8
2013,пайыз,Ақтөбе,әйелдер,,,,10.8
2014,пайыз,Ақтөбе,әйелдер,,,,13.2
2015,пайыз,Ақтөбе,әйелдер,,,,11.7
2016,пайыз,Ақтөбе,әйелдер,,,,7.8
2017,пайыз,Ақтөбе,әйелдер,,,,2.0
2018,пайыз,Ақтөбе,әйелдер,,,,3.8
2012,пайыз,Алматы,әйелдер,,,,17.0
2013,пайыз,Алматы,әйелдер,,,,15.8
2014,пайыз,Алматы,әйелдер,,,,15.4
2015,пайыз,Алматы,әйелдер,,,,16.0
2016,пайыз,Алматы,әйелдер,,,,13.4
2017,пайыз,Алматы,әйелдер,,,,11.8
2018,пайыз,Алматы,әйелдер,,,,10.3
2012,пайыз,Атырау,әйелдер,,,,6.5
2013,пайыз,Атырау,әйелдер,,,,5.5
2014,пайыз,Атырау,әйелдер,,,,3.9
2015,пайыз,Атырау,әйелдер,,,,4.7
2016,пайыз,Атырау,әйелдер,,,,2.5
2017,пайыз,Атырау,әйелдер,,,,6.5
2018,пайыз,Атырау,әйелдер,,,,5.9
2012,пайыз,Батыс Қазақстан,әйелдер,,,,4.2
2013,пайыз,Батыс Қазақстан,әйелдер,,,,9.0
2014,пайыз,Батыс Қазақстан,әйелдер,,,,11.7
2015,пайыз,Батыс Қазақстан,әйелдер,,,,12.2
2016,пайыз,Батыс Қазақстан,әйелдер,,,,12.0
2017,пайыз,Батыс Қазақстан,әйелдер,,,,12.2
2018,пайыз,Батыс Қазақстан,әйелдер,,,,13.5
2012,пайыз,Жамбыл,әйелдер,,,,10.5
2013,пайыз,Жамбыл,әйелдер,,,,24.8
2014,пайыз,Жамбыл,әйелдер,,,,26.3
2015,пайыз,Жамбыл,әйелдер,,,,17.1
2016,пайыз,Жамбыл,әйелдер,,,,19.3
2017,пайыз,Жамбыл,әйелдер,,,,8.5
2018,пайыз,Жамбыл,әйелдер,,,,12.2
2012,пайыз,Қарағанды,әйелдер,,,,20.5
2013,пайыз,Қарағанды,әйелдер,,,,17.8
2014,пайыз,Қарағанды,әйелдер,,,,19.4
2015,пайыз,Қарағанды,әйелдер,,,,18.7
2016,пайыз,Қарағанды,әйелдер,,,,17.3
2017,пайыз,Қарағанды,әйелдер,,,,15.9
2018,пайыз,Қарағанды,әйелдер,,,,18.5
2012,пайыз,Қостанай,әйелдер,,,,11.6
2013,пайыз,Қостанай,әйелдер,,,,13.0
2014,пайыз,Қостанай,әйелдер,,,,13.8
2015,пайыз,Қостанай,әйелдер,,,,20.9
2016,пайыз,Қостанай,әйелдер,,,,16.0
2017,пайыз,Қостанай,әйелдер,,,,8.6
2018,пайыз,Қостанай,әйелдер,,,,5.5
2012,пайыз,Қызылорда,әйелдер,,,,13.8
2013,пайыз,Қызылорда,әйелдер,,,,10.2
2014,пайыз,Қызылорда,әйелдер,,,,13.7
2015,пайыз,Қызылорда,әйелдер,,,,15.9
2016,пайыз,Қызылорда,әйелдер,,,,10.2
2017,пайыз,Қызылорда,әйелдер,,,,7.9
2018,пайыз,Қызылорда,әйелдер,,,,6.4
2012,пайыз,Маңғыстау,әйелдер,,,,2.7
2013,пайыз,Маңғыстау,әйелдер,,,,7.2
2014,пайыз,Маңғыстау,әйелдер,,,,8.9
2015,пайыз,Маңғыстау,әйелдер,,,,5.2
2016,пайыз,Маңғыстау,әйелдер,,,,2.2
2017,пайыз,Маңғыстау,әйелдер,,,,2.4
2018,пайыз,Маңғыстау,әйелдер,,,,3.5
2012,пайыз,Оңтүстік Қазақстан,әйелдер,,,,17.2
2013,пайыз,Оңтүстік Қазақстан,әйелдер,,,,13.4
2014,пайыз,Оңтүстік Қазақстан,әйелдер,,,,13.0
2015,пайыз,Оңтүстік Қазақстан,әйелдер,,,,7.3
2016,пайыз,Оңтүстік Қазақстан,әйелдер,,,,6.4
2017,пайыз,Оңтүстік Қазақстан,әйелдер,,,,4.0
2012,пайыз,Павлодар,әйелдер,,,,16.5
2013,пайыз,Павлодар,әйелдер,,,,17.8
2014,пайыз,Павлодар,әйелдер,,,,17.5
2015,пайыз,Павлодар,әйелдер,,,,13.3
2016,пайыз,Павлодар,әйелдер,,,,16.5
2017,пайыз,Павлодар,әйелдер,,,,11.0
2018,пайыз,Павлодар,әйелдер,,,,4.2
2012,пайыз,Солтүстік Қазақстан,әйелдер,,,,15.7
2013,пайыз,Солтүстік Қазақстан,әйелдер,,,,16.2
2014,пайыз,Солтүстік Қазақстан,әйелдер,,,,16.1
2015,пайыз,Солтүстік Қазақстан,әйелдер,,,,13.6
2016,пайыз,Солтүстік Қазақстан,әйелдер,,,,10.5
2017,пайыз,Солтүстік Қазақстан,әйелдер,,,,6.1
2018,пайыз,Солтүстік Қазақстан,әйелдер,,,,6.7
2018,пайыз,Түркістан,әйелдер,,,,2.9
2012,пайыз,Шығыс Қазақстан,әйелдер,,,,18.9
2013,пайыз,Шығыс Қазақстан,әйелдер,,,,15.1
2014,пайыз,Шығыс Қазақстан,әйелдер,,,,20.1
2015,пайыз,Шығыс Қазақстан,әйелдер,,,,15.7
2016,пайыз,Шығыс Қазақстан,әйелдер,,,,10.8
2017,пайыз,Шығыс Қазақстан,әйелдер,,,,6.6
2018,пайыз,Шығыс Қазақстан,әйелдер,,,,4.4
2012,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,14.2
2013,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,4.3
2014,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,23.1
2015,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,25.9
2016,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,15.6
2017,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,23.9
2018,пайыз,Нұр-Сұлтан қаласы,әйелдер,,,,20.8
2012,пайыз,Алматы қаласы,әйелдер,,,,9.2
2013,пайыз,Алматы қаласы,әйелдер,,,,9.2
2014,пайыз,Алматы қаласы,әйелдер,,,,14.2
2015,пайыз,Алматы қаласы,әйелдер,,,,11.1
2016,пайыз,Алматы қаласы,әйелдер,,,,17.0
2017,пайыз,Алматы қаласы,әйелдер,,,,10.5
2018,пайыз,Алматы қаласы,әйелдер,,,,11.6
2018,пайыз,Шымкент қаласы,әйелдер,,,,4.5
2012,пайыз,,,қала,,,14.1
2013,пайыз,,,қала,,,12.9
2014,пайыз,,,қала,,,17.9
2015,пайыз,,,қала,,,15.5
2016,пайыз,,,қала,,,14.0
2017,пайыз,,,қала,,,10.7
2018,пайыз,,,қала,,,9.6
2012,пайыз,Ақмола,,қала,,,12.7
2013,пайыз,Ақмола,,қала,,,11.5
2014,пайыз,Ақмола,,қала,,,16.5
2015,пайыз,Ақмола,,қала,,,14.4
2016,пайыз,Ақмола,,қала,,,12.1
2017,пайыз,Ақмола,,қала,,,10.4
2018,пайыз,Ақмола,,қала,,,10.4
2012,пайыз,Ақтөбе,,қала,,,12.4
2013,пайыз,Ақтөбе,,қала,,,11.0
2014,пайыз,Ақтөбе,,қала,,,13.0
2015,пайыз,Ақтөбе,,қала,,,11.8
2016,пайыз,Ақтөбе,,қала,,,7.9
2017,пайыз,Ақтөбе,,қала,,,2.0
2018,пайыз,Ақтөбе,,қала,,,3.2
2012,пайыз,Алматы,,қала,,,19.1
2013,пайыз,Алматы,,қала,,,11.7
2014,пайыз,Алматы,,қала,,,22.0
2015,пайыз,Алматы,,қала,,,16.8
2016,пайыз,Алматы,,қала,,,15.9
2017,пайыз,Алматы,,қала,,,14.5
2018,пайыз,Алматы,,қала,,,15.9
2012,пайыз,Атырау,,қала,,,3.2
2013,пайыз,Атырау,,қала,,,3.1
2014,пайыз,Атырау,,қала,,,2.5
2015,пайыз,Атырау,,қала,,,2.8
2016,пайыз,Атырау,,қала,,,2.2
2017,пайыз,Атырау,,қала,,,4.3
2018,пайыз,Атырау,,қала,,,4.0
2012,пайыз,Батыс Қазақстан,,қала,,,5.1
2013,пайыз,Батыс Қазақстан,,қала,,,10.4
2014,пайыз,Батыс Қазақстан,,қала,,,12.6
2015,пайыз,Батыс Қазақстан,,қала,,,12.5
2016,пайыз,Батыс Қазақстан,,қала,,,11.3
2017,пайыз,Батыс Қазақстан,,қала,,,12.3
2018,пайыз,Батыс Қазақстан,,қала,,,12.3
2012,пайыз,Жамбыл,,қала,,,12.0
2013,пайыз,Жамбыл,,қала,,,30.3
2014,пайыз,Жамбыл,,қала,,,37.6
2015,пайыз,Жамбыл,,қала,,,23.6
2016,пайыз,Жамбыл,,қала,,,24.9
2017,пайыз,Жамбыл,,қала,,,10.3
2018,пайыз,Жамбыл,,қала,,,16.3
2012,пайыз,Қарағанды,,қала,,,20.4
2013,пайыз,Қарағанды,,қала,,,17.2
2014,пайыз,Қарағанды,,қала,,,19.0
2015,пайыз,Қарағанды,,қала,,,18.9
2016,пайыз,Қарағанды,,қала,,,16.3
2017,пайыз,Қарағанды,,қала,,,15.2
2018,пайыз,Қарағанды,,қала,,,17.1
2012,пайыз,Қостанай,,қала,,,11.1
2013,пайыз,Қостанай,,қала,,,12.7
2014,пайыз,Қостанай,,қала,,,13.0
2015,пайыз,Қостанай,,қала,,,22.1
2016,пайыз,Қостанай,,қала,,,18.0
2017,пайыз,Қостанай,,қала,,,8.4
2018,пайыз,Қостанай,,қала,,,5.4
2012,пайыз,Қызылорда,,қала,,,10.6
2013,пайыз,Қызылорда,,қала,,,10.4
2014,пайыз,Қызылорда,,қала,,,13.1
2015,пайыз,Қызылорда,,қала,,,15.6
2016,пайыз,Қызылорда,,қала,,,11.4
2017,пайыз,Қызылорда,,қала,,,9.0
2018,пайыз,Қызылорда,,қала,,,6.6
2012,пайыз,Маңғыстау,,қала,,,2.1
2013,пайыз,Маңғыстау,,қала,,,6.6
2014,пайыз,Маңғыстау,,қала,,,9.3
2015,пайыз,Маңғыстау,,қала,,,7.4
2016,пайыз,Маңғыстау,,қала,,,2.4
2017,пайыз,Маңғыстау,,қала,,,2.0
2018,пайыз,Маңғыстау,,қала,,,2.7
2012,пайыз,Оңтүстік Қазақстан,,қала,,,23.7
2013,пайыз,Оңтүстік Қазақстан,,қала,,,17.9
2014,пайыз,Оңтүстік Қазақстан,,қала,,,20.8
2015,пайыз,Оңтүстік Қазақстан,,қала,,,13.7
2016,пайыз,Оңтүстік Қазақстан,,қала,,,12.1
2017,пайыз,Оңтүстік Қазақстан,,қала,,,4.8
2012,пайыз,Павлодар,,қала,,,15.3
2013,пайыз,Павлодар,,қала,,,15.4
2014,пайыз,Павлодар,,қала,,,14.8
2015,пайыз,Павлодар,,қала,,,10.4
2016,пайыз,Павлодар,,қала,,,13.2
2017,пайыз,Павлодар,,қала,,,9.7
2018,пайыз,Павлодар,,қала,,,3.1
2012,пайыз,Солтүстік Қазақстан,,қала,,,18.3
2013,пайыз,Солтүстік Қазақстан,,қала,,,18.5
2014,пайыз,Солтүстік Қазақстан,,қала,,,23.6
2015,пайыз,Солтүстік Қазақстан,,қала,,,19.3
2016,пайыз,Солтүстік Қазақстан,,қала,,,12.6
2017,пайыз,Солтүстік Қазақстан,,қала,,,6.7
2018,пайыз,Солтүстік Қазақстан,,қала,,,6.9
2018,пайыз,Түркістан,,қала,,,6.8
2012,пайыз,Шығыс Қазақстан,,қала,,,16.7
2013,пайыз,Шығыс Қазақстан,,қала,,,13.5
2014,пайыз,Шығыс Қазақстан,,қала,,,19.5
2015,пайыз,Шығыс Қазақстан,,қала,,,14.6
2016,пайыз,Шығыс Қазақстан,,қала,,,10.4
2017,пайыз,Шығыс Қазақстан,,қала,,,7.4
2018,пайыз,Шығыс Қазақстан,,қала,,,4.4
2012,пайыз,Нұр-Сұлтан қаласы,,қала,,,13.3
2013,пайыз,Нұр-Сұлтан қаласы,,қала,,,4.8
2014,пайыз,Нұр-Сұлтан қаласы,,қала,,,23.1
2015,пайыз,Нұр-Сұлтан қаласы,,қала,,,26.7
2016,пайыз,Нұр-Сұлтан қаласы,,қала,,,17.3
2017,пайыз,Нұр-Сұлтан қаласы,,қала,,,24.6
2018,пайыз,Нұр-Сұлтан қаласы,,қала,,,16.6
2012,пайыз,Алматы қаласы,,қала,,,9.9
2013,пайыз,Алматы қаласы,,қала,,,10.5
2014,пайыз,Алматы қаласы,,қала,,,14.8
2015,пайыз,Алматы қаласы,,қала,,,11.4
2016,пайыз,Алматы қаласы,,қала,,,17.2
2017,пайыз,Алматы қаласы,,қала,,,10.5
2018,пайыз,Алматы қаласы,,қала,,,10.9
2018,пайыз,Шымкент қаласы,,қала,,,4.4
2012,пайыз,,,ауыл,,,12.1
2013,пайыз,,,ауыл,,,13.1
2014,пайыз,,,ауыл,,,13.7
2015,пайыз,,,ауыл,,,12.2
2016,пайыз,,,ауыл,,,9.1
2017,пайыз,,,ауыл,,,8.1
2018,пайыз,,,ауыл,,,6.5
2012,пайыз,Ақмола,,ауыл,,,7.9
2013,пайыз,Ақмола,,ауыл,,,11.5
2014,пайыз,Ақмола,,ауыл,,,14.2
2015,пайыз,Ақмола,,ауыл,,,11.3
2016,пайыз,Ақмола,,ауыл,,,10.3
2017,пайыз,Ақмола,,ауыл,,,10.8
2018,пайыз,Ақмола,,ауыл,,,6.0
2012,пайыз,Ақтөбе,,ауыл,,,14.2
2013,пайыз,Ақтөбе,,ауыл,,,14.7
2014,пайыз,Ақтөбе,,ауыл,,,12.3
2015,пайыз,Ақтөбе,,ауыл,,,9.4
2016,пайыз,Ақтөбе,,ауыл,,,8.0
2017,пайыз,Ақтөбе,,ауыл,,,3.0
