Year,Units,Өңірлер,Аймақ,Жасы,GeoCode,Value
2012,пайыз,Нұр-Сұлтан қаласы,,,KZ05,46.2
2013,пайыз,Нұр-Сұлтан қаласы,,,KZ05,48.0
2014,пайыз,Нұр-Сұлтан қаласы,,,KZ05,35.9
2015,пайыз,Нұр-Сұлтан қаласы,,,KZ05,41.9
2016,пайыз,Нұр-Сұлтан қаласы,,,KZ05,44.2
2017,пайыз,Нұр-Сұлтан қаласы,,,KZ05,43.2
2018,пайыз,Нұр-Сұлтан қаласы,,,KZ05,43.3
2010,пайыз,Алматы қаласы,,,KZ02,39.2
2011,пайыз,Алматы қаласы,,,KZ02,40.3
2012,пайыз,Алматы қаласы,,,KZ02,46.2
2013,пайыз,Алматы қаласы,,,KZ02,39.5
2014,пайыз,Алматы қаласы,,,KZ02,38.4
2015,пайыз,Алматы қаласы,,,KZ02,35.3
2016,пайыз,Алматы қаласы,,,KZ02,39.9
2017,пайыз,Алматы қаласы,,,KZ02,36.1
2018,пайыз,Алматы қаласы,,,KZ02,43.2
2018,пайыз,Шымкент қаласы,,,KZ18,46.7
2010,пайыз,,городская местность,,,38.0
2011,пайыз,,городская местность,,,39.5
2012,пайыз,,городская местность,,,41.9
2013,пайыз,,городская местность,,,38.9
2014,пайыз,,городская местность,,,37.1
2015,пайыз,,городская местность,,,38.4
2016,пайыз,,городская местность,,,38.3
2017,пайыз,,городская местность,,,37.8
2018,пайыз,,городская местность,,,41.7
2010,пайыз,Ақмола,городская местность,,,40.5
2011,пайыз,Ақмола,городская местность,,,46.1
2012,пайыз,Ақмола,городская местность,,,44.6
2013,пайыз,Ақмола,городская местность,,,50.5
2014,пайыз,Ақмола,городская местность,,,37.7
2015,пайыз,Ақмола,городская местность,,,29.8
2016,пайыз,Ақмола,городская местность,,,31.8
2017,пайыз,Ақмола,городская местность,,,33.1
2018,пайыз,Ақмола,городская местность,,,45.8
2010,пайыз,Ақтөбе,городская местность,,,36.1
2011,пайыз,Ақтөбе,городская местность,,,40.4
2012,пайыз,Ақтөбе,городская местность,,,35.3
2013,пайыз,Ақтөбе,городская местность,,,23.8
2014,пайыз,Ақтөбе,городская местность,,,39.6
2015,пайыз,Ақтөбе,городская местность,,,33.1
2016,пайыз,Ақтөбе,городская местность,,,36.8
2017,пайыз,Ақтөбе,городская местность,,,42.3
2018,пайыз,Ақтөбе,городская местность,,,34.1
2010,пайыз,Алматы,городская местность,,,29.7
2011,пайыз,Алматы,городская местность,,,26.2
2012,пайыз,Алматы,городская местность,,,36.9
2013,пайыз,Алматы,городская местность,,,46.3
2014,пайыз,Алматы,городская местность,,,30.5
2015,пайыз,Алматы,городская местность,,,34.3
2016,пайыз,Алматы,городская местность,,,42.2
2017,пайыз,Алматы,городская местность,,,35.2
2018,пайыз,Алматы,городская местность,,,38.0
2010,пайыз,Атырау,городская местность,,,16.1
2011,пайыз,Атырау,городская местность,,,27.8
2012,пайыз,Атырау,городская местность,,,39.5
2013,пайыз,Атырау,городская местность,,,31.9
2014,пайыз,Атырау,городская местность,,,23.7
2015,пайыз,Атырау,городская местность,,,33.6
2016,пайыз,Атырау,городская местность,,,30.5
2017,пайыз,Атырау,городская местность,,,30.8
2018,пайыз,Атырау,городская местность,,,33.8
2010,пайыз,Батыс Қазақстан,городская местность,,,23.4
2011,пайыз,Батыс Қазақстан,городская местность,,,27.5
2012,пайыз,Батыс Қазақстан,городская местность,,,19.1
2013,пайыз,Батыс Қазақстан,городская местность,,,26.0
2014,пайыз,Батыс Қазақстан,городская местность,,,32.0
2015,пайыз,Батыс Қазақстан,городская местность,,,38.4
2016,пайыз,Батыс Қазақстан,городская местность,,,35.0
2017,пайыз,Батыс Қазақстан,городская местность,,,39.1
2018,пайыз,Батыс Қазақстан,городская местность,,,36.9
2010,пайыз,Жамбыл,городская местность,,,28.0
2011,пайыз,Жамбыл,городская местность,,,35.3
2012,пайыз,Жамбыл,городская местность,,,38.8
2013,пайыз,Жамбыл,городская местность,,,29.9
2014,пайыз,Жамбыл,городская местность,,,27.5
2015,пайыз,Жамбыл,городская местность,,,20.3
2016,пайыз,Жамбыл,городская местность,,,16.2
2017,пайыз,Жамбыл,городская местность,,,17.8
2018,пайыз,Жамбыл,городская местность,,,42.6
2010,пайыз,Қарағанды,городская местность,,,41.7
2011,пайыз,Қарағанды,городская местность,,,40.0
2012,пайыз,Қарағанды,городская местность,,,44.7
2013,пайыз,Қарағанды,городская местность,,,39.4
2014,пайыз,Қарағанды,городская местность,,,37.0
2015,пайыз,Қарағанды,городская местность,,,39.9
2016,пайыз,Қарағанды,городская местность,,,34.2
2017,пайыз,Қарағанды,городская местность,,,33.3
2018,пайыз,Қарағанды,городская местность,,,37.0
2010,пайыз,Қостанай,городская местность,,,35.3
2011,пайыз,Қостанай,городская местность,,,42.6
2012,пайыз,Қостанай,городская местность,,,45.6
2013,пайыз,Қостанай,городская местность,,,39.1
2014,пайыз,Қостанай,городская местность,,,41.4
2015,пайыз,Қостанай,городская местность,,,44.7
2016,пайыз,Қостанай,городская местность,,,41.4
2017,пайыз,Қостанай,городская местность,,,40.0
2018,пайыз,Қостанай,городская местность,,,42.5
2010,пайыз,Қызылорда,городская местность,,,38.5
2011,пайыз,Қызылорда,городская местность,,,40.2
2012,пайыз,Қызылорда,городская местность,,,32.4
2013,пайыз,Қызылорда,городская местность,,,31.7
2014,пайыз,Қызылорда,городская местность,,,38.1
2015,пайыз,Қызылорда,городская местность,,,37.6
2016,пайыз,Қызылорда,городская местность,,,32.2
2017,пайыз,Қызылорда,городская местность,,,29.6
2018,пайыз,Қызылорда,городская местность,,,38.2
2010,пайыз,Маңғыстау,городская местность,,,30.5
2011,пайыз,Маңғыстау,городская местность,,,34.7
2012,пайыз,Маңғыстау,городская местность,,,43.9
2013,пайыз,Маңғыстау,городская местность,,,28.0
2014,пайыз,Маңғыстау,городская местность,,,46.4
2015,пайыз,Маңғыстау,городская местность,,,51.6
2016,пайыз,Маңғыстау,городская местность,,,43.8
2017,пайыз,Маңғыстау,городская местность,,,39.5
2018,пайыз,Маңғыстау,городская местность,,,36.6
2010,пайыз,Оңтүстік Қазақстан,городская местность,,,24.8
2011,пайыз,Оңтүстік Қазақстан,городская местность,,,31.5
2012,пайыз,Оңтүстік Қазақстан,городская местность,,,35.4
2013,пайыз,Оңтүстік Қазақстан,городская местность,,,29.4
2014,пайыз,Оңтүстік Қазақстан,городская местность,,,35.5
2015,пайыз,Оңтүстік Қазақстан,городская местность,,,32.8
2016,пайыз,Оңтүстік Қазақстан,городская местность,,,43.0
2017,пайыз,Оңтүстік Қазақстан,городская местность,,,24.9
2010,пайыз,Павлодар,городская местность,,,41.4
2011,пайыз,Павлодар,городская местность,,,39.0
2012,пайыз,Павлодар,городская местность,,,29.0
2013,пайыз,Павлодар,городская местность,,,33.9
2014,пайыз,Павлодар,городская местность,,,31.5
2015,пайыз,Павлодар,городская местность,,,40.7
2016,пайыз,Павлодар,городская местность,,,40.5
2017,пайыз,Павлодар,городская местность,,,46.1
2018,пайыз,Павлодар,городская местность,,,40.1
2010,пайыз,Солтүстік Қазақстан,городская местность,,,36.6
2011,пайыз,Солтүстік Қазақстан,городская местность,,,35.1
2012,пайыз,Солтүстік Қазақстан,городская местность,,,33.8
2013,пайыз,Солтүстік Қазақстан,городская местность,,,29.4
2014,пайыз,Солтүстік Қазақстан,городская местность,,,34.0
2015,пайыз,Солтүстік Қазақстан,городская местность,,,42.1
2016,пайыз,Солтүстік Қазақстан,городская местность,,,33.5
2017,пайыз,Солтүстік Қазақстан,городская местность,,,37.2
2018,пайыз,Солтүстік Қазақстан,городская местность,,,43.1
2018,пайыз,Түркістан,городская местность,,,37.9
2010,пайыз,Шығыс Қазақстан,городская местность,,,39.5
2011,пайыз,Шығыс Қазақстан,городская местность,,,40.1
2012,пайыз,Шығыс Қазақстан,городская местность,,,34.4
2013,пайыз,Шығыс Қазақстан,городская местность,,,40.1
2014,пайыз,Шығыс Қазақстан,городская местность,,,37.8
2015,пайыз,Шығыс Қазақстан,городская местность,,,34.6
2016,пайыз,Шығыс Қазақстан,городская местность,,,35.2
2017,пайыз,Шығыс Қазақстан,городская местность,,,42.3
2018,пайыз,Шығыс Қазақстан,городская местность,,,46.7
2010,пайыз,Нұр-Сұлтан қаласы,городская местность,,,40.4
2011,пайыз,Нұр-Сұлтан қаласы,городская местность,,,41.4
2012,пайыз,Нұр-Сұлтан қаласы,городская местность,,,46.2
2013,пайыз,Нұр-Сұлтан қаласы,городская местность,,,48.0
2014,пайыз,Нұр-Сұлтан қаласы,городская местность,,,37.6
2015,пайыз,Нұр-Сұлтан қаласы,городская местность,,,41.9
2016,пайыз,Нұр-Сұлтан қаласы,городская местность,,,44.2
2017,пайыз,Нұр-Сұлтан қаласы,городская местность,,,43.2
2018,пайыз,Нұр-Сұлтан қаласы,городская местность,,,43.3
2010,пайыз,Алматы қаласы,городская местность,,,39.2
2011,пайыз,Алматы қаласы,городская местность,,,40.3
2012,пайыз,Алматы қаласы,городская местность,,,46.2
2013,пайыз,Алматы қаласы,городская местность,,,39.5
2014,пайыз,Алматы қаласы,городская местность,,,39.3
2015,пайыз,Алматы қаласы,городская местность,,,35.3
2016,пайыз,Алматы қаласы,городская местность,,,39.9
2017,пайыз,Алматы қаласы,городская местность,,,36.1
2018,пайыз,Алматы қаласы,городская местность,,,43.2
2018,пайыз,Шымкент қаласы,городская местность,,,46.7
2010,пайыз,,сельская местность,,,33.4
2011,пайыз,,сельская местность,,,34.3
2012,пайыз,,сельская местность,,,32.2
2013,пайыз,,сельская местность,,,37.0
2014,пайыз,,сельская местность,,,30.2
2015,пайыз,,сельская местность,,,32.1
2016,пайыз,,сельская местность,,,32.9
2017,пайыз,,сельская местность,,,33.3
2018,пайыз,,сельская местность,,,39.5
2010,пайыз,Ақмола,сельская местность,,,37.5
2011,пайыз,Ақмола,сельская местность,,,30.0
2012,пайыз,Ақмола,сельская местность,,,12.8
2013,пайыз,Ақмола,сельская местность,,,31.2
2014,пайыз,Ақмола,сельская местность,,,29.6
2015,пайыз,Ақмола,сельская местность,,,30.3
2016,пайыз,Ақмола,сельская местность,,,38.3
2017,пайыз,Ақмола,сельская местность,,,39.8
2018,пайыз,Ақмола,сельская местность,,,45.6
2010,пайыз,Ақтөбе,сельская местность,,,55.8
2011,пайыз,Ақтөбе,сельская местность,,,48.8
2012,пайыз,Ақтөбе,сельская местность,,,42.5
2013,пайыз,Ақтөбе,сельская местность,,,54.4
2014,пайыз,Ақтөбе,сельская местность,,,30.6
2015,пайыз,Ақтөбе,сельская местность,,,38.1
2016,пайыз,Ақтөбе,сельская местность,,,27.0
2017,пайыз,Ақтөбе,сельская местность,,,31.7
2018,пайыз,Ақтөбе,сельская местность,,,32.4
2010,пайыз,Алматы,сельская местность,,,32.7
2011,пайыз,Алматы,сельская местность,,,23.3
2012,пайыз,Алматы,сельская местность,,,32.1
2013,пайыз,Алматы,сельская местность,,,45.3
2014,пайыз,Алматы,сельская местность,,,25.3
2015,пайыз,Алматы,сельская местность,,,29.3
2016,пайыз,Алматы,сельская местность,,,31.1
2017,пайыз,Алматы,сельская местность,,,33.0
2018,пайыз,Алматы,сельская местность,,,39.8
2010,пайыз,Атырау,сельская местность,,,26.8
2011,пайыз,Атырау,сельская местность,,,23.6
2012,пайыз,Атырау,сельская местность,,,10.1
2013,пайыз,Атырау,сельская местность,,,18.0
2014,пайыз,Атырау,сельская местность,,,32.7
2015,пайыз,Атырау,сельская местность,,,34.6
2016,пайыз,Атырау,сельская местность,,,28.4
2017,пайыз,Атырау,сельская местность,,,32.6
2018,пайыз,Атырау,сельская местность,,,43.0
2010,пайыз,Батыс Қазақстан,сельская местность,,,8.6
2011,пайыз,Батыс Қазақстан,сельская местность,,,11.0
2012,пайыз,Батыс Қазақстан,сельская местность,,,25.5
2013,пайыз,Батыс Қазақстан,сельская местность,,,16.9
2014,пайыз,Батыс Қазақстан,сельская местность,,,28.8
2015,пайыз,Батыс Қазақстан,сельская местность,,,30.7
2016,пайыз,Батыс Қазақстан,сельская местность,,,33.5
2017,пайыз,Батыс Қазақстан,сельская местность,,,28.8
2018,пайыз,Батыс Қазақстан,сельская местность,,,35.6
2010,пайыз,Жамбыл,сельская местность,,,19.1
2011,пайыз,Жамбыл,сельская местность,,,25.0
2012,пайыз,Жамбыл,сельская местность,,,42.6
2013,пайыз,Жамбыл,сельская местность,,,10.1
2014,пайыз,Жамбыл,сельская местность,,,16.7
2015,пайыз,Жамбыл,сельская местность,,,21.1
2016,пайыз,Жамбыл,сельская местность,,,29.4
2017,пайыз,Жамбыл,сельская местность,,,20.9
2018,пайыз,Жамбыл,сельская местность,,,36.2
2010,пайыз,Қарағанды,сельская местность,,,31.5
2011,пайыз,Қарағанды,сельская местность,,,39.8
2012,пайыз,Қарағанды,сельская местность,,,27.0
2013,пайыз,Қарағанды,сельская местность,,,30.7
2014,пайыз,Қарағанды,сельская местность,,,32.0
2015,пайыз,Қарағанды,сельская местность,,,30.9
2016,пайыз,Қарағанды,сельская местность,,,30.7
2017,пайыз,Қарағанды,сельская местность,,,29.6
2018,пайыз,Қарағанды,сельская местность,,,33.6
2010,пайыз,Қостанай,сельская местность,,,46.9
2011,пайыз,Қостанай,сельская местность,,,46.7
2012,пайыз,Қостанай,сельская местность,,,36.1
2013,пайыз,Қостанай,сельская местность,,,20.5
2014,пайыз,Қостанай,сельская местность,,,34.4
2015,пайыз,Қостанай,сельская местность,,,38.4
2016,пайыз,Қостанай,сельская местность,,,35.9
2017,пайыз,Қостанай,сельская местность,,,36.5
2018,пайыз,Қостанай,сельская местность,,,43.7
2010,пайыз,Қызылорда,сельская местность,,,37.3
2011,пайыз,Қызылорда,сельская местность,,,41.9
2012,пайыз,Қызылорда,сельская местность,,,28.7
2013,пайыз,Қызылорда,сельская местность,,,29.4
2014,пайыз,Қызылорда,сельская местность,,,28.8
2015,пайыз,Қызылорда,сельская местность,,,26.3
2016,пайыз,Қызылорда,сельская местность,,,27.3
2017,пайыз,Қызылорда,сельская местность,,,33.3
2018,пайыз,Қызылорда,сельская местность,,,34.9
2010,пайыз,Маңғыстау,сельская местность,,,29.6
2011,пайыз,Маңғыстау,сельская местность,,,20.5
2012,пайыз,Маңғыстау,сельская местность,,,16.7
2013,пайыз,Маңғыстау,сельская местность,,,35.8
2014,пайыз,Маңғыстау,сельская местность,,,45.5
2015,пайыз,Маңғыстау,сельская местность,,,53.0
2016,пайыз,Маңғыстау,сельская местность,,,47.1
2017,пайыз,Маңғыстау,сельская местность,,,49.1
2018,пайыз,Маңғыстау,сельская местность,,,38.9
2010,пайыз,Оңтүстік Қазақстан,сельская местность,,,4.2
2011,пайыз,Оңтүстік Қазақстан,сельская местность,,,21.4
2012,пайыз,Оңтүстік Қазақстан,сельская местность,,,15.8
2013,пайыз,Оңтүстік Қазақстан,сельская местность,,,34.8
2014,пайыз,Оңтүстік Қазақстан,сельская местность,,,30.4
2015,пайыз,Оңтүстік Қазақстан,сельская местность,,,23.7
2016,пайыз,Оңтүстік Қазақстан,сельская местность,,,33.7
2017,пайыз,Оңтүстік Қазақстан,сельская местность,,,32.1
2010,пайыз,Павлодар,сельская местность,,,43.3
2011,пайыз,Павлодар,сельская местность,,,51.8
2012,пайыз,Павлодар,сельская местность,,,39.1
2013,пайыз,Павлодар,сельская местность,,,44.0
2014,пайыз,Павлодар,сельская местность,,,38.6
2015,пайыз,Павлодар,сельская местность,,,31.6
2016,пайыз,Павлодар,сельская местность,,,37.6
2017,пайыз,Павлодар,сельская местность,,,30.4
2018,пайыз,Павлодар,сельская местность,,,40.7
2010,пайыз,Солтүстік Қазақстан,сельская местность,,,27.3
2011,пайыз,Солтүстік Қазақстан,сельская местность,,,34.7
2012,пайыз,Солтүстік Қазақстан,сельская местность,,,45.8
2013,пайыз,Солтүстік Қазақстан,сельская местность,,,23.9
2014,пайыз,Солтүстік Қазақстан,сельская местность,,,28.0
2015,пайыз,Солтүстік Қазақстан,сельская местность,,,32.9
2016,пайыз,Солтүстік Қазақстан,сельская местность,,,30.4
2017,пайыз,Солтүстік Қазақстан,сельская местность,,,24.3
2018,пайыз,Солтүстік Қазақстан,сельская местность,,,34.1
2018,пайыз,Түркістан,сельская местность,,,41.0
2010,пайыз,Шығыс Қазақстан,сельская местность,,,28.8
2011,пайыз,Шығыс Қазақстан,сельская местность,,,32.9
2012,пайыз,Шығыс Қазақстан,сельская местность,,,41.6
2013,пайыз,Шығыс Қазақстан,сельская местность,,,29.1
2014,пайыз,Шығыс Қазақстан,сельская местность,,,29.2
2015,пайыз,Шығыс Қазақстан,сельская местность,,,28.5
2016,пайыз,Шығыс Қазақстан,сельская местность,,,25.2
2017,пайыз,Шығыс Қазақстан,сельская местность,,,33.3
2018,пайыз,Шығыс Қазақстан,сельская местность,,,41.5
2010,пайыз,,,16-24,,41.5
2011,пайыз,,,16-24,,49.8
2012,пайыз,,,16-24,,58.5
2013,пайыз,,,16-24,,42.0
2014,пайыз,,,16-24,,29.6
2015,пайыз,,,16-24,,38.3
2016,пайыз,,,16-24,,37.9
2017,пайыз,,,16-24,,41.2
2018,пайыз,,,16-24,,45.2
2010,пайыз,,,25-28,,43.5
2011,пайыз,,,25-28,,44.1
2012,пайыз,,,25-28,,40.2
2013,пайыз,,,25-28,,41.6
2014,пайыз,,,25-28,,34.8
2015,пайыз,,,25-28,,36.7
2016,пайыз,,,25-28,,36.1
2017,пайыз,,,25-28,,35.0
2018,пайыз,,,25-28,,42.0
2010,пайыз,,,29-34,,32.8
2011,пайыз,,,29-34,,36.3
2012,пайыз,,,29-34,,39.0
2013,пайыз,,,29-34,,38.4
2014,пайыз,,,29-34,,33.2
2015,пайыз,,,29-34,,37.1
2016,пайыз,,,29-34,,35.6
2017,пайыз,,,29-34,,36.9
2018,пайыз,,,29-34,,37.2
2010,пайыз,,,35-44,,40.6
2011,пайыз,,,35-44,,39.3
2012,пайыз,,,35-44,,38.6
2013,пайыз,,,35-44,,39.3
2014,пайыз,,,35-44,,36.5
2015,пайыз,,,35-44,,35.9
2016,пайыз,,,35-44,,35.4
2017,пайыз,,,35-44,,37.0
2018,пайыз,,,35-44,,41.7
2010,пайыз,,,45-54,,35.8
2011,пайыз,,,45-54,,38.2
2012,пайыз,,,45-54,,39.2
2013,пайыз,,,45-54,,38.4
2014,пайыз,,,45-54,,38.3
2015,пайыз,,,45-54,,39.4
2016,пайыз,,,45-54,,41.5
2017,пайыз,,,45-54,,39.6
2018,пайыз,,,45-54,,44.5
2010,пайыз,,,55-64,,30.9
2011,пайыз,,,55-64,,29.4
2012,пайыз,,,55-64,,33.1
2013,пайыз,,,55-64,,30.0
2014,пайыз,,,55-64,,30.2
2015,пайыз,,,55-64,,34.3
2016,пайыз,,,55-64,,36.7
2017,пайыз,,,55-64,,31.4
2018,пайыз,,,55-64,,37.8
2010,пайыз,,,65 және одан үлкен,,51.0
2011,пайыз,,,65 және одан үлкен,,13.6
2012,пайыз,,,65 және одан үлкен,,25.0
2013,пайыз,,,65 және одан үлкен,,17.5
2014,пайыз,,,65 және одан үлкен,,16.0
2015,пайыз,,,65 және одан үлкен,,28.4
2016,пайыз,,,65 және одан үлкен,,29.8
2017,пайыз,,,65 және одан үлкен,,35.3
2018,пайыз,,,65 және одан үлкен,,32.7
2010,пайыз,Ақмола,,16-24,,44.0
2011,пайыз,Ақмола,,16-24,,53.2
2012,пайыз,Ақмола,,16-24,,28.2
2013,пайыз,Ақмола,,16-24,,69.1
2014,пайыз,Ақмола,,16-24,,25.6
2015,пайыз,Ақмола,,16-24,,45.5
2016,пайыз,Ақмола,,16-24,,45.0
2017,пайыз,Ақмола,,16-24,,49.3
2018,пайыз,Ақмола,,16-24,,38.3
2010,пайыз,Ақмола,,25-28,,22.2
2011,пайыз,Ақмола,,25-28,,40.9
2012,пайыз,Ақмола,,25-28,,31.2
2013,пайыз,Ақмола,,25-28,,61.2
2014,пайыз,Ақмола,,25-28,,26.6
2015,пайыз,Ақмола,,25-28,,15.1
2016,пайыз,Ақмола,,25-28,,15.8
2017,пайыз,Ақмола,,25-28,,22.6
2018,пайыз,Ақмола,,25-28,,44.1
2010,пайыз,Ақмола,,29-34,,45.3
2011,пайыз,Ақмола,,29-34,,51.6
2012,пайыз,Ақмола,,29-34,,53.5
2013,пайыз,Ақмола,,29-34,,64.4
2014,пайыз,Ақмола,,29-34,,32.1
2015,пайыз,Ақмола,,29-34,,30.7
