Year,Units,Аймақ,Өңірлер,GeoCode,Value
2013,шаршы метр,,Алматы,KZ01,17.1
2014,шаршы метр,,Алматы,KZ01,17.6
2015,шаршы метр,,Алматы,KZ01,18.1
2016,шаршы метр,,Алматы,KZ01,18.5
2017,шаршы метр,,Алматы,KZ01,18.9
2018,шаршы метр,,Алматы,KZ01,19.0
2010,шаршы метр,,Атырау,KZ06,16.5
2011,шаршы метр,,Атырау,KZ06,16.2
2012,шаршы метр,,Атырау,KZ06,19.6
2013,шаршы метр,,Атырау,KZ06,19.9
2014,шаршы метр,,Атырау,KZ06,20.0
2015,шаршы метр,,Атырау,KZ06,20.1
2016,шаршы метр,,Атырау,KZ06,20.6
2017,шаршы метр,,Атырау,KZ06,21.4
2018,шаршы метр,,Атырау,KZ06,21.8
2010,шаршы метр,,Батыс Қазақстан,KZ07,17.0
2011,шаршы метр,,Батыс Қазақстан,KZ07,17.4
2012,шаршы метр,,Батыс Қазақстан,KZ07,18.4
2013,шаршы метр,,Батыс Қазақстан,KZ07,19.1
2014,шаршы метр,,Батыс Қазақстан,KZ07,19.5
2015,шаршы метр,,Батыс Қазақстан,KZ07,19.8
2016,шаршы метр,,Батыс Қазақстан,KZ07,20.2
2017,шаршы метр,,Батыс Қазақстан,KZ07,20.6
2018,шаршы метр,,Батыс Қазақстан,KZ07,20.8
2010,шаршы метр,,Жамбыл,KZ17,15.7
2011,шаршы метр,,Жамбыл,KZ17,16.0
2012,шаршы метр,,Жамбыл,KZ17,15.7
2013,шаршы метр,,Жамбыл,KZ17,15.6
2014,шаршы метр,,Жамбыл,KZ17,15.9
2015,шаршы метр,,Жамбыл,KZ17,16.1
2016,шаршы метр,,Жамбыл,KZ17,16.3
2017,шаршы метр,,Жамбыл,KZ17,16.6
2018,шаршы метр,,Жамбыл,KZ17,16.8
2010,шаршы метр,,Қарағанды,KZ12,21.3
2011,шаршы метр,,Қарағанды,KZ12,21.3
2012,шаршы метр,,Қарағанды,KZ12,21.9
2013,шаршы метр,,Қарағанды,KZ12,22.4
2014,шаршы метр,,Қарағанды,KZ12,22.6
2015,шаршы метр,,Қарағанды,KZ12,22.7
2016,шаршы метр,,Қарағанды,KZ12,22.9
2017,шаршы метр,,Қарағанды,KZ12,23.0
2018,шаршы метр,,Қарағанды,KZ12,23.1
2010,шаршы метр,,Қостанай,KZ13,19.8
2011,шаршы метр,,Қостанай,KZ13,20.3
2012,шаршы метр,,Қостанай,KZ13,20.9
2013,шаршы метр,,Қостанай,KZ13,21.5
2014,шаршы метр,,Қостанай,KZ13,21.9
2015,шаршы метр,,Қостанай,KZ13,21.8
2016,шаршы метр,,Қостанай,KZ13,21.8
2017,шаршы метр,,Қостанай,KZ13,21.7
2018,шаршы метр,,Қостанай,KZ13,21.7
2010,шаршы метр,,Қызылорда,KZ14,17.2
2011,шаршы метр,,Қызылорда,KZ14,17.9
2012,шаршы метр,,Қызылорда,KZ14,19.1
2013,шаршы метр,,Қызылорда,KZ14,19.5
2014,шаршы метр,,Қызылорда,KZ14,19.1
2015,шаршы метр,,Қызылорда,KZ14,19.3
2016,шаршы метр,,Қызылорда,KZ14,19.6
2017,шаршы метр,,Қызылорда,KZ14,19.9
2018,шаршы метр,,Қызылорда,KZ14,20.2
2010,шаршы метр,,Маңғыстау,KZ09,16.0
2011,шаршы метр,,Маңғыстау,KZ09,16.5
2012,шаршы метр,,Маңғыстау,KZ09,17.5
2013,шаршы метр,,Маңғыстау,KZ09,20.1
2014,шаршы метр,,Маңғыстау,KZ09,20.9
2015,шаршы метр,,Маңғыстау,KZ09,21.8
2016,шаршы метр,,Маңғыстау,KZ09,22.4
2017,шаршы метр,,Маңғыстау,KZ09,23.3
2018,шаршы метр,,Маңғыстау,KZ09,23.9
2010,шаршы метр,,Оңтүстік Қазақстан,KZ10,17.7
2011,шаршы метр,,Оңтүстік Қазақстан,KZ10,17.6
2012,шаршы метр,,Оңтүстік Қазақстан,KZ10,19.1
2013,шаршы метр,,Оңтүстік Қазақстан,KZ10,20.7
2014,шаршы метр,,Оңтүстік Қазақстан,KZ10,20.3
2015,шаршы метр,,Оңтүстік Қазақстан,KZ10,18.9
2016,шаршы метр,,Оңтүстік Қазақстан,KZ10,19.4
2017,шаршы метр,,Оңтүстік Қазақстан,KZ10,19.7
2010,шаршы метр,,Павлодар,KZ11,20.9
2011,шаршы метр,,Павлодар,KZ11,21.4
2012,шаршы метр,,Павлодар,KZ11,21.6
2013,шаршы метр,,Павлодар,KZ11,22.6
2014,шаршы метр,,Павлодар,KZ11,22.8
2015,шаршы метр,,Павлодар,KZ11,21.9
2016,шаршы метр,,Павлодар,KZ11,21.9
2017,шаршы метр,,Павлодар,KZ11,22.0
2018,шаршы метр,,Павлодар,KZ11,22.1
2010,шаршы метр,,Солтүстік Қазақстан,KZ16,19.8
2011,шаршы метр,,Солтүстік Қазақстан,KZ16,19.9
2012,шаршы метр,,Солтүстік Қазақстан,KZ16,20.2
2013,шаршы метр,,Солтүстік Қазақстан,KZ16,20.7
2014,шаршы метр,,Солтүстік Қазақстан,KZ16,20.9
2015,шаршы метр,,Солтүстік Қазақстан,KZ16,20.8
2016,шаршы метр,,Солтүстік Қазақстан,KZ16,21.0
2017,шаршы метр,,Солтүстік Қазақстан,KZ16,21.0
2018,шаршы метр,,Солтүстік Қазақстан,KZ16,21.2
2018,шаршы метр,,Түркістан,KZ10,18.0
2010,шаршы метр,,Шығыс Қазақстан,KZ15,19.0
2011,шаршы метр,,Шығыс Қазақстан,KZ15,19.0
2012,шаршы метр,,Шығыс Қазақстан,KZ15,19.0
2013,шаршы метр,,Шығыс Қазақстан,KZ15,19.4
2014,шаршы метр,,Шығыс Қазақстан,KZ15,19.5
2015,шаршы метр,,Шығыс Қазақстан,KZ15,19.7
2016,шаршы метр,,Шығыс Қазақстан,KZ15,20.0
2017,шаршы метр,,Шығыс Қазақстан,KZ15,20.2
2018,шаршы метр,,Шығыс Қазақстан,KZ15,20.3
2010,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,22.5
2011,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,24.4
2012,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,25.4
2013,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,27.7
2014,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,28.5
2015,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,29.0
2016,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,29.6
2017,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,29.8
2018,шаршы метр,,Нұр-Сұлтан қаласы,KZ05,30.3
2010,шаршы метр,,Алматы қаласы,KZ02,20.3
2011,шаршы метр,,Алматы қаласы,KZ02,20.7
2012,шаршы метр,,Алматы қаласы,KZ02,24.4
2013,шаршы метр,,Алматы қаласы,KZ02,27.6
2014,шаршы метр,,Алматы қаласы,KZ02,26.7
2015,шаршы метр,,Алматы қаласы,KZ02,27.0
2016,шаршы метр,,Алматы қаласы,KZ02,27.6
2017,шаршы метр,,Алматы қаласы,KZ02,27.1
2018,шаршы метр,,Алматы қаласы,KZ02,27.3
2018,шаршы метр,,Шымкент қаласы,KZ18,24.7
2010,шаршы метр,қала,Ақмола,,21.1
2011,шаршы метр,қала,Ақмола,,21.1
2012,шаршы метр,қала,Ақмола,,22.0
2013,шаршы метр,қала,Ақмола,,22.4
2014,шаршы метр,қала,Ақмола,,22.7
2015,шаршы метр,қала,Ақмола,,22.9
2016,шаршы метр,қала,Ақмола,,23.5
2017,шаршы метр,қала,Ақмола,,23.8
2018,шаршы метр,қала,Ақмола,,24.0
2010,шаршы метр,қала,Ақтөбе,,18.9
2011,шаршы метр,қала,Ақтөбе,,20.2
2012,шаршы метр,қала,Ақтөбе,,21.2
2013,шаршы метр,қала,Ақтөбе,,22.9
2014,шаршы метр,қала,Ақтөбе,,23.7
2015,шаршы метр,қала,Ақтөбе,,24.3
2016,шаршы метр,қала,Ақтөбе,,24.6
2017,шаршы метр,қала,Ақтөбе,,24.6
2018,шаршы метр,қала,Ақтөбе,,25.1
2010,шаршы метр,қала,Алматы,,18.0
2011,шаршы метр,қала,Алматы,,18.5
2012,шаршы метр,қала,Алматы,,18.8
2013,шаршы метр,қала,Алматы,,19.8
2014,шаршы метр,қала,Алматы,,20.6
2015,шаршы метр,қала,Алматы,,21.1
2016,шаршы метр,қала,Алматы,,21.5
2017,шаршы метр,қала,Алматы,,21.8
2018,шаршы метр,қала,Алматы,,21.9
2010,шаршы метр,қала,Атырау,,17.8
2011,шаршы метр,қала,Атырау,,16.8
2012,шаршы метр,қала,Атырау,,22.1
2013,шаршы метр,қала,Атырау,,22.3
2014,шаршы метр,қала,Атырау,,22.4
2015,шаршы метр,қала,Атырау,,22.3
2016,шаршы метр,қала,Атырау,,23.2
2017,шаршы метр,қала,Атырау,,23.7
2018,шаршы метр,қала,Атырау,,24.0
2010,шаршы метр,қала,Батыс Қазақстан,,19.7
2011,шаршы метр,қала,Батыс Қазақстан,,20.1
2012,шаршы метр,қала,Батыс Қазақстан,,21.9
2013,шаршы метр,қала,Батыс Қазақстан,,23.1
2014,шаршы метр,қала,Батыс Қазақстан,,23.6
2015,шаршы метр,қала,Батыс Қазақстан,,23.7
2016,шаршы метр,қала,Батыс Қазақстан,,24.2
2017,шаршы метр,қала,Батыс Қазақстан,,24.8
2018,шаршы метр,қала,Батыс Қазақстан,,25.1
2010,шаршы метр,қала,Жамбыл,,17.5
2011,шаршы метр,қала,Жамбыл,,18.3
2012,шаршы метр,қала,Жамбыл,,18.0
2013,шаршы метр,қала,Жамбыл,,18.5
2014,шаршы метр,қала,Жамбыл,,18.6
2015,шаршы метр,қала,Жамбыл,,18.8
2016,шаршы метр,қала,Жамбыл,,19.0
2017,шаршы метр,қала,Жамбыл,,19.4
2018,шаршы метр,қала,Жамбыл,,19.6
2010,шаршы метр,қала,Қарағанды,,22.1
2011,шаршы метр,қала,Қарағанды,,22.0
2012,шаршы метр,қала,Қарағанды,,22.6
2013,шаршы метр,қала,Қарағанды,,23.2
2014,шаршы метр,қала,Қарағанды,,23.4
2015,шаршы метр,қала,Қарағанды,,23.5
2016,шаршы метр,қала,Қарағанды,,23.6
2017,шаршы метр,қала,Қарағанды,,23.8
2018,шаршы метр,қала,Қарағанды,,23.8
2010,шаршы метр,қала,Қостанай,,20.4
2011,шаршы метр,қала,Қостанай,,21.1
2012,шаршы метр,қала,Қостанай,,21.7
2013,шаршы метр,қала,Қостанай,,22.3
2014,шаршы метр,қала,Қостанай,,22.7
2015,шаршы метр,қала,Қостанай,,22.4
2016,шаршы метр,қала,Қостанай,,22.3
2017,шаршы метр,қала,Қостанай,,22.3
2018,шаршы метр,қала,Қостанай,,22.4
2010,шаршы метр,қала,Қызылорда,,18.0
2011,шаршы метр,қала,Қызылорда,,19.3
2012,шаршы метр,қала,Қызылорда,,21.0
2013,шаршы метр,қала,Қызылорда,,21.7
2014,шаршы метр,қала,Қызылорда,,20.4
2015,шаршы метр,қала,Қызылорда,,20.8
2016,шаршы метр,қала,Қызылорда,,21.1
2017,шаршы метр,қала,Қызылорда,,21.7
2018,шаршы метр,қала,Қызылорда,,22.0
2010,шаршы метр,қала,Маңғыстау,,17.1
2011,шаршы метр,қала,Маңғыстау,,17.2
2012,шаршы метр,қала,Маңғыстау,,18.0
2013,шаршы метр,қала,Маңғыстау,,19.9
2014,шаршы метр,қала,Маңғыстау,,20.4
2015,шаршы метр,қала,Маңғыстау,,21.4
2016,шаршы метр,қала,Маңғыстау,,22.1
2017,шаршы метр,қала,Маңғыстау,,23.2
2018,шаршы метр,қала,Маңғыстау,,23.9
2010,шаршы метр,қала,Оңтүстік Қазақстан,,19.6
2011,шаршы метр,қала,Оңтүстік Қазақстан,,19.7
2012,шаршы метр,қала,Оңтүстік Қазақстан,,22.6
2013,шаршы метр,қала,Оңтүстік Қазақстан,,25.1
2014,шаршы метр,қала,Оңтүстік Қазақстан,,25.5
2015,шаршы метр,қала,Оңтүстік Қазақстан,,21.7
2016,шаршы метр,қала,Оңтүстік Қазақстан,,22.7
2017,шаршы метр,қала,Оңтүстік Қазақстан,,23.2
2010,шаршы метр,қала,Павлодар,,22.0
2011,шаршы метр,қала,Павлодар,,22.4
2012,шаршы метр,қала,Павлодар,,22.5
2013,шаршы метр,қала,Павлодар,,23.5
2014,шаршы метр,қала,Павлодар,,23.7
2015,шаршы метр,қала,Павлодар,,22.6
2016,шаршы метр,қала,Павлодар,,22.4
2017,шаршы метр,қала,Павлодар,,22.4
2018,шаршы метр,қала,Павлодар,,22.5
2010,шаршы метр,қала,Солтүстік Қазақстан,,20.9
2011,шаршы метр,қала,Солтүстік Қазақстан,,21.2
2012,шаршы метр,қала,Солтүстік Қазақстан,,21.7
2013,шаршы метр,қала,Солтүстік Қазақстан,,22.3
2014,шаршы метр,қала,Солтүстік Қазақстан,,22.3
2015,шаршы метр,қала,Солтүстік Қазақстан,,21.9
2016,шаршы метр,қала,Солтүстік Қазақстан,,22.0
2017,шаршы метр,қала,Солтүстік Қазақстан,,21.7
2018,шаршы метр,қала,Солтүстік Қазақстан,,21.7
2018,шаршы метр,қала,Түркістан,,21.5
2010,шаршы метр,қала,Шығыс Қазақстан,,20.7
2011,шаршы метр,қала,Шығыс Қазақстан,,20.7
2012,шаршы метр,қала,Шығыс Қазақстан,,20.9
2013,шаршы метр,қала,Шығыс Қазақстан,,21.4
2014,шаршы метр,қала,Шығыс Қазақстан,,21.5
2015,шаршы метр,қала,Шығыс Қазақстан,,21.5
2016,шаршы метр,қала,Шығыс Қазақстан,,22.0
2017,шаршы метр,қала,Шығыс Қазақстан,,22.2
2018,шаршы метр,қала,Шығыс Қазақстан,,22.3
2010,шаршы метр,қала,Нұр-Сұлтан қаласы,,22.5
2011,шаршы метр,қала,Нұр-Сұлтан қаласы,,24.4
2012,шаршы метр,қала,Нұр-Сұлтан қаласы,,25.4
2013,шаршы метр,қала,Нұр-Сұлтан қаласы,,27.7
2014,шаршы метр,қала,Нұр-Сұлтан қаласы,,28.5
2015,шаршы метр,қала,Нұр-Сұлтан қаласы,,29.0
2016,шаршы метр,қала,Нұр-Сұлтан қаласы,,29.6
2017,шаршы метр,қала,Нұр-Сұлтан қаласы,,29.8
2018,шаршы метр,қала,Нұр-Сұлтан қаласы,,30.3
2010,шаршы метр,қала,Алматы қаласы,,20.3
2011,шаршы метр,қала,Алматы қаласы,,20.7
2012,шаршы метр,қала,Алматы қаласы,,24.4
2013,шаршы метр,қала,Алматы қаласы,,27.6
2014,шаршы метр,қала,Алматы қаласы,,26.7
2015,шаршы метр,қала,Алматы қаласы,,27.0
2016,шаршы метр,қала,Алматы қаласы,,27.6
2017,шаршы метр,қала,Алматы қаласы,,27.1
2018,шаршы метр,қала,Алматы қаласы,,27.3
2018,шаршы метр,қала,Шымкент қаласы,,24.7
2010,шаршы метр,ауыл,Ақмола,,18.3
2011,шаршы метр,ауыл,Ақмола,,18.5
2012,шаршы метр,ауыл,Ақмола,,18.8
2013,шаршы метр,ауыл,Ақмола,,20.6
2014,шаршы метр,ауыл,Ақмола,,20.7
2015,шаршы метр,ауыл,Ақмола,,20.5
2016,шаршы метр,ауыл,Ақмола,,20.5
2017,шаршы метр,ауыл,Ақмола,,20.6
2018,шаршы метр,ауыл,Ақмола,,20.8
2010,шаршы метр,ауыл,Ақтөбе,,14.8
2011,шаршы метр,ауыл,Ақтөбе,,15.3
2012,шаршы метр,ауыл,Ақтөбе,,15.2
2013,шаршы метр,ауыл,Ақтөбе,,16.2
2014,шаршы метр,ауыл,Ақтөбе,,16.6
2015,шаршы метр,ауыл,Ақтөбе,,17.1
2016,шаршы метр,ауыл,Ақтөбе,,17.5
2017,шаршы метр,ауыл,Ақтөбе,,16.5
2018,шаршы метр,ауыл,Ақтөбе,,16.7
2010,шаршы метр,ауыл,Алматы,,15.0
2011,шаршы метр,ауыл,Алматы,,15.1
2012,шаршы метр,ауыл,Алматы,,15.3
2013,шаршы метр,ауыл,Алматы,,16.2
2014,шаршы метр,ауыл,Алматы,,16.7
2015,шаршы метр,ауыл,Алматы,,17.2
2016,шаршы метр,ауыл,Алматы,,17.6
2017,шаршы метр,ауыл,Алматы,,18.0
2018,шаршы метр,ауыл,Алматы,,18.1
2010,шаршы метр,ауыл,Атырау,,15.1
2011,шаршы метр,ауыл,Атырау,,15.5
2012,шаршы метр,ауыл,Атырау,,16.7
2013,шаршы метр,ауыл,Атырау,,17.3
2014,шаршы метр,ауыл,Атырау,,17.5
2015,шаршы метр,ауыл,Атырау,,17.8
2016,шаршы метр,ауыл,Атырау,,18.0
2017,шаршы метр,ауыл,Атырау,,19.0
2018,шаршы метр,ауыл,Атырау,,19.4
2010,шаршы метр,ауыл,Батыс Қазақстан,,14.7
2011,шаршы метр,ауыл,Батыс Қазақстан,,15.0
2012,шаршы метр,ауыл,Батыс Қазақстан,,15.4
2013,шаршы метр,ауыл,Батыс Қазақстан,,15.5
2014,шаршы метр,ауыл,Батыс Қазақстан,,15.7
2015,шаршы метр,ауыл,Батыс Қазақстан,,16.1
2016,шаршы метр,ауыл,Батыс Қазақстан,,16.4
2017,шаршы метр,ауыл,Батыс Қазақстан,,16.6
2018,шаршы метр,ауыл,Батыс Қазақстан,,16.8
2010,шаршы метр,ауыл,Жамбыл,,14.4
2011,шаршы метр,ауыл,Жамбыл,,14.3
2012,шаршы метр,ауыл,Жамбыл,,14.0
2013,шаршы метр,ауыл,Жамбыл,,13.6
2014,шаршы метр,ауыл,Жамбыл,,14.0
2015,шаршы метр,ауыл,Жамбыл,,14.3
2016,шаршы метр,ауыл,Жамбыл,,14.5
2017,шаршы метр,ауыл,Жамбыл,,14.7
2018,шаршы метр,ауыл,Жамбыл,,14.9
2010,шаршы метр,ауыл,Қарағанды,,18.8
2011,шаршы метр,ауыл,Қарағанды,,19.2
2012,шаршы метр,ауыл,Қарағанды,,19.5
2013,шаршы метр,ауыл,Қарағанды,,19.7
2014,шаршы метр,ауыл,Қарағанды,,20.1
2015,шаршы метр,ауыл,Қарағанды,,20.0
2016,шаршы метр,ауыл,Қарағанды,,20.2
2017,шаршы метр,ауыл,Қарағанды,,20.4
2018,шаршы метр,ауыл,Қарағанды,,20.5
2010,шаршы метр,ауыл,Қостанай,,19.2
2011,шаршы метр,ауыл,Қостанай,,19.5
2012,шаршы метр,ауыл,Қостанай,,20.1
2013,шаршы метр,ауыл,Қостанай,,20.6
2014,шаршы метр,ауыл,Қостанай,,21.0
2015,шаршы метр,ауыл,Қостанай,,21.1
2016,шаршы метр,ауыл,Қостанай,,21.2
2017,шаршы метр,ауыл,Қостанай,,20.9
2018,шаршы метр,ауыл,Қостанай,,20.8
2010,шаршы метр,ауыл,Қызылорда,,16.7
2011,шаршы метр,ауыл,Қызылорда,,17.0
2012,шаршы метр,ауыл,Қызылорда,,18.0
2013,шаршы метр,ауыл,Қызылорда,,18.0
2014,шаршы метр,ауыл,Қызылорда,,18.0
2015,шаршы метр,ауыл,Қызылорда,,18.1
2016,шаршы метр,ауыл,Қызылорда,,18.4
2017,шаршы метр,ауыл,Қызылорда,,18.4
2018,шаршы метр,ауыл,Қызылорда,,18.7
2010,шаршы метр,ауыл,Маңғыстау,,14.0
2011,шаршы метр,ауыл,Маңғыстау,,15.6
2012,шаршы метр,ауыл,Маңғыстау,,16.9
2013,шаршы метр,ауыл,Маңғыстау,,20.3
2014,шаршы метр,ауыл,Маңғыстау,,21.3
2015,шаршы метр,ауыл,Маңғыстау,,22.2
2016,шаршы метр,ауыл,Маңғыстау,,22.7
2017,шаршы метр,ауыл,Маңғыстау,,23.3
2018,шаршы метр,ауыл,Маңғыстау,,23.9
2010,шаршы метр,ауыл,Оңтүстік Қазақстан,,16.6
2011,шаршы метр,ауыл,Оңтүстік Қазақстан,,16.3
2012,шаршы метр,ауыл,Оңтүстік Қазақстан,,16.7
2013,шаршы метр,ауыл,Оңтүстік Қазақстан,,17.1
2014,шаршы метр,ауыл,Оңтүстік Қазақстан,,16.9
2015,шаршы метр,ауыл,Оңтүстік Қазақстан,,16.7
2016,шаршы метр,ауыл,Оңтүстік Қазақстан,,16.7
2017,шаршы метр,ауыл,Оңтүстік Қазақстан,,17.0
2010,шаршы метр,ауыл,Павлодар,,18.9
2011,шаршы метр,ауыл,Павлодар,,19.6
2012,шаршы метр,ауыл,Павлодар,,19.7
2013,шаршы метр,ауыл,Павлодар,,20.7
2014,шаршы метр,ауыл,Павлодар,,20.9
2015,шаршы метр,ауыл,Павлодар,,20.4
2016,шаршы метр,ауыл,Павлодар,,20.7
2017,шаршы метр,ауыл,Павлодар,,20.9
2018,шаршы метр,ауыл,Павлодар,,21.0
2010,шаршы метр,ауыл,Солтүстік Қазақстан,,19.1
2011,шаршы метр,ауыл,Солтүстік Қазақстан,,19.1
2012,шаршы метр,ауыл,Солтүстік Қазақстан,,19.1
2013,шаршы метр,ауыл,Солтүстік Қазақстан,,19.6
2014,шаршы метр,ауыл,Солтүстік Қазақстан,,19.9
2015,шаршы метр,ауыл,Солтүстік Қазақстан,,20.0
2016,шаршы метр,ауыл,Солтүстік Қазақстан,,20.2
2017,шаршы метр,ауыл,Солтүстік Қазақстан,,20.5
2018,шаршы метр,ауыл,Солтүстік Қазақстан,,20.7
2018,шаршы метр,ауыл,Түркістан,,17.1
2010,шаршы метр,ауыл,Шығыс Қазақстан,,16.9
2011,шаршы метр,ауыл,Шығыс Қазақстан,,16.7
2012,шаршы метр,ауыл,Шығыс Қазақстан,,16.5
2013,шаршы метр,ауыл,Шығыс Қазақстан,,16.9
2014,шаршы метр,ауыл,Шығыс Қазақстан,,17.0
2015,шаршы метр,ауыл,Шығыс Қазақстан,,17.0
2016,шаршы метр,ауыл,Шығыс Қазақстан,,17.1
2017,шаршы метр,ауыл,Шығыс Қазақстан,,17.3
2018,шаршы метр,ауыл,Шығыс Қазақстан,,17.4
2010,пайыз,,,,48.0
2011,пайыз,,,,54.0
2012,пайыз,,,,65.0
2013,пайыз,,,,79.0
2014,пайыз,,,,91.0
2015,пайыз,,,,98.0
2016,пайыз,,,,100.0
2017,пайыз,,,,100.0
2018,пайыз,,,,100.0
