Year,Units,Жынысы,Өңірлер,Аймақ,Білім беру,Отбасылық жағдайы,азаматтығы,GeoCode,Value
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,4.98
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,,,,,,3.98
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,11.09
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,9.55
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,8.72
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,9.28
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,6.46
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,6.44
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,4.66
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,4.04
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,,,,,,3.28
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,9.55
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,6.59
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,6.9
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,6.32
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,5.54
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,5.14
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,5.09
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,4.71
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,,,,,,4.88
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,9.27
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,7.77
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,9.69
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,6.68
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,7.44
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,6.89
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,5.37
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,7.07
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,,,,,,6.19
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,15.38
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,11.83
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,13.01
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,8.59
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,6.98
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,6.15
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,6.08
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,3.95
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,,,,,,4.95
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,13.87
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,12.63
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,9.08
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,6.33
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,4.82
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,4.61
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,5.61
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,5.06
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,,,,,,5.53
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,12.79
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,10.23
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,9.58
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,7.95
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,6.55
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,6.38
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,5.93
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,,,,,,5.05
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,9.26
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,8.83
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,6.53
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,4.35
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,4.52
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,4.38
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,4.36
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,4.82
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,,,,,,3.46
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,8.71
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,7.04
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,7.11
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,5.96
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,5.11
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,3.44
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,5.33
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,5.41
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,,,,,,6.12
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,,,,,,4.14
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,15.78
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,13.48
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,12.66
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,9.33
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,7.76
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,6.38
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,5.85
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,4.6
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,,,,,,4.94
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,7.32
2011,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,7.05
2012,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,6.99
2013,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,5.34
2014,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,4.03
2015,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,4.52
2016,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,3.63
2017,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,3.43
2018,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,,,,,,3.43
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,13.9
2011,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,13.97
2012,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,9.76
2013,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,7.91
2014,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,6.03
2015,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,6.26
2016,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,5.2
2017,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,4.26
2018,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,,,,,,5.74
2018,1000 туылғанға,ұлдар және қыздар,Шымкент қаласы,,,,,,4.74
2010,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,12.35
2011,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,10.99
2012,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,9.52
2013,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,7.62
2014,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,6.37
2015,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,6.23
2016,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,5.31
2017,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,4.49
2018,1000 туылғанға,ұлдар және қыздар,,городское население,,,,,4.89
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,10.19
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,11.19
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,8.48
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,9.51
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,5.47
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,5.63
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,4.46
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,3.35
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,городское население,,,,,4.5
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,12.73
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,6.89
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,10.82
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,7.52
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,6.7
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,6.03
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,6.09
2017,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,4.0
2018,1000 туылғанға,ұлдар және қыздар,Ақтөбе,городское население,,,,,5.45
2010,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,11.72
2011,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,10.24
2012,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,8.55
2013,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,6.85
2014,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,4.83
2015,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,5.48
2016,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,5.4
2017,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,4.16
2018,1000 туылғанға,ұлдар және қыздар,Алматы,городское население,,,,,4.0
2010,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,10.26
2011,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,11.32
2012,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,12.26
2013,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,6.31
2014,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,5.03
2015,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,5.0
2016,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,4.62
2017,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,4.25
2018,1000 туылғанға,ұлдар және қыздар,Атырау,городское население,,,,,5.51
2010,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,9.72
2011,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,7.76
2012,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,5.98
2013,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,5.43
2014,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,6.69
2015,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,6.16
2016,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,5.25
2017,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,5.55
2018,1000 туылғанға,ұлдар және қыздар,Батыс Қазақстан,городское население,,,,,3.81
2010,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,12.21
2011,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,12.13
2012,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,8.97
2013,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,13.87
2014,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,10.76
2015,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,10.49
2016,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,7.25
2017,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,5.61
2018,1000 туылғанға,ұлдар және қыздар,Жамбыл,городское население,,,,,3.93
2010,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,9.92
2011,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,6.49
2012,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,7.28
2013,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,6.27
2014,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,5.16
2015,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,5.48
2016,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,5.29
2017,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,4.9
2018,1000 туылғанға,ұлдар және қыздар,Қарағанды,городское население,,,,,5.21
2010,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,8.65
2011,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,8.8
2012,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,10.66
2013,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,6.89
2014,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,7.61
2015,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,8.25
2016,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,5.27
2017,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,6.63
2018,1000 туылғанға,ұлдар және қыздар,Қостанай,городское население,,,,,6.3
2010,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,16.24
2011,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,12.02
2012,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,12.39
2013,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,8.97
2014,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,8.18
2015,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,8.23
2016,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,8.44
2017,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,3.98
2018,1000 туылғанға,ұлдар және қыздар,Қызылорда,городское население,,,,,6.47
2010,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,15.19
2011,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,14.07
2012,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,7.94
2013,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,6.06
2014,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,5.54
2015,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,4.54
2016,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,5.71
2017,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,3.83
2018,1000 туылғанға,ұлдар және қыздар,Маңғыстау,городское население,,,,,5.69
2010,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,15.83
2011,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,15.29
2012,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,11.06
2013,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,8.91
2014,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,7.49
2015,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,6.79
2016,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,5.33
2017,1000 туылғанға,ұлдар және қыздар,Оңтүстік Қазақстан,городское население,,,,,5.01
2010,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,9.69
2011,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,8.09
2012,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,6.69
2013,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,4.03
2014,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,4.23
2015,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,4.58
2016,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,4.2
2017,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,5.49
2018,1000 туылғанға,ұлдар және қыздар,Павлодар,городское население,,,,,4.09
2010,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,8.31
2011,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,6.31
2012,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,7.66
2013,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,7.27
2014,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,4.64
2015,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,4.12
2016,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,4.24
2017,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,5.06
2018,1000 туылғанға,ұлдар және қыздар,Солтүстік Қазақстан,городское население,,,,,7.01
2018,1000 туылғанға,ұлдар және қыздар,Түркістан,городское население,,,,,4.08
2010,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,15.74
2011,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,13.37
2012,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,13.54
2013,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,9.24
2014,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,8.81
2015,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,7.53
2016,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,6.07
2017,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,4.17
2018,1000 туылғанға,ұлдар және қыздар,Шығыс Қазақстан,городское население,,,,,5.63
2010,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,7.32
2011,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,7.05
2012,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,6.99
2013,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,5.34
2014,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,4.03
2015,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,4.52
2016,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,3.63
2017,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,3.43
2018,1000 туылғанға,ұлдар және қыздар,Нұр-Сұлтан қаласы,городское население,,,,,3.43
2010,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,13.9
2011,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,13.97
2012,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,9.76
2013,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,7.91
2014,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,6.03
2015,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,6.26
2016,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,5.2
2017,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,4.26
2018,1000 туылғанға,ұлдар және қыздар,Алматы қаласы,городское население,,,,,5.74
2018,1000 туылғанға,ұлдар және қыздар,Шымкент қаласы,городское население,,,,,4.74
2010,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,10.61
2011,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,8.45
2012,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,8.45
2013,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,6.56
2014,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,5.28
2015,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,4.84
2016,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,4.94
2017,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,4.79
2018,1000 туылғанға,ұлдар және қыздар,,сельское население,,,,,4.13
2010,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,9.04
2011,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,8.74
2012,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,5.25
2013,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,6.53
2014,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,5.79
2015,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,2.6
2016,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,3.29
2017,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,4.35
2018,1000 туылғанға,ұлдар және қыздар,Ақмола,сельское население,,,,,2.17
2010,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,11.1
2011,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,7.73
2012,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,4.93
2013,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,7.35
2014,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,3.98
2015,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,6.17
2016,1000 туылғанға,ұлдар және қыздар,Ақтөбе,сельское население,,,,,4.37
