Year,Units,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,Жынысы,Өңірлер,Value
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Оңтүстік Қазақстан,42.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Оңтүстік Қазақстан,48.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Павлодар,70.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Павлодар,79.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Солтүстік Қазақстан,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Солтүстік Қазақстан,78.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Шығыс Қазақстан,57.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Шығыс Қазақстан,63.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Нұр-Сұлтан қаласы,82.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Нұр-Сұлтан қаласы,85.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Алматы қаласы,64.0
2015,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Алматы қаласы,78.0
2015,пайыз,ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,,,99.977
2015,пайыз,ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,ұлдар,,99.977
2015,пайыз,ii) жынысы бойынша бөлінісінде есептеу машығына ие (3 сынып) Математика,қыздар,,99.977
2015,пайыз,iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,,,99.973
2015,пайыз,iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,ұлдар,,99.978
2015,пайыз,iii) жынысы бойынша бөлінісінде есептеу машығына ие (2 сынып) Математика,қыздар,,99.96799999999999
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,,,96.5
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,,96.5
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,,96.5
2015,пайыз,есептеу машығы,,,67.8
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,,68.5
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,,67.2
2015,пайыз,есептеу машығы,ұлдар,Ақмола,62.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Ақмола,57.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Ақтөбе,59.0
2015,пайыз,есептеу машығы,қыздар,Ақтөбе,65.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Алматы,77.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Алматы,76.0
2015,пайыз,есептеу машығы,ұлдар,Атырау,38.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Атырау,51.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Батыс Қазақстан,80.0
2015,пайыз,есептеу машығы,қыздар,Батыс Қазақстан,74.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Жамбыл,79.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Жамбыл,83.0
2015,пайыз,есептеу машығы,ұлдар,Қарағанды,75.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Қарағанды,71.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Қостанай,57.0
2015,пайыз,есептеу машығы,қыздар,Қостанай,58.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Қызылорда,76.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Қызылорда,77.0
2015,пайыз,есептеу машығы,ұлдар,Маңғыстау,60.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Маңғыстау,62.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Оңтүстік Қазақстан,56.0
2015,пайыз,есептеу машығы,қыздар,Оңтүстік Қазақстан,57.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Павлодар,69.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Павлодар,64.0
2015,пайыз,есептеу машығы,ұлдар,Солтүстік Қазақстан,65.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Солтүстік Қазақстан,70.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Шығыс Қазақстан,72.0
2015,пайыз,есептеу машығы,қыздар,Шығыс Қазақстан,72.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Нұр-Сұлтан қаласы,85.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Нұр-Сұлтан қаласы,82.0
2015,пайыз,есептеу машығы,ұлдар,Алматы қаласы,66.0
2015,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Алматы қаласы,75.0
2015,пайыз,есептеу машығы,,,90.8
2015,пайыз,есептеу машығы,ұлдар,,91.9
2015,пайыз,есептеу машығы,қыздар,,89.7
2015,пайыз,есептеу машығы,ұлдар,Ақмола,89.36
2015,пайыз,есептеу машығы,қыздар,Ақмола,90.76
2015,пайыз,есептеу машығы,ұлдар,Ақтөбе,90.81
2015,пайыз,есептеу машығы,қыздар,Ақтөбе,89.19
2015,пайыз,есептеу машығы,ұлдар,Алматы,85.36
2015,пайыз,есептеу машығы,қыздар,Алматы,87.63
2015,пайыз,есептеу машығы,ұлдар,Атырау,70.78
2015,пайыз,есептеу машығы,қыздар,Атырау,78.48
2015,пайыз,есептеу машығы,ұлдар,Батыс Қазақстан,97.04
2015,пайыз,есептеу машығы,қыздар,Батыс Қазақстан,97.91
2015,пайыз,есептеу машығы,ұлдар,Жамбыл,94.57
2015,пайыз,есептеу машығы,қыздар,Жамбыл,97.43
2015,пайыз,есептеу машығы,ұлдар,Қарағанды,93.69
2015,пайыз,есептеу машығы,қыздар,Қарағанды,93.33
2015,пайыз,есептеу машығы,ұлдар,Қостанай,82.12
2015,пайыз,есептеу машығы,қыздар,Қостанай,89.48
2015,пайыз,есептеу машығы,ұлдар,Қызылорда,98.02
2015,пайыз,есептеу машығы,қыздар,Қызылорда,98.78
2015,пайыз,есептеу машығы,ұлдар,Маңғыстау,82.36
2015,пайыз,есептеу машығы,қыздар,Маңғыстау,88.87
2015,пайыз,есептеу машығы,ұлдар,Оңтүстік Қазақстан,85.74
2015,пайыз,есептеу машығы,қыздар,Оңтүстік Қазақстан,88.95
2015,пайыз,есептеу машығы,ұлдар,Павлодар,91.1
2015,пайыз,есептеу машығы,қыздар,Павлодар,93.79
2015,пайыз,есептеу машығы,ұлдар,Солтүстік Қазақстан,93.04
2015,пайыз,есептеу машығы,қыздар,Солтүстік Қазақстан,94.69
2015,пайыз,есептеу машығы,ұлдар,Шығыс Қазақстан,98.99
2015,пайыз,есептеу машығы,қыздар,Шығыс Қазақстан,99.4
2015,пайыз,есептеу машығы,ұлдар,Нұр-Сұлтан қаласы,85.04
2015,пайыз,есептеу машығы,қыздар,Нұр-Сұлтан қаласы,95.37
2015,пайыз,есептеу машығы,ұлдар,Алматы қаласы,97.17
2015,пайыз,есептеу машығы,қыздар,Алматы қаласы,92.92
2016,пайыз,есептеу машығы,,,98.0
2016,пайыз,есептеу машығы,ұлдар,,98.0
2016,пайыз,есептеу машығы,қыздар,,98.0
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,,,35.8
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,,29.34
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,,42.66
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Ақмола,37.25
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Ақмола,48.81
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Ақтөбе,22.52
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Ақтөбе,42.35
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Алматы,15.42
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Алматы,30.1
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Атырау,9.88
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Атырау,23.02
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Батыс Қазақстан,23.66
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Батыс Қазақстан,38.99
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Жамбыл,20.86
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Жамбыл,28.49
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Қарағанды,45.62
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Қарағанды,61.58
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Қостанай,47.43
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Қостанай,60.8
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Қызылорда,15.91
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Қызылорда,28.81
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Маңғыстау,15.74
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Маңғыстау,28.06
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Оңтүстік Қазақстан,18.02
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Оңтүстік Қазақстан,32.52
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Павлодар,38.13
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Павлодар,42.06
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Солтүстік Қазақстан,45.38
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Солтүстік Қазақстан,59.7
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Шығыс Қазақстан,37.05
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Шығыс Қазақстан,55.91
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Нұр-Сұлтан қаласы,53.4
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Нұр-Сұлтан қаласы,60.67
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,ұлдар,Алматы қаласы,48.11
2018,пайыз,i) жынысы бойынша бөлінісінде сауаттылық,қыздар,Алматы қаласы,61.21
2018,пайыз,есептеу машығы,,,50.9
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,,50.9
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,,51.0
2018,пайыз,есептеу машығы,ұлдар,Ақмола,47.5
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Ақмола,44.1
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Ақтөбе,49.4
2018,пайыз,есептеу машығы,қыздар,Ақтөбе,52.0
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Алматы,40.0
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Алматы,38.6
2018,пайыз,есептеу машығы,ұлдар,Атырау,28.9
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Атырау,33.3
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Батыс Қазақстан,47.0
2018,пайыз,есептеу машығы,қыздар,Батыс Қазақстан,50.3
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Жамбыл,68.6
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Жамбыл,68.3
2018,пайыз,есептеу машығы,ұлдар,Қарағанды,61.6
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Қарағанды,58.1
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Қостанай,64.4
2018,пайыз,есептеу машығы,қыздар,Қостанай,62.8
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Қызылорда,47.7
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Қызылорда,53.3
2018,пайыз,есептеу машығы,ұлдар,Маңғыстау,32.9
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Маңғыстау,37.2
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Оңтүстік Қазақстан,40.4
2018,пайыз,есептеу машығы,қыздар,Оңтүстік Қазақстан,40.6
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Павлодар,61.9
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Павлодар,54.8
2018,пайыз,есептеу машығы,ұлдар,Солтүстік Қазақстан,56.4
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Солтүстік Қазақстан,53.4
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Шығыс Қазақстан,55.6
2018,пайыз,есептеу машығы,қыздар,Шығыс Қазақстан,60.7
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,ұлдар,Нұр-Сұлтан қаласы,65.2
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Нұр-Сұлтан қаласы,59.8
2018,пайыз,есептеу машығы,ұлдар,Алматы қаласы,62.1
2018,пайыз,Есептеу машығына ие орта мектеп бітіруші балалар мен жастар үлесі,қыздар,Алматы қаласы,60.9
