Year,Units,Өңірлер,Жынысы,GeoCode,Value
2012,пайыз,Алматы,ерлер,,16.07
2013,пайыз,Алматы,ерлер,,16.68
2014,пайыз,Алматы,ерлер,,15.16
2015,пайыз,Алматы,ерлер,,15.45
2016,пайыз,Алматы,ерлер,,16.84
2017,пайыз,Алматы,ерлер,,20.6
2018,пайыз,Алматы,ерлер,,19.32
2012,пайыз,Атырау,ерлер,,4.83
2013,пайыз,Атырау,ерлер,,4.68
2014,пайыз,Атырау,ерлер,,4.71
2015,пайыз,Атырау,ерлер,,4.44
2016,пайыз,Атырау,ерлер,,4.48
2017,пайыз,Атырау,ерлер,,4.45
2018,пайыз,Атырау,ерлер,,4.48
2012,пайыз,Батыс Қазақстан,ерлер,,12.48
2013,пайыз,Батыс Қазақстан,ерлер,,14.7
2014,пайыз,Батыс Қазақстан,ерлер,,14.58
2015,пайыз,Батыс Қазақстан,ерлер,,14.56
2016,пайыз,Батыс Қазақстан,ерлер,,14.67
2017,пайыз,Батыс Қазақстан,ерлер,,15.77
2018,пайыз,Батыс Қазақстан,ерлер,,14.86
2012,пайыз,Жамбыл,ерлер,,6.08
2013,пайыз,Жамбыл,ерлер,,5.36
2014,пайыз,Жамбыл,ерлер,,7.72
2015,пайыз,Жамбыл,ерлер,,5.48
2016,пайыз,Жамбыл,ерлер,,5.63
2017,пайыз,Жамбыл,ерлер,,6.71
2018,пайыз,Жамбыл,ерлер,,7.02
2012,пайыз,Қарағанды,ерлер,,9.56
2013,пайыз,Қарағанды,ерлер,,9.55
2014,пайыз,Қарағанды,ерлер,,9.83
2015,пайыз,Қарағанды,ерлер,,9.82
2016,пайыз,Қарағанды,ерлер,,9.84
2017,пайыз,Қарағанды,ерлер,,10.02
2018,пайыз,Қарағанды,ерлер,,10.1
2012,пайыз,Қостанай,ерлер,,12.13
2013,пайыз,Қостанай,ерлер,,12.08
2014,пайыз,Қостанай,ерлер,,12.08
2015,пайыз,Қостанай,ерлер,,11.98
2016,пайыз,Қостанай,ерлер,,12.0
2017,пайыз,Қостанай,ерлер,,11.95
2018,пайыз,Қостанай,ерлер,,11.32
2012,пайыз,Қызылорда,ерлер,,5.82
2013,пайыз,Қызылорда,ерлер,,5.84
2014,пайыз,Қызылорда,ерлер,,5.85
2015,пайыз,Қызылорда,ерлер,,5.87
2016,пайыз,Қызылорда,ерлер,,5.96
2017,пайыз,Қызылорда,ерлер,,6.27
2018,пайыз,Қызылорда,ерлер,,6.33
2012,пайыз,Маңғыстау,ерлер,,2.4
2013,пайыз,Маңғыстау,ерлер,,2.53
2014,пайыз,Маңғыстау,ерлер,,2.51
2015,пайыз,Маңғыстау,ерлер,,2.52
2016,пайыз,Маңғыстау,ерлер,,2.55
2017,пайыз,Маңғыстау,ерлер,,1.68
2018,пайыз,Маңғыстау,ерлер,,1.65
2012,пайыз,Түркістан,ерлер,,12.01
2013,пайыз,Түркістан,ерлер,,11.79
2014,пайыз,Түркістан,ерлер,,12.2
2015,пайыз,Түркістан,ерлер,,12.38
2016,пайыз,Түркістан,ерлер,,11.77
2017,пайыз,Түркістан,ерлер,,11.62
2018,пайыз,Түркістан,ерлер,,30.12
2012,пайыз,Павлодар,ерлер,,16.39
2013,пайыз,Павлодар,ерлер,,15.88
2014,пайыз,Павлодар,ерлер,,22.25
2015,пайыз,Павлодар,ерлер,,22.3
2016,пайыз,Павлодар,ерлер,,22.35
2017,пайыз,Павлодар,ерлер,,22.34
2018,пайыз,Павлодар,ерлер,,29.36
2012,пайыз,Солтүстік Қазақстан,ерлер,,10.84
2013,пайыз,Солтүстік Қазақстан,ерлер,,11.03
2014,пайыз,Солтүстік Қазақстан,ерлер,,11.12
2015,пайыз,Солтүстік Қазақстан,ерлер,,11.08
2016,пайыз,Солтүстік Қазақстан,ерлер,,7.11
2017,пайыз,Солтүстік Қазақстан,ерлер,,14.88
2018,пайыз,Солтүстік Қазақстан,ерлер,,5.17
2012,пайыз,Шығыс Қазақстан,ерлер,,9.2
2013,пайыз,Шығыс Қазақстан,ерлер,,9.09
2014,пайыз,Шығыс Қазақстан,ерлер,,11.93
2015,пайыз,Шығыс Қазақстан,ерлер,,8.92
2016,пайыз,Шығыс Қазақстан,ерлер,,9.28
2017,пайыз,Шығыс Қазақстан,ерлер,,15.04
2018,пайыз,Шығыс Қазақстан,ерлер,,13.19
2012,пайыз,,әйелдер,,3.51
2013,пайыз,,әйелдер,,3.69
2014,пайыз,,әйелдер,,3.43
2015,пайыз,,әйелдер,,3.4
2016,пайыз,,әйелдер,,3.04
2017,пайыз,,әйелдер,,2.63
2018,пайыз,,әйелдер,,2.61
2012,пайыз,Ақмола,әйелдер,,4.95
2013,пайыз,Ақмола,әйелдер,,4.93
2014,пайыз,Ақмола,әйелдер,,4.92
2015,пайыз,Ақмола,әйелдер,,4.9
2016,пайыз,Ақмола,әйелдер,,4.92
2017,пайыз,Ақмола,әйелдер,,3.29
2018,пайыз,Ақмола,әйелдер,,2.88
2012,пайыз,Ақтөбе,әйелдер,,1.87
2013,пайыз,Ақтөбе,әйелдер,,5.94
2014,пайыз,Ақтөбе,әйелдер,,5.87
2015,пайыз,Ақтөбе,әйелдер,,5.83
2016,пайыз,Ақтөбе,әйелдер,,5.8
2017,пайыз,Ақтөбе,әйелдер,,5.77
2018,пайыз,Ақтөбе,әйелдер,,5.74
2012,пайыз,Алматы,әйелдер,,6.19
2013,пайыз,Алматы,әйелдер,,6.18
2014,пайыз,Алматы,әйелдер,,6.38
2015,пайыз,Алматы,әйелдер,,6.52
2016,пайыз,Алматы,әйелдер,,5.48
2017,пайыз,Алматы,әйелдер,,1.87
2018,пайыз,Алматы,әйелдер,,2.08
2012,пайыз,Атырау,әйелдер,,1.54
2013,пайыз,Атырау,әйелдер,,1.63
2014,пайыз,Атырау,әйелдер,,1.61
2015,пайыз,Атырау,әйелдер,,1.82
2016,пайыз,Атырау,әйелдер,,1.78
2017,пайыз,Атырау,әйелдер,,1.78
2018,пайыз,Атырау,әйелдер,,1.76
2012,пайыз,Батыс Қазақстан,әйелдер,,6.38
2013,пайыз,Батыс Қазақстан,әйелдер,,6.18
2014,пайыз,Батыс Қазақстан,әйелдер,,6.16
2015,пайыз,Батыс Қазақстан,әйелдер,,6.15
2016,пайыз,Батыс Қазақстан,әйелдер,,6.17
2017,пайыз,Батыс Қазақстан,әйелдер,,5.31
2018,пайыз,Батыс Қазақстан,әйелдер,,6.19
2012,пайыз,Жамбыл,әйелдер,,1.93
2013,пайыз,Жамбыл,әйелдер,,1.63
2014,пайыз,Жамбыл,әйелдер,,1.5
2015,пайыз,Жамбыл,әйелдер,,1.61
2016,пайыз,Жамбыл,әйелдер,,1.6
2017,пайыз,Жамбыл,әйелдер,,1.53
2018,пайыз,Жамбыл,әйелдер,,1.32
2012,пайыз,Қарағанды,әйелдер,,4.32
2013,пайыз,Қарағанды,әйелдер,,4.31
2014,пайыз,Қарағанды,әйелдер,,4.14
2015,пайыз,Қарағанды,әйелдер,,4.15
2016,пайыз,Қарағанды,әйелдер,,4.16
2017,пайыз,Қарағанды,әйелдер,,4.08
2018,пайыз,Қарағанды,әйелдер,,4.12
2012,пайыз,Қостанай,әйелдер,,12.09
2013,пайыз,Қостанай,әйелдер,,12.09
2014,пайыз,Қостанай,әйелдер,,12.1
2015,пайыз,Қостанай,әйелдер,,12.1
2016,пайыз,Қостанай,әйелдер,,12.16
2017,пайыз,Қостанай,әйелдер,,12.25
2018,пайыз,Қостанай,әйелдер,,12.04
2012,пайыз,Қызылорда,әйелдер,,0.2
2013,пайыз,Қызылорда,әйелдер,,0.2
2014,пайыз,Қызылорда,әйелдер,,0.2
2015,пайыз,Қызылорда,әйелдер,,0.19
2016,пайыз,Қызылорда,әйелдер,,0.19
2017,пайыз,Қызылорда,әйелдер,,0.19
2018,пайыз,Қызылорда,әйелдер,,0.19
2012,пайыз,Маңғыстау,әйелдер,,0.03
2013,пайыз,Маңғыстау,әйелдер,,0.03
2014,пайыз,Маңғыстау,әйелдер,,0.01
2015,пайыз,Маңғыстау,әйелдер,,0.02
2016,пайыз,Маңғыстау,әйелдер,,0.01
2017,пайыз,Маңғыстау,әйелдер,,0.02
2018,пайыз,Маңғыстау,әйелдер,,0.01
2012,пайыз,Түркістан,әйелдер,,0.85
2013,пайыз,Түркістан,әйелдер,,0.87
2014,пайыз,Түркістан,әйелдер,,1.16
2015,пайыз,Түркістан,әйелдер,,0.88
2016,пайыз,Түркістан,әйелдер,,0.97
2017,пайыз,Түркістан,әйелдер,,1.03
2018,пайыз,Түркістан,әйелдер,,2.69
2012,пайыз,Павлодар,әйелдер,,5.65
2013,пайыз,Павлодар,әйелдер,,5.94
2014,пайыз,Павлодар,әйелдер,,0.23
2015,пайыз,Павлодар,әйелдер,,0.24
2016,пайыз,Павлодар,әйелдер,,0.05
2017,пайыз,Павлодар,әйелдер,,0.16
2018,пайыз,Павлодар,әйелдер,,0.32
2012,пайыз,Солтүстік Қазақстан,әйелдер,,5.54
2013,пайыз,Солтүстік Қазақстан,әйелдер,,5.61
2014,пайыз,Солтүстік Қазақстан,әйелдер,,5.65
2015,пайыз,Солтүстік Қазақстан,әйелдер,,5.93
2016,пайыз,Солтүстік Қазақстан,әйелдер,,0.2
2017,пайыз,Солтүстік Қазақстан,әйелдер,,2.66
2018,пайыз,Солтүстік Қазақстан,әйелдер,,1.1
2012,пайыз,Шығыс Қазақстан,әйелдер,,4.62
2013,пайыз,Шығыс Қазақстан,әйелдер,,4.75
2014,пайыз,Шығыс Қазақстан,әйелдер,,5.07
2015,пайыз,Шығыс Қазақстан,әйелдер,,5.18
2016,пайыз,Шығыс Қазақстан,әйелдер,,4.88
2017,пайыз,Шығыс Қазақстан,әйелдер,,4.88
2018,пайыз,Шығыс Қазақстан,әйелдер,,4.93
