Year,Units,Төтенше жағдайлар құрбандары,Өңірлер,Жынысы,Value
2012,адам,соның ішінде қаза болды,Жамбыл,әйелдер,1.0
2012,адам,соның ішінде қаза болды (жынысын анықтау мүмкіндігі жоқ),Жамбыл,,3.0
2014,адам,зардап шеккен,Қарағанды,,12.0
2014,адам,зардап шеккен,Қарағанды,ерлер,1.0
2014,адам,зардап шеккен,Қарағанды,әйелдер,1.0
2014,адам,зардап шеккен (жынысын анықтау мүмкіндігі жоқ),Қарағанды,,10.0
2014,адам,соның ішінде қаза болды,Қарағанды,,5.0
2014,адам,соның ішінде қаза болды,Қарағанды,ерлер,1.0
2014,адам,соның ішінде қаза болды,Қарағанды,әйелдер,1.0
2014,адам,соның ішінде қаза болды (жынысын анықтау мүмкіндігі жоқ),Қарағанды,,3.0
2013,адам,зардап шеккен,Қостанай,,1.0
2013,адам,зардап шеккен,Қостанай,ерлер,1.0
2013,адам,соның ішінде қаза болды,Қостанай,,1.0
2013,адам,соның ішінде қаза болды,Қостанай,ерлер,1.0
2011,адам,зардап шеккен,Қызылорда,,3.0
2012,адам,зардап шеккен,Қызылорда,,1.0
2011,адам,зардап шеккен,Қызылорда,ерлер,3.0
2012,адам,зардап шеккен,Қызылорда,ерлер,1.0
2011,адам,соның ішінде қаза болды,Қызылорда,,1.0
2011,адам,соның ішінде қаза болды,Қызылорда,ерлер,1.0
2010,адам,зардап шеккен,Маңғыстау,,1.0
2012,адам,зардап шеккен,Маңғыстау,,1.0
2010,адам,зардап шеккен,Маңғыстау,ерлер,1.0
2012,адам,зардап шеккен,Маңғыстау,ерлер,1.0
2014,адам,зардап шеккен,Оңтүстік Қазақстан,,1.0
2014,адам,зардап шеккен,Оңтүстік Қазақстан,ерлер,1.0
2014,адам,соның ішінде қаза болды,Оңтүстік Қазақстан,,1.0
2014,адам,соның ішінде қаза болды,Оңтүстік Қазақстан,ерлер,1.0
2018,адам,зардап шеккен,Павлодар,,1.0
2018,адам,соның ішінде қаза болды,Павлодар,,1.0
2010,адам,зардап шеккен,Солтүстік Қазақстан,,5.0
2011,адам,зардап шеккен,Солтүстік Қазақстан,,1.0
2012,адам,зардап шеккен,Солтүстік Қазақстан,,2.0
2013,адам,зардап шеккен,Солтүстік Қазақстан,,1.0
2016,адам,зардап шеккен,Солтүстік Қазақстан,,1.0
2010,адам,зардап шеккен,Солтүстік Қазақстан,ерлер,5.0
2011,адам,зардап шеккен,Солтүстік Қазақстан,ерлер,1.0
2012,адам,зардап шеккен,Солтүстік Қазақстан,ерлер,2.0
2013,адам,зардап шеккен,Солтүстік Қазақстан,ерлер,1.0
2016,адам,зардап шеккен,Солтүстік Қазақстан,әйелдер,1.0
2010,адам,соның ішінде қаза болды,Солтүстік Қазақстан,,5.0
2011,адам,соның ішінде қаза болды,Солтүстік Қазақстан,,1.0
2012,адам,соның ішінде қаза болды,Солтүстік Қазақстан,,2.0
2013,адам,соның ішінде қаза болды,Солтүстік Қазақстан,,1.0
2016,адам,соның ішінде қаза болды,Солтүстік Қазақстан,,1.0
2010,адам,соның ішінде қаза болды,Солтүстік Қазақстан,ерлер,5.0
2011,адам,соның ішінде қаза болды,Солтүстік Қазақстан,ерлер,1.0
2012,адам,соның ішінде қаза болды,Солтүстік Қазақстан,ерлер,2.0
2013,адам,соның ішінде қаза болды,Солтүстік Қазақстан,ерлер,1.0
2016,адам,соның ішінде қаза болды,Солтүстік Қазақстан,әйелдер,1.0
2012,адам,зардап шеккен,Шығыс Қазақстан,,1.0
2015,адам,зардап шеккен,Шығыс Қазақстан,,2.0
2016,адам,зардап шеккен,Шығыс Қазақстан,,2.0
2017,адам,зардап шеккен,Шығыс Қазақстан,,5.0
2018,адам,зардап шеккен,Шығыс Қазақстан,,1.0
2017,адам,зардап шеккен,Шығыс Қазақстан,ерлер,2.0
2018,адам,зардап шеккен,Шығыс Қазақстан,ерлер,1.0
2015,адам,зардап шеккен,Шығыс Қазақстан,әйелдер,2.0
2017,адам,зардап шеккен,Шығыс Қазақстан,әйелдер,3.0
2016,адам,зардап шеккен (жынысын анықтау мүмкіндігі жоқ),Шығыс Қазақстан,,2.0
2012,адам,соның ішінде қаза болды,Шығыс Қазақстан,,1.0
2017,адам,соның ішінде қаза болды,Шығыс Қазақстан,,1.0
2018,адам,соның ішінде қаза болды,Шығыс Қазақстан,,1.0
2017,адам,соның ішінде қаза болды,Шығыс Қазақстан,ерлер,1.0
2018,адам,соның ішінде қаза болды,Шығыс Қазақстан,ерлер,1.0
2014,адам,зардап шеккен,Нұр-Сұлтан қаласы,,1.0
2018,адам,зардап шеккен,Нұр-Сұлтан қаласы,,6.0
2018,адам,зардап шеккен,Нұр-Сұлтан қаласы,ерлер,4.0
2014,адам,зардап шеккен,Нұр-Сұлтан қаласы,әйелдер,1.0
2018,адам,зардап шеккен,Нұр-Сұлтан қаласы,әйелдер,2.0
2011,адам,зардап шеккен,Алматы қаласы,,6.0
2015,адам,зардап шеккен,Алматы қаласы,,6.0
2017,адам,зардап шеккен,Алматы қаласы,,1.0
2011,адам,зардап шеккен,Алматы қаласы,ерлер,5.0
2017,адам,зардап шеккен,Алматы қаласы,ерлер,1.0
2011,адам,зардап шеккен,Алматы қаласы,әйелдер,1.0
2015,адам,зардап шеккен (жынысын анықтау мүмкіндігі жоқ),Алматы қаласы,,6.0
2011,адам,соның ішінде қаза болды,Алматы қаласы,,1.0
2017,адам,соның ішінде қаза болды,Алматы қаласы,,1.0
2011,адам,соның ішінде қаза болды,Алматы қаласы,ерлер,1.0
2017,адам,соның ішінде қаза болды,Алматы қаласы,ерлер,1.0
