Year,Units,Регионы,Value
2016,процент к общей площади суши,Актюбинская,0.2
2016,процент к общей площади суши,Алматинская,8.9
2016,процент к общей площади суши,Атырауская,0.1
2016,процент к общей площади суши,Западно-Казахстанская,0.7
2016,процент к общей площади суши,Жамбылская,15.9
2016,процент к общей площади суши,Карагандинская,0.4
2016,процент к общей площади суши,Костанайская,1.2
2016,процент к общей площади суши,Кызылординская,15.2
2016,процент к общей площади суши,Мангистауская,0.7
2016,процент к общей площади суши,Павлодарская,2.1
2016,процент к общей площади суши,Северо-Казахстанская,5.7
2016,процент к общей площади суши,Туркестанская,14.1
2016,процент к общей площади суши,Восточно-Казахстанская,7.3
2017,процент к общей площади суши,,4.9
2017,процент к общей площади суши,Акмолинская,2.7
2017,процент к общей площади суши,Актюбинская,0.2
2017,процент к общей площади суши,Алматинская,9.2
2017,процент к общей площади суши,Атырауская,0.1
2017,процент к общей площади суши,Западно-Казахстанская,0.6
2017,процент к общей площади суши,Жамбылская,16.8
2017,процент к общей площади суши,Карагандинская,0.4
2017,процент к общей площади суши,Костанайская,1.3
2017,процент к общей площади суши,Кызылординская,15.3
2017,процент к общей площади суши,Мангистауская,0.8
2017,процент к общей площади суши,Павлодарская,2.1
2017,процент к общей площади суши,Северо-Казахстанская,5.7
2017,процент к общей площади суши,Туркестанская,14.2
2017,процент к общей площади суши,Восточно-Казахстанская,7.3
2018,процент к общей площади суши,,4.9
2018,процент к общей площади суши,Акмолинская,2.7
2018,процент к общей площади суши,Актюбинская,0.2
2018,процент к общей площади суши,Алматинская,9.3
2018,процент к общей площади суши,Атырауская,0.2
2018,процент к общей площади суши,Западно-Казахстанская,0.6
2018,процент к общей площади суши,Жамбылская,16.5
2018,процент к общей площади суши,Карагандинская,0.4
2018,процент к общей площади суши,Костанайская,1.3
2018,процент к общей площади суши,Кызылординская,15.4
2018,процент к общей площади суши,Мангистауская,0.8
2018,процент к общей площади суши,Павлодарская,2.1
2018,процент к общей площади суши,Северо-Казахстанская,5.7
2018,процент к общей площади суши,Туркестанская,14.3
2018,процент к общей площади суши,Восточно-Казахстанская,7.4
2019,процент к общей площади суши,,5.0
2019,процент к общей площади суши,Акмолинская,2.7
2019,процент к общей площади суши,Актюбинская,0.2
2019,процент к общей площади суши,Алматинская,10.0
2019,процент к общей площади суши,Атырауская,0.1
2019,процент к общей площади суши,Западно-Казахстанская,0.6
2019,процент к общей площади суши,Жамбылская,16.5
2019,процент к общей площади суши,Карагандинская,0.4
2019,процент к общей площади суши,Костанайская,1.3
2019,процент к общей площади суши,Кызылординская,15.6
2019,процент к общей площади суши,Мангистауская,0.8
2019,процент к общей площади суши,Павлодарская,2.2
2019,процент к общей площади суши,Северо-Казахстанская,5.7
2019,процент к общей площади суши,Туркестанская,14.4
2019,процент к общей площади суши,Восточно-Казахстанская,7.4
