Year,Units,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",Пол,Регионы,Value
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Мангистауская,62.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Южно-Казахстанская,56.0
2015,процент,навыков счета,девочки,Южно-Казахстанская,57.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Павлодарская,69.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Павлодарская,64.0
2015,процент,навыков счета,мальчики,Северо-Казахстанская,65.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Северо-Казахстанская,70.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Восточно-Казахстанская,72.0
2015,процент,навыков счета,девочки,Восточно-Казахстанская,72.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,г_Нур-Султан,85.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,г_Нур-Султан,82.0
2015,процент,навыков счета,мальчики,г_Алматы,66.0
2015,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,г_Алматы,75.0
2015,процент,навыков счета,,,90.8
2015,процент,навыков счета,мальчики,,91.9
2015,процент,навыков счета,девочки,,89.7
2015,процент,навыков счета,мальчики,Акмолинская,89.36
2015,процент,навыков счета,девочки,Акмолинская,90.76
2015,процент,навыков счета,мальчики,Актюбинская,90.81
2015,процент,навыков счета,девочки,Актюбинская,89.19
2015,процент,навыков счета,мальчики,Алматинская,85.36
2015,процент,навыков счета,девочки,Алматинская,87.63
2015,процент,навыков счета,мальчики,Атырауская,70.78
2015,процент,навыков счета,девочки,Атырауская,78.48
2015,процент,навыков счета,мальчики,Западно-Казахстанская,97.04
2015,процент,навыков счета,девочки,Западно-Казахстанская,97.91
2015,процент,навыков счета,мальчики,Жамбылская,94.57
2015,процент,навыков счета,девочки,Жамбылская,97.43
2015,процент,навыков счета,мальчики,Карагандинская,93.69
2015,процент,навыков счета,девочки,Карагандинская,93.33
2015,процент,навыков счета,мальчики,Костанайская,82.12
2015,процент,навыков счета,девочки,Костанайская,89.48
2015,процент,навыков счета,мальчики,Кызылординская,98.02
2015,процент,навыков счета,девочки,Кызылординская,98.78
2015,процент,навыков счета,мальчики,Мангистауская,82.36
2015,процент,навыков счета,девочки,Мангистауская,88.87
2015,процент,навыков счета,мальчики,Южно-Казахстанская,85.74
2015,процент,навыков счета,девочки,Южно-Казахстанская,88.95
2015,процент,навыков счета,мальчики,Павлодарская,91.1
2015,процент,навыков счета,девочки,Павлодарская,93.79
2015,процент,навыков счета,мальчики,Северо-Казахстанская,93.04
2015,процент,навыков счета,девочки,Северо-Казахстанская,94.69
2015,процент,навыков счета,мальчики,Восточно-Казахстанская,98.99
2015,процент,навыков счета,девочки,Восточно-Казахстанская,99.4
2015,процент,навыков счета,мальчики,г_Нур-Султан,85.04
2015,процент,навыков счета,девочки,г_Нур-Султан,95.37
2015,процент,навыков счета,мальчики,г_Алматы,97.17
2015,процент,навыков счета,девочки,г_Алматы,92.92
2016,процент,навыков счета,,,98.0
2016,процент,навыков счета,мальчики,,98.0
2016,процент,навыков счета,девочки,,98.0
2018,процент,i) грамотности в разбивке по полу,,,35.8
2018,процент,i) грамотности в разбивке по полу,мальчики,,29.34
2018,процент,i) грамотности в разбивке по полу,девочки,,42.66
2018,процент,i) грамотности в разбивке по полу,мальчики,Акмолинская,37.25
2018,процент,i) грамотности в разбивке по полу,девочки,Акмолинская,48.81
2018,процент,i) грамотности в разбивке по полу,мальчики,Актюбинская,22.52
2018,процент,i) грамотности в разбивке по полу,девочки,Актюбинская,42.35
2018,процент,i) грамотности в разбивке по полу,мальчики,Алматинская,15.42
2018,процент,i) грамотности в разбивке по полу,девочки,Алматинская,30.1
2018,процент,i) грамотности в разбивке по полу,мальчики,Атырауская,9.88
2018,процент,i) грамотности в разбивке по полу,девочки,Атырауская,23.02
2018,процент,i) грамотности в разбивке по полу,мальчики,Западно-Казахстанская,23.66
2018,процент,i) грамотности в разбивке по полу,девочки,Западно-Казахстанская,38.99
2018,процент,i) грамотности в разбивке по полу,мальчики,Жамбылская,20.86
2018,процент,i) грамотности в разбивке по полу,девочки,Жамбылская,28.49
2018,процент,i) грамотности в разбивке по полу,мальчики,Карагандинская,45.62
2018,процент,i) грамотности в разбивке по полу,девочки,Карагандинская,61.58
2018,процент,i) грамотности в разбивке по полу,мальчики,Костанайская,47.43
2018,процент,i) грамотности в разбивке по полу,девочки,Костанайская,60.8
2018,процент,i) грамотности в разбивке по полу,мальчики,Кызылординская,15.91
2018,процент,i) грамотности в разбивке по полу,девочки,Кызылординская,28.81
2018,процент,i) грамотности в разбивке по полу,мальчики,Мангистауская,15.74
2018,процент,i) грамотности в разбивке по полу,девочки,Мангистауская,28.06
2018,процент,i) грамотности в разбивке по полу,мальчики,Южно-Казахстанская,18.02
2018,процент,i) грамотности в разбивке по полу,девочки,Южно-Казахстанская,32.52
2018,процент,i) грамотности в разбивке по полу,мальчики,Павлодарская,38.13
2018,процент,i) грамотности в разбивке по полу,девочки,Павлодарская,42.06
2018,процент,i) грамотности в разбивке по полу,мальчики,Северо-Казахстанская,45.38
2018,процент,i) грамотности в разбивке по полу,девочки,Северо-Казахстанская,59.7
2018,процент,i) грамотности в разбивке по полу,мальчики,Восточно-Казахстанская,37.05
2018,процент,i) грамотности в разбивке по полу,девочки,Восточно-Казахстанская,55.91
2018,процент,i) грамотности в разбивке по полу,мальчики,г_Нур-Султан,53.4
2018,процент,i) грамотности в разбивке по полу,девочки,г_Нур-Султан,60.67
2018,процент,i) грамотности в разбивке по полу,мальчики,г_Алматы,48.11
2018,процент,i) грамотности в разбивке по полу,девочки,г_Алматы,61.21
2018,процент,навыков счета,,,50.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,,50.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,,51.0
2018,процент,навыков счета,мальчики,Акмолинская,47.5
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Акмолинская,44.1
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Актюбинская,49.4
2018,процент,навыков счета,девочки,Актюбинская,52.0
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Алматинская,40.0
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Алматинская,38.6
2018,процент,навыков счета,мальчики,Атырауская,28.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Атырауская,33.3
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Западно-Казахстанская,47.0
2018,процент,навыков счета,девочки,Западно-Казахстанская,50.3
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Жамбылская,68.6
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Жамбылская,68.3
2018,процент,навыков счета,мальчики,Карагандинская,61.6
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Карагандинская,58.1
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Костанайская,64.4
2018,процент,навыков счета,девочки,Костанайская,62.8
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Кызылординская,47.7
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Кызылординская,53.3
2018,процент,навыков счета,мальчики,Мангистауская,32.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Мангистауская,37.2
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Южно-Казахстанская,40.4
2018,процент,навыков счета,девочки,Южно-Казахстанская,40.6
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Павлодарская,61.9
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Павлодарская,54.8
2018,процент,навыков счета,мальчики,Северо-Казахстанская,56.4
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,Северо-Казахстанская,53.4
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,Восточно-Казахстанская,55.6
2018,процент,навыков счета,девочки,Восточно-Казахстанская,60.7
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",мальчики,г_Нур-Султан,65.2
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,г_Нур-Султан,59.8
2018,процент,навыков счета,мальчики,г_Алматы,62.1
2018,процент,"Доля детей/молодежи, достигших, по меньшей мере, минимального уровня",девочки,г_Алматы,60.9
